participant_id,game,trial_index,ground_truth,nll,is_free,top2
7,1,1,H,0.201171875,False,"[('H', 0.81640625), ('I', 0.181640625)]"
7,1,2,H,0.251953125,False,"[('H', 0.77734375), ('I', 0.22265625)]"
7,1,3,H,0.10009765625,False,"[('H', 0.90625), ('I', 0.09619140625)]"
7,1,4,H,0.048583984375,False,"[('H', 0.953125), ('I', 0.047607421875)]"
7,1,5,H,0.06201171875,True,"[('H', 0.94140625), ('I', 0.06005859375)]"
7,1,6,H,0.0380859375,True,"[('H', 0.9609375), ('I', 0.03759765625)]"
7,1,7,I,0.3125,True,"[('I', 0.73046875), ('H', 0.26953125)]"
7,1,8,I,0.06201171875,True,"[('I', 0.94140625), ('H', 0.06005859375)]"
7,1,9,I,0.02978515625,True,"[('I', 0.96875), ('H', 0.029296875)]"
7,1,10,I,0.01416015625,True,"[('I', 0.984375), ('H', 0.0142822265625)]"
7,2,1,I,0.02978515625,False,"[('I', 0.96875), ('H', 0.029296875)]"
7,2,2,I,0.01416015625,False,"[('I', 0.984375), ('H', 0.0142822265625)]"
7,2,3,H,0.0380859375,False,"[('H', 0.9609375), ('I', 0.03759765625)]"
7,2,4,I,0.0380859375,False,"[('I', 0.9609375), ('H', 0.03759765625)]"
7,2,5,I,0.00860595703125,True,"[('I', 0.9921875), ('H', 0.0086669921875)]"
7,2,6,I,0.00408935546875,True,"[('I', 0.99609375), ('H', 0.00408935546875)]"
7,2,7,I,0.003173828125,True,"[('I', 0.99609375), ('H', 0.0031890869140625)]"
7,2,8,I,0.003173828125,True,"[('I', 0.99609375), ('H', 0.0031890869140625)]"
7,2,9,I,0.002471923828125,True,"[('I', 0.99609375), ('H', 0.002471923828125)]"
7,2,10,H,0.16015625,True,"[('H', 0.8515625), ('I', 0.1474609375)]"
7,3,1,I,0.474609375,False,"[('I', 0.62109375), ('H', 0.37890625)]"
7,3,2,H,0.0380859375,False,"[('H', 0.9609375), ('I', 0.03759765625)]"
7,3,3,H,0.00860595703125,False,"[('H', 0.9921875), ('I', 0.0086669921875)]"
7,3,4,H,0.01416015625,False,"[('H', 0.984375), ('I', 0.0142822265625)]"
7,3,5,H,0.00408935546875,True,"[('H', 0.99609375), ('I', 0.00408935546875)]"
7,4,1,H,0.003173828125,False,"[('H', 0.99609375), ('I', 0.0031890869140625)]"
7,4,2,H,0.00408935546875,False,"[('H', 0.99609375), ('I', 0.00408935546875)]"
7,4,3,I,0.16015625,False,"[('I', 0.8515625), ('H', 0.1474609375)]"
7,4,4,H,0.8984375,False,"[('I', 0.59375), ('H', 0.40625)]"
7,4,5,H,1.140625,True,"[('I', 0.6796875), ('H', 0.3203125)]"
7,4,6,I,0.474609375,True,"[('I', 0.62109375), ('H', 0.37890625)]"
7,4,7,H,1.140625,True,"[('I', 0.6796875), ('H', 0.3203125)]"
7,4,8,H,1.140625,True,"[('I', 0.6796875), ('H', 0.3203125)]"
7,4,9,I,0.4296875,True,"[('I', 0.65234375), ('H', 0.34765625)]"
7,4,10,I,0.4296875,True,"[('I', 0.65234375), ('H', 0.34765625)]"
7,5,1,I,0.126953125,False,"[('I', 0.87890625), ('H', 0.11962890625)]"
7,5,2,H,0.57421875,False,"[('H', 0.5625), ('I', 0.439453125)]"
7,5,3,H,0.2255859375,False,"[('H', 0.796875), ('I', 0.201171875)]"
7,5,4,H,0.06201171875,False,"[('H', 0.94140625), ('I', 0.06005859375)]"
7,5,5,H,0.0791015625,True,"[('H', 0.92578125), ('I', 0.07568359375)]"
7,6,1,I,0.8984375,False,"[('H', 0.59375), ('I', 0.40625)]"
7,6,2,H,0.8984375,False,"[('I', 0.59375), ('H', 0.40625)]"
7,6,3,I,0.01416015625,False,"[('I', 0.984375), ('H', 0.0142822265625)]"
7,6,4,H,0.0791015625,False,"[('H', 0.92578125), ('I', 0.07568359375)]"
7,6,5,H,0.048583984375,True,"[('H', 0.953125), ('I', 0.047607421875)]"
7,7,1,I,1.5,False,"[('H', 0.77734375), ('I', 0.22265625)]"
7,7,2,H,0.57421875,False,"[('H', 0.5625), ('I', 0.439453125)]"
7,7,3,I,0.34765625,False,"[('I', 0.70703125), ('H', 0.29296875)]"
7,7,4,I,0.28125,False,"[('I', 0.75390625), ('H', 0.2451171875)]"
7,7,5,I,1.40625,True,"[('H', 0.75390625), ('I', 0.2451171875)]"
7,7,6,I,0.126953125,True,"[('I', 0.87890625), ('H', 0.11962890625)]"
7,7,7,I,0.01104736328125,True,"[('I', 0.98828125), ('H', 0.0111083984375)]"
7,7,8,I,0.023193359375,True,"[('I', 0.9765625), ('H', 0.023193359375)]"
7,7,9,I,0.02978515625,True,"[('I', 0.96875), ('H', 0.029296875)]"
7,7,10,I,0.00860595703125,True,"[('I', 0.9921875), ('H', 0.0086669921875)]"
7,8,1,I,0.0052490234375,False,"[('I', 0.99609375), ('H', 0.0052490234375)]"
7,8,2,I,0.201171875,False,"[('I', 0.81640625), ('H', 0.181640625)]"
7,8,3,I,0.6328125,False,"[('I', 0.53125), ('H', 0.46875)]"
7,8,4,I,0.474609375,False,"[('I', 0.62109375), ('H', 0.37890625)]"
7,8,5,I,1.0546875,True,"[('H', 0.65234375), ('I', 0.34765625)]"
7,9,1,I,1.2265625,False,"[('H', 0.70703125), ('I', 0.29296875)]"
7,9,2,I,0.2255859375,False,"[('I', 0.796875), ('H', 0.201171875)]"
7,9,3,H,0.16015625,False,"[('H', 0.8515625), ('I', 0.1474609375)]"
7,9,4,H,0.0791015625,False,"[('H', 0.92578125), ('I', 0.07568359375)]"
7,9,5,H,0.0380859375,True,"[('H', 0.9609375), ('I', 0.03759765625)]"
7,10,1,H,0.02978515625,False,"[('H', 0.96875), ('I', 0.029296875)]"
7,10,2,H,0.0067138671875,False,"[('H', 0.9921875), ('I', 0.006744384765625)]"
7,10,3,H,0.00408935546875,False,"[('H', 0.99609375), ('I', 0.00408935546875)]"
7,10,4,I,1.703125,False,"[('H', 0.81640625), ('I', 0.181640625)]"
7,10,5,H,0.28125,True,"[('H', 0.75390625), ('I', 0.2451171875)]"
7,10,6,H,0.02978515625,True,"[('H', 0.96875), ('I', 0.029296875)]"
7,10,7,H,0.0067138671875,True,"[('H', 0.9921875), ('I', 0.006744384765625)]"
7,10,8,H,0.002471923828125,True,"[('H', 0.99609375), ('I', 0.002471923828125)]"
7,10,9,I,5.0,True,"[('H', 0.9921875), ('I', 0.006744384765625)]"
7,10,10,I,0.06201171875,True,"[('I', 0.94140625), ('H', 0.06005859375)]"
7,11,1,H,0.0181884765625,False,"[('H', 0.98046875), ('I', 0.0177001953125)]"
7,11,2,H,0.6328125,False,"[('H', 0.53125), ('I', 0.46875)]"
7,11,3,H,0.3125,False,"[('H', 0.73046875), ('I', 0.26953125)]"
7,11,4,H,0.126953125,False,"[('H', 0.87890625), ('I', 0.11962890625)]"
7,11,5,H,0.048583984375,True,"[('H', 0.953125), ('I', 0.047607421875)]"
7,12,1,H,0.02978515625,False,"[('H', 0.96875), ('I', 0.029296875)]"
7,12,2,H,0.1796875,False,"[('H', 0.8359375), ('I', 0.1640625)]"
7,12,3,I,0.048583984375,False,"[('I', 0.953125), ('H', 0.047607421875)]"
7,12,4,I,0.0052490234375,False,"[('I', 0.99609375), ('H', 0.0052490234375)]"
7,12,5,I,0.00408935546875,True,"[('I', 0.99609375), ('H', 0.00408935546875)]"
7,12,6,I,0.00860595703125,True,"[('I', 0.9921875), ('H', 0.0086669921875)]"
7,12,7,I,0.0052490234375,True,"[('I', 0.99609375), ('H', 0.0052490234375)]"
7,12,8,I,0.02978515625,True,"[('I', 0.96875), ('H', 0.029296875)]"
7,12,9,I,0.0233154296875,True,"[('I', 0.9765625), ('H', 0.023193359375)]"
7,12,10,I,0.00860595703125,True,"[('I', 0.9921875), ('H', 0.0086669921875)]"
7,13,1,I,0.003173828125,False,"[('I', 0.99609375), ('H', 0.0031890869140625)]"
7,13,2,I,0.00150299072265625,False,"[('I', 1.0), ('H', 0.00150299072265625)]"
7,13,3,I,0.00193023681640625,False,"[('I', 1.0), ('H', 0.00193023681640625)]"
7,13,4,I,0.003173828125,False,"[('I', 0.99609375), ('H', 0.0031890869140625)]"
7,13,5,I,0.3125,True,"[('I', 0.73046875), ('H', 0.26953125)]"
7,14,1,H,2.125,False,"[('I', 0.87890625), ('H', 0.11962890625)]"
7,14,2,I,0.06201171875,False,"[('I', 0.94140625), ('H', 0.06005859375)]"
7,14,3,I,0.126953125,False,"[('I', 0.87890625), ('H', 0.11962890625)]"
7,14,4,I,0.10009765625,False,"[('I', 0.90625), ('H', 0.09619140625)]"
7,14,5,I,0.0380859375,True,"[('I', 0.9609375), ('H', 0.03759765625)]"
7,14,6,I,0.474609375,True,"[('I', 0.62109375), ('H', 0.37890625)]"
7,14,7,I,0.251953125,True,"[('I', 0.77734375), ('H', 0.22265625)]"
7,14,8,H,1.3125,True,"[('I', 0.73046875), ('H', 0.26953125)]"
7,14,9,I,0.8984375,True,"[('H', 0.59375), ('I', 0.40625)]"
7,14,10,H,0.3125,True,"[('H', 0.73046875), ('I', 0.26953125)]"
7,15,1,H,0.4296875,False,"[('H', 0.65234375), ('I', 0.34765625)]"
7,15,2,I,0.06201171875,False,"[('I', 0.94140625), ('H', 0.06005859375)]"
7,15,3,I,0.01104736328125,False,"[('I', 0.98828125), ('H', 0.0111083984375)]"
7,15,4,I,0.0181884765625,False,"[('I', 0.98046875), ('H', 0.0177001953125)]"
7,15,5,I,0.003173828125,True,"[('I', 0.99609375), ('H', 0.0031890869140625)]"
7,16,1,I,0.00408935546875,False,"[('I', 0.99609375), ('H', 0.00408935546875)]"
7,16,2,I,0.002471923828125,False,"[('I', 0.99609375), ('H', 0.002471923828125)]"
7,16,3,H,0.048583984375,False,"[('H', 0.953125), ('I', 0.047607421875)]"
