participant_id,game,trial_index,ground_truth,nll,is_free,top2
31,1,1,H,0.251953125,False,"[('H', 0.77734375), ('I', 0.22265625)]"
31,1,2,I,1.9140625,False,"[('H', 0.8515625), ('I', 0.1474609375)]"
31,1,3,I,2.34375,False,"[('H', 0.90625), ('I', 0.09619140625)]"
31,1,4,H,0.251953125,False,"[('H', 0.77734375), ('I', 0.22265625)]"
31,1,5,I,1.5,True,"[('H', 0.77734375), ('I', 0.22265625)]"
31,1,6,H,0.16015625,True,"[('H', 0.8515625), ('I', 0.1474609375)]"
31,1,7,I,1.3125,True,"[('H', 0.73046875), ('I', 0.26953125)]"
31,1,8,H,0.251953125,True,"[('H', 0.77734375), ('I', 0.22265625)]"
31,1,9,I,0.97265625,True,"[('H', 0.62109375), ('I', 0.37890625)]"
31,1,10,I,0.38671875,True,"[('I', 0.6796875), ('H', 0.3203125)]"
31,2,1,H,0.4296875,False,"[('H', 0.65234375), ('I', 0.34765625)]"
31,2,2,H,0.7578125,False,"[('I', 0.53125), ('H', 0.46875)]"
31,2,3,H,0.82421875,False,"[('I', 0.5625), ('H', 0.439453125)]"
31,2,4,H,0.5234375,False,"[('H', 0.59375), ('I', 0.40625)]"
31,2,5,H,0.16015625,True,"[('H', 0.8515625), ('I', 0.1474609375)]"
31,3,1,H,0.16015625,False,"[('H', 0.8515625), ('I', 0.1474609375)]"
31,3,2,H,0.10009765625,False,"[('H', 0.90625), ('I', 0.09619140625)]"
31,3,3,H,0.10009765625,False,"[('H', 0.90625), ('I', 0.09619140625)]"
31,3,4,H,0.048583984375,False,"[('H', 0.953125), ('I', 0.047607421875)]"
31,3,5,I,0.38671875,True,"[('I', 0.6796875), ('H', 0.3203125)]"
31,4,1,I,0.2255859375,False,"[('I', 0.796875), ('H', 0.201171875)]"
31,4,2,I,0.4296875,False,"[('I', 0.65234375), ('H', 0.34765625)]"
31,4,3,I,0.1796875,False,"[('I', 0.8359375), ('H', 0.1640625)]"
31,4,4,H,2.015625,False,"[('I', 0.8671875), ('H', 0.1328125)]"
31,4,5,I,0.10009765625,True,"[('I', 0.90625), ('H', 0.09619140625)]"
31,5,1,I,0.0791015625,False,"[('I', 0.92578125), ('H', 0.07568359375)]"
31,5,2,H,0.16015625,False,"[('H', 0.8515625), ('I', 0.1474609375)]"
31,5,3,H,0.10009765625,False,"[('H', 0.90625), ('I', 0.09619140625)]"
31,5,4,H,0.0380859375,False,"[('H', 0.9609375), ('I', 0.03759765625)]"
31,5,5,H,0.06201171875,True,"[('H', 0.94140625), ('I', 0.06005859375)]"
31,5,6,H,0.048583984375,True,"[('H', 0.953125), ('I', 0.047607421875)]"
31,5,7,H,0.0181884765625,True,"[('H', 0.98046875), ('I', 0.0177001953125)]"
31,5,8,I,0.02978515625,True,"[('I', 0.96875), ('H', 0.029296875)]"
31,5,9,H,0.02978515625,True,"[('H', 0.96875), ('I', 0.029296875)]"
31,5,10,H,0.10009765625,True,"[('H', 0.90625), ('I', 0.09619140625)]"
31,6,1,H,0.38671875,False,"[('H', 0.6796875), ('I', 0.3203125)]"
31,6,2,H,0.2255859375,False,"[('H', 0.796875), ('I', 0.201171875)]"
31,6,3,I,0.7578125,False,"[('H', 0.53125), ('I', 0.46875)]"
31,6,4,H,0.0791015625,False,"[('H', 0.92578125), ('I', 0.07568359375)]"
31,6,5,H,0.16015625,True,"[('H', 0.8515625), ('I', 0.1474609375)]"
