participant_id,game,trial_index,ground_truth,nll,is_free,top2
2,1,1,I,1.5,False,"[('H', 0.77734375), ('I', 0.22265625)]"
2,1,2,I,1.9140625,False,"[('H', 0.8515625), ('I', 0.1474609375)]"
2,1,3,H,0.57421875,False,"[('H', 0.5625), ('I', 0.439453125)]"
2,1,4,H,0.38671875,False,"[('H', 0.6796875), ('I', 0.3203125)]"
2,1,5,I,0.8984375,True,"[('H', 0.59375), ('I', 0.40625)]"
2,1,6,H,0.28125,True,"[('H', 0.75390625), ('I', 0.2451171875)]"
2,1,7,I,0.5234375,True,"[('I', 0.59375), ('H', 0.40625)]"
2,1,8,I,0.6328125,True,"[('I', 0.53125), ('H', 0.46875)]"
2,1,9,I,0.69140625,True,"[('I', 0.5), ('H', 0.5)]"
2,1,10,I,0.474609375,True,"[('I', 0.62109375), ('H', 0.37890625)]"
2,2,1,H,0.82421875,False,"[('I', 0.5625), ('H', 0.439453125)]"
2,2,2,I,0.4296875,False,"[('I', 0.65234375), ('H', 0.34765625)]"
2,2,3,I,0.16015625,False,"[('I', 0.8515625), ('H', 0.1474609375)]"
2,2,4,I,0.6328125,False,"[('I', 0.53125), ('H', 0.46875)]"
2,2,5,I,0.4296875,True,"[('I', 0.65234375), ('H', 0.34765625)]"
2,2,6,I,0.5234375,True,"[('I', 0.59375), ('H', 0.40625)]"
2,2,7,I,0.201171875,True,"[('I', 0.81640625), ('H', 0.181640625)]"
2,2,8,I,0.34765625,True,"[('I', 0.70703125), ('H', 0.29296875)]"
2,2,9,I,0.126953125,True,"[('I', 0.87890625), ('H', 0.11962890625)]"
2,2,10,H,0.10009765625,True,"[('H', 0.90625), ('I', 0.09619140625)]"
2,3,1,I,1.703125,False,"[('H', 0.81640625), ('I', 0.181640625)]"
2,3,2,H,0.16015625,False,"[('H', 0.8515625), ('I', 0.1474609375)]"
2,3,3,H,0.0791015625,False,"[('H', 0.92578125), ('I', 0.07568359375)]"
2,3,4,H,0.0380859375,False,"[('H', 0.9609375), ('I', 0.03759765625)]"
2,3,5,H,0.16015625,True,"[('H', 0.8515625), ('I', 0.1474609375)]"
2,4,1,H,0.201171875,False,"[('H', 0.81640625), ('I', 0.181640625)]"
