participant_id,game,trial_index,ground_truth,nll,is_free,top2
23,1,1,H,0.38671875,False,"[('H', 0.6796875), ('I', 0.3203125)]"
23,1,2,H,0.38671875,False,"[('H', 0.6796875), ('I', 0.3203125)]"
23,1,3,H,0.201171875,False,"[('H', 0.81640625), ('I', 0.181640625)]"
23,1,4,H,0.0791015625,False,"[('H', 0.92578125), ('I', 0.07568359375)]"
23,1,5,H,0.06201171875,True,"[('H', 0.94140625), ('I', 0.06005859375)]"
23,1,6,H,0.06201171875,True,"[('H', 0.94140625), ('I', 0.06005859375)]"
23,1,7,I,0.10009765625,True,"[('I', 0.90625), ('H', 0.09619140625)]"
23,1,8,I,0.06201171875,True,"[('I', 0.94140625), ('H', 0.06005859375)]"
23,1,9,I,0.0380859375,True,"[('I', 0.9609375), ('H', 0.03759765625)]"
23,1,10,I,0.048583984375,True,"[('I', 0.953125), ('H', 0.047607421875)]"
23,2,1,I,0.0791015625,False,"[('I', 0.92578125), ('H', 0.07568359375)]"
23,2,2,I,0.0233154296875,False,"[('I', 0.9765625), ('H', 0.023193359375)]"
23,2,3,I,0.3125,False,"[('I', 0.73046875), ('H', 0.26953125)]"
23,2,4,H,0.0791015625,False,"[('H', 0.92578125), ('I', 0.07568359375)]"
23,2,5,I,3.28125,True,"[('H', 0.9609375), ('I', 0.03759765625)]"
23,2,6,H,1.3125,True,"[('I', 0.73046875), ('H', 0.26953125)]"
23,2,7,H,0.6328125,True,"[('H', 0.53125), ('I', 0.46875)]"
23,2,8,H,0.2255859375,True,"[('H', 0.796875), ('I', 0.201171875)]"
23,2,9,H,0.16015625,True,"[('H', 0.8515625), ('I', 0.1474609375)]"
23,2,10,H,0.16015625,True,"[('H', 0.8515625), ('I', 0.1474609375)]"
23,3,1,H,0.1796875,False,"[('H', 0.8359375), ('I', 0.1640625)]"
23,3,2,H,1.3125,False,"[('I', 0.73046875), ('H', 0.26953125)]"
23,3,3,H,0.38671875,False,"[('H', 0.6796875), ('I', 0.3203125)]"
23,3,4,H,0.0791015625,False,"[('H', 0.92578125), ('I', 0.07568359375)]"
23,3,5,H,0.023193359375,True,"[('H', 0.9765625), ('I', 0.023193359375)]"
23,4,1,H,0.0233154296875,False,"[('H', 0.9765625), ('I', 0.023193359375)]"
23,4,2,H,0.01104736328125,False,"[('H', 0.98828125), ('I', 0.0111083984375)]"
23,4,3,H,0.01416015625,False,"[('H', 0.984375), ('I', 0.0142822265625)]"
23,4,4,H,1.2265625,False,"[('I', 0.70703125), ('H', 0.29296875)]"
23,4,5,H,0.34765625,True,"[('H', 0.70703125), ('I', 0.29296875)]"
23,5,1,H,0.8984375,False,"[('I', 0.59375), ('H', 0.40625)]"
23,5,2,H,0.34765625,False,"[('H', 0.70703125), ('I', 0.29296875)]"
23,5,3,H,0.048583984375,False,"[('H', 0.953125), ('I', 0.047607421875)]"
23,5,4,H,0.0181884765625,False,"[('H', 0.98046875), ('I', 0.0177001953125)]"
23,5,5,H,0.0181884765625,True,"[('H', 0.98046875), ('I', 0.0177001953125)]"
23,6,1,H,0.01104736328125,False,"[('H', 0.98828125), ('I', 0.0111083984375)]"
23,6,2,H,0.00860595703125,False,"[('H', 0.9921875), ('I', 0.0086669921875)]"
23,6,3,I,1.8046875,False,"[('H', 0.8359375), ('I', 0.1640625)]"
23,6,4,I,0.57421875,False,"[('I', 0.5625), ('H', 0.439453125)]"
23,6,5,H,1.2265625,True,"[('I', 0.70703125), ('H', 0.29296875)]"
23,6,6,H,0.10009765625,True,"[('H', 0.90625), ('I', 0.09619140625)]"
23,6,7,H,0.0233154296875,True,"[('H', 0.9765625), ('I', 0.023193359375)]"
23,6,8,H,0.01104736328125,True,"[('H', 0.98828125), ('I', 0.0111083984375)]"
23,6,9,I,0.6328125,True,"[('I', 0.53125), ('H', 0.46875)]"
23,6,10,H,0.38671875,True,"[('H', 0.6796875), ('I', 0.3203125)]"
23,7,1,H,0.048583984375,False,"[('H', 0.953125), ('I', 0.047607421875)]"
23,7,2,H,0.02978515625,False,"[('H', 0.96875), ('I', 0.029296875)]"
23,7,3,H,0.01416015625,False,"[('H', 0.984375), ('I', 0.0142822265625)]"
23,7,4,H,0.01104736328125,False,"[('H', 0.98828125), ('I', 0.0111083984375)]"
23,7,5,H,0.0067138671875,True,"[('H', 0.9921875), ('I', 0.006744384765625)]"
23,8,1,I,0.3125,False,"[('I', 0.73046875), ('H', 0.26953125)]"
23,8,2,I,0.6328125,False,"[('I', 0.53125), ('H', 0.46875)]"
23,8,3,I,0.0380859375,False,"[('I', 0.9609375), ('H', 0.03759765625)]"
23,8,4,I,0.0233154296875,False,"[('I', 0.9765625), ('H', 0.023193359375)]"
23,8,5,I,0.00860595703125,True,"[('I', 0.9921875), ('H', 0.0086669921875)]"
23,8,6,I,0.0067138671875,True,"[('I', 0.9921875), ('H', 0.006744384765625)]"
23,8,7,I,0.0052490234375,True,"[('I', 0.99609375), ('H', 0.0052490234375)]"
23,8,8,H,0.28125,True,"[('H', 0.75390625), ('I', 0.2451171875)]"
23,8,9,H,0.10009765625,True,"[('H', 0.90625), ('I', 0.09619140625)]"
23,8,10,I,1.8046875,True,"[('H', 0.8359375), ('I', 0.1640625)]"
23,9,1,H,0.201171875,False,"[('H', 0.81640625), ('I', 0.181640625)]"
23,9,2,H,0.0380859375,False,"[('H', 0.9609375), ('I', 0.03759765625)]"
23,9,3,H,0.01416015625,False,"[('H', 0.984375), ('I', 0.0142822265625)]"
23,9,4,H,0.8984375,False,"[('I', 0.59375), ('H', 0.40625)]"
23,9,5,I,0.5234375,True,"[('I', 0.59375), ('H', 0.40625)]"
23,10,1,I,0.16015625,False,"[('I', 0.8515625), ('H', 0.1474609375)]"
23,10,2,I,0.0791015625,False,"[('I', 0.92578125), ('H', 0.07568359375)]"
23,10,3,I,0.2255859375,False,"[('I', 0.796875), ('H', 0.201171875)]"
23,10,4,I,0.0181884765625,False,"[('I', 0.98046875), ('H', 0.0177001953125)]"
23,10,5,H,0.7578125,True,"[('I', 0.53125), ('H', 0.46875)]"
23,11,1,H,0.38671875,False,"[('H', 0.6796875), ('I', 0.3203125)]"
23,11,2,H,0.0380859375,False,"[('H', 0.9609375), ('I', 0.03759765625)]"
23,11,3,H,0.00860595703125,False,"[('H', 0.9921875), ('I', 0.0086669921875)]"
23,11,4,H,0.0052490234375,False,"[('H', 0.99609375), ('I', 0.0052490234375)]"
