trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash
1,D,2,S,D,1,1,f1c256dff9067e9198ac122010b09fcf1c8946e73ad7a387d6366db114705dc1
2,S,1,S,D,1,2,d415963d31fec173270ce522c3e0f96c146f17a391e89e161184c1a017acf7a7
3,D,2,S,D,0,2,be0631d0cb63285ce5cb4cfffc0761ac2f9d103fc884bc6e90283a93aa9ebf81
4,D,2,S,D,1,3,d0548d5f1779d51744fd6fa8f5807a593a2d46ee626ff8c4dcd0a3930e89a67c
5,D,2,S,D,1,4,09bcdc2ed75166068fa49b4b3eaeada80f96f8b33ef139a6e95f01380175b66e
6,D,2,S,D,0,4,5d72ea24f209a55bc872044283aaaef0f073247bc57b8cff6da440b516144068
7,D,2,S,D,1,5,cf7f74cd629e2b37dd61c37f30215a770f2c1cbc450b13273f2fcb7f585b325e
8,D,2,S,D,0,5,84dc3090fec0a1d01ca0bf9e044d93fba000e44aab43f95975603f2f6dec68c3
9,D,2,S,D,0,5,751c91879807f61a2b1d58b744d6b36b31abbfdf3179928cffcccbcfd7df29dd
10,D,2,S,D,1,6,fde230b63dd6f81ae8fc33f5cc35f5ee3325a7086464aa3f6a9a70c5e61a6d0e
11,D,2,S,D,1,7,5f3b66a3010ecbfcb63ee4fdb81e803dea508b6546890a32e72c245a5d7435c4
12,D,2,S,D,1,8,561f4c7e009ccf354127d89ccd5c12738db6c374e37a975393498dfcea7856e2
13,D,2,S,D,0,8,7d73d0983ebbbb566f6b30e8ef6ea42d7456ef6180fccf74512a34ccc34155ff
14,D,2,S,D,0,8,ab3024a78ed91823fdab56a4d1d85d75cf777214123a7bb0f84631b3c5531895
15,D,2,S,D,1,9,26ed3aaef6d8287741971bc2d657d44be3c99908e1b8d63de3139f21e4af7c3a
16,D,2,S,D,0,9,defb1d8d22f44b325b10ad7759be62a55d8bd031ceab0e53afc1e1754ac0d6d7
17,D,2,S,D,0,9,8a07949c0b78c2500563a30463fc8bfadfd7db1ce1b66d96d10e01fb034c8b2d
18,D,2,S,D,0,9,ca8f5a2e6db4cc70717544f4ff72d8be5189c0cfc1fc8b1cdd9995d4b9c048df
19,D,2,S,D,0,9,279611f9973d9dab61d7a1b16850e43f86079a3c7a5e857a66702786a25d0e9e
20,D,2,S,D,0,9,222d2726f21fea77045cdad5b0d1aa7cb11ae4945b1eb0fdd8df1b83e667fb13
21,D,2,S,D,0,9,e6cc2bbc9841980bad18ba0ff1524f3b88a2ad5c4e8ac0f59d3d0ebae4ff458b
22,S,1,S,D,1,10,afa5b35a8678cf4134a3337d98103502c8df0e3e01f9a33e528bd6888bf9cea5
23,S,1,S,D,1,11,5e496ba52fb1259d92f5ec3253226d88411d1afe7bfe6bace2cd6b0523251a18
24,S,1,S,D,1,12,15337b5fefce99ff59d3dcdc10810acfa47294bd33b96b66349ac778aa793284
25,S,1,S,D,1,13,524d80db494251d29e27cc0eb762427a82f1778d0af4859411164a9936685c88
26,S,1,S,D,1,14,b83bdaa93aa39b106136de6656566addcb1dd09030c5e7e393f474cdf45a5dd0
27,S,1,S,D,1,15,0077eab8ea27e4666e90205acfee9f367d31c5628bcef7e3e523218311ca3db3
28,S,1,S,D,1,16,9a677ca349a38b43ad3117525df1df0005cef74567941298342a00d7178c8bc6
29,S,1,S,D,1,17,1c729e68fe1f89f6dddb55cf3698eb029e14e6f0d0d9482f30dcf21efbb36aee
30,S,1,S,D,1,18,30409989242a96292eb245c4dd8bcac590adb393da86406474e0a67a16de8f5e
31,S,1,S,D,1,19,f6e87309fc5b3eb91a43c31a5cd57ace73a22c767d7a65abbe62d79eff4b6581
32,S,1,S,D,1,20,889144a6de54b370c1cfd01218fd077852a82d6b09726975fb911588fd1073d7
33,S,1,S,D,1,21,3213a538f880fef31980e06dab929d659b44ef92d9c6b43ad2aadbac81c9d50e
34,S,1,S,D,1,22,84d8812bfb912c08cc6a06ac64ded8e2544a53f8fc4a4d229174f2b6c32983a8
35,S,1,S,D,1,23,94fc9fc982a882060910cf51d96728f2ab53dea892ab76f88db723f018cb081c
36,S,1,S,D,1,24,be40121633978970f9e70265a4ac39fe82dffb17482ed320f88f09bc8fc3d194
37,S,1,S,D,1,25,c4ffdd7d802785635f2c47c50f5535caec12a99d4c8c52067f66753555c3ea9a
38,S,1,S,D,1,26,0ecf32368300a316c335509c7e485dddc847171eff7676b31c220a2fd050050d
39,S,1,S,D,1,27,11c1ecd4665d823ed629484dd8927cbeaded33c78cd3e0fc5902ff0d4d263649
40,S,1,S,D,1,28,7adb6cdd8ecfb8a198dd115875365a80bf4dcd7e4db014fabe8445544df27fcb
41,S,1,S,D,1,29,03d98f0882b7c8198705f03827ac0834a4e16f7b7d6fd78e3e84f198697dabd7
42,S,1,S,D,1,30,f2e4c9d50a34f5632290606fef394bf4609f9a91007b4c48e83b986b30c9a78e
43,S,1,S,D,1,31,1f43cc8933663bb30b46362b5e23c2cfd0d39e361905f06cf5382a39cd8063a3
44,S,1,S,D,1,32,6c0aa5063c078a4e3a111b35924e3ca17ecdddf3524d087795e443e6202545e5
45,S,1,S,D,1,33,ed6daaf27f695ae9965df9e755ba9b2b415235ff964d43eec176f3d5c254c112
46,S,1,S,D,1,34,5ba85dde9c0968f8e3fc57ba1c9303947edf91f42a9e66b05a17e7a1f5a357a4
47,S,1,S,D,1,35,a4dcce32942ac5c550a19300716a572c24dea50048f7a671ddc3034395d4815c
