trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash
1,F,2,J,F,1,1,5c3bd13d9e819e3fad82f878b84a2daf29e3a4a52dfeaa8a0ff0a901645c4b23
2,F,2,J,F,0,1,0b39d14156ef2d92cc76dbec4f535aeedde2f27c6e18ea9b4b8747e6e4c77885
3,F,2,J,F,0,1,ee6b8d0b6deddbb1cab0609c59a04be80ccff9683886996d052c0c20445086ed
4,J,1,J,F,0,1,3aac9b361bee36db38b0147540f50b8644295ba54f662652ba38c444d99bf1db
5,J,1,J,F,1,2,45aaa6b84aba034e8e6ff59a100e1ae213648cbb350494f45a4cf1b128397dee
6,J,1,J,F,1,3,cc71c264eff40dff090762bd3ca3b5864f0aab0b3e7f54e663f64531e6e19330
7,J,1,J,F,1,4,e6003684bce1dc3b8e04efe8ea20713cad8c417dfe8eb8ba2f5f20d08578180b
8,J,1,J,F,1,5,8416298fe8f07984c9a9714259b035feadb02b6b21ce6b5bef1fdb3e90cdf9a0
9,J,1,J,F,1,6,75ebd2289b4e9ce16cea7a611711725b683fcf7abcc8788f84589a61e27b9bc2
10,J,1,J,F,0,6,6316352454f340eee4e000fa7e45365fcc3985dac315b7d36a694d53b0fb9b71
11,J,1,J,F,1,7,8087e29d8836e6a3f1abb5f74911604f642f40a5b65785dce47878d749fb71bf
12,J,1,J,F,1,8,81a758d2573d4aab9f5252bf5560978569413b323995b31e3f03311d8b6b4764
13,J,1,J,F,1,9,61ea4ea3790003b67519d12b569080d78ee7836cd6ec7135e06ea96c0f86f622
14,J,1,J,F,1,10,4efda73fc96b535476cdd834d09e267b6fb80d03a00f0844f25502257bdb00ea
15,J,1,J,F,1,11,d28fe1eb3d63c00a389f9d485adb0bb5908a4be1a81b961393192f9ac533f535
16,J,1,J,F,1,12,e179f122f406da5dd2f727e7f119c208bb577776a71337a567b9f9514a079ec7
17,J,1,J,F,1,13,1f34f1898c2e45590018b90fc9be1611974a484d4184464a94314491efcbc486
18,J,1,J,F,1,14,9d7c6122f2283128e1d53298fb6849683bb70df9354c9f0d7cb844c7efbdb86e
19,J,1,J,F,1,15,50ec0c049514ff1aad6cef883e25c64f5dcf2bd55b5175d52ad10ad9acb56a9a
20,J,1,J,F,1,16,f9ad92af6ca48cace8a1ec0605bf5a8277925da8d6e00a8fe6d01a89ecbfc1ab
21,J,1,J,F,1,17,46ab981cf830cc9edbec2270d6476808b2923ee2103fba916ed9640e33d763a9
22,J,1,J,F,1,18,9d469fc0bc733257266b3b17d000af142ed369b79ab94d34c9cd9bfc38f41d92
23,J,1,J,F,1,19,7bff87ad1bdf747adbe97645912f127451c6feeac533fb4b2c4383be0d235a20
24,J,1,J,F,1,20,adae19d3eddc46fd058593e9e0d97cf2d78662cb2deb436b3016b155a197b4fb
25,J,1,J,F,1,21,3e22c2a685d979e1a29e90a77814f2e22156f6ca6c992c15477294bd683a5116
26,J,1,J,F,1,22,9f52c5e5d12c4f57d37832709f4b41bdf98d9865139fd3f16a1a3377d617bb40
27,J,1,J,F,1,23,429b8e0617285a81f1b010c32b4af372a3d63dda7f65af48a84570ea038c9b29
28,J,1,J,F,1,24,d9f6c6c1dcc7a8c1a9cff8f3b923dd970273b7d5e6b8db2081e1ddbe2a892a70
29,J,1,J,F,1,25,79f53b585ae324ca6fb0ed38fd4ac95f98ecf5b4f5b262751c9e053c49ebde79
30,J,1,J,F,1,26,98a913aaee496ec8bd538a16fbfa2a98711a1c0c397158bd2e4a6d1c030e449c
31,J,1,J,F,1,27,9db99ecbd36c44c3049a99d3721e555548322db53936c27ed5dc06ad2a26e399
32,J,1,J,F,1,28,e26ad370c1e5a9fd8ff1cf1817531a50a2c729ae6c2e54350feaa623428fa114
33,J,1,J,F,1,29,517419ffb0990f6111d93bf56fb5b98fb1900be6ba5d24e3c6cb49d3d1d7aa57
34,J,1,J,F,1,30,b14f57a421819982da62594bdd14ac1001a76671f10040d2d5d51aa67e4542a1
35,J,1,J,F,1,31,64a1de87d76370eb3a834a809a8947448ce4392c6a966bc213c0f32e64b9dbda
36,J,1,J,F,1,32,147152a7d51aeedc8896583f0280c841d94f39780de675d1090a7a69e3538096
37,J,1,J,F,1,33,4f8c2bae9875d692c6e4ba502af85b7bddacc1efc2374bf3c06e34ac5ef920ad
38,J,1,J,F,1,34,fb780f65a6d6a706515870690d71e1f120e66038185b8290502189c5a4c10e5b
39,J,1,J,F,1,35,6c73b6d03f9c691396d7e8aeec3f3595717fbaf11739ec9c0da5bc6e8be9283a
40,J,1,J,F,1,36,b0937c790328257efb372f313e09a1ae301a4c904343eb81cb9aa62b89f45c82
41,J,1,J,F,1,37,d3e3ff46937ebc2ee9a589d0628064f16efb369a5bfb3a379419c2763d6bffd4
42,J,1,J,F,1,38,8e1139dea51e1966407410c6d68441fc739dc397dc6c318e5004851050b35c5d
43,J,1,J,F,1,39,3c0a033c121b945d137184490cd53853f276cc162ac884efc4421f61468bb8e4
44,J,1,J,F,1,40,1e2fab8362fa4b1f7c3ecbc06c95a823a260d96b5fe9c920b967cdeaf729f6dc
45,J,1,J,F,1,41,5118ec331e3d3c604f2258ada545bada131be2344d6c77749060bf7186fbccf9
46,J,1,J,F,1,42,d99fe577224483885136353b328f0b3ab53f097fb4fa325de6ccf0c530de062b
47,J,1,J,F,1,43,b86ca77fc0c5e725d3ad8b1c14d12c003dd472538af1d1124a9d0721a0a7f5a6
48,J,1,J,F,1,44,9068e0cb23a175fb0fdab4ed00ba900f0c599c83feba10c2274f2b4e01127174
49,J,1,J,F,1,45,6539dd9e4e31d212d4228fa7848bf3a385bf62783da82e9e38bff04d03cf1e9e
50,J,1,J,F,1,46,f304c9254f3675b6832bad8382ccc4e95b195175f8c21ac49c2a5963f7af0a6e
51,J,1,J,F,1,47,e49f0d663bed9003cbd57d2f0b46483cba4103f41255717bf19da376b28c575d
52,J,1,J,F,1,48,3bbd71b17a6a7c2f7021264b921312c47225f00a1ae8550c93ec3d71053c40df
53,J,1,J,F,0,48,33779a154a1c1483f2ab7250835452ea9996da18c41cb24b07cc73ac6f398ee8
54,J,1,J,F,0,48,4557ab34a16c6673bdc9bbe532983addb7f058bd799d87f0f19b7e6f9f8e0f33
55,J,1,J,F,0,48,89fc98c56b4661cd1556b2c95ffde5bf3847467175919e6446f3021aec47d49b
56,F,2,J,F,1,49,321c5eaa81ff264f7bc94e70dd3e4bf5654066d5910b6e2a9999271c2ba6aa7b
57,F,2,J,F,1,50,d3cc534e0ab7fa3d7469da37a59b623077b799ab566272925d9a5cfa2a429930
58,F,2,J,F,1,51,8651561a80db825ef4a0a40dcdc1cec4934f85f098214db7ca1d76803b7044d7
