env,tile_1,tile_2,tile_3,tile_4,tile_5,tile_6,tile_7,tile_8,tile_9,tile_10,tile_11,tile_12,tile_13,tile_14,tile_15,tile_16,tile_17,tile_18,tile_19,tile_20,tile_21,tile_22,tile_23,tile_24,tile_25,tile_26,tile_27,tile_28,tile_29,tile_30,scale
1,44,50,52,42,20,2,0,17,44,65,71,65,54,43,40,44,43,29,11,3,7,18,33,44,43,37,36,41,46,47,71
2,43,57,66,62,58,62,70,72,63,47,39,46,55,51,45,50,61,68,73,79,84,81,76,78,79,65,37,11,0,5,84
3,79,78,59,44,27,5,0,20,43,44,23,7,11,23,33,38,36,24,7,5,22,38,35,20,11,12,21,29,28,16,79
4,1,7,8,9,13,24,36,40,38,38,44,58,74,75,53,22,0,2,25,41,32,12,0,1,11,18,18,19,22,23,75
5,54,54,61,62,54,48,53,60,67,69,60,42,24,12,4,0,5,22,40,54,62,68,72,67,56,42,29,22,24,38,72
6,73,78,62,38,26,31,33,22,7,0,9,34,57,68,78,85,78,71,73,65,44,30,32,40,44,42,40,41,43,53,85
7,5,4,11,24,33,27,15,7,4,6,15,32,53,67,71,61,43,23,7,0,0,4,13,27,40,41,31,22,19,15,71
8,49,56,43,24,26,50,74,83,77,67,66,75,81,69,42,17,13,28,39,31,13,0,4,28,60,74,64,50,45,43,83
9,1,0,7,18,27,37,50,62,71,75,71,64,56,45,39,37,33,31,36,42,45,46,40,34,35,33,26,22,22,18,75
10,48,28,9,0,0,4,11,13,6,4,12,16,14,8,10,27,53,70,75,67,47,20,0,0,11,23,34,46,49,28,75
11,42,45,50,54,48,37,31,30,35,45,55,57,48,34,35,56,77,85,78,56,23,0,0,17,38,45,40,31,23,25,85
12,33,40,47,47,42,39,41,43,39,29,20,23,32,37,35,33,35,36,36,34,26,11,0,1,17,40,60,68,67,63,68
13,13,19,16,21,39,50,45,44,59,67,48,19,11,31,58,71,63,44,32,37,55,72,67,45,28,32,46,45,23,0,72
14,46,51,50,49,51,47,33,16,3,0,3,9,17,28,36,37,30,25,23,20,16,14,17,24,38,55,67,66,60,51,67
15,70,85,82,61,35,11,0,0,4,10,28,53,61,40,14,14,36,54,58,51,40,34,40,55,66,62,44,24,21,41,85
16,29,29,37,47,57,66,64,52,38,32,32,37,40,36,27,16,13,24,43,58,63,61,52,39,28,22,16,6,0,8,66
17,24,43,59,64,54,37,30,43,61,59,38,30,48,70,76,62,40,22,12,3,0,20,56,73,55,33,35,46,34,0,76
18,70,65,59,49,32,12,0,0,10,26,36,34,25,24,33,39,32,16,3,2,12,24,28,28,30,36,44,53,56,51,70
19,21,15,14,25,44,58,61,50,31,18,17,25,31,33,31,28,19,8,0,0,4,12,27,43,57,65,66,61,54,46,66
20,29,38,49,62,76,85,79,71,71,73,67,56,50,55,69,75,59,31,13,10,8,6,9,17,28,40,44,31,9,0,85
21,54,52,43,32,22,9,0,6,22,32,32,28,22,14,10,16,28,42,56,65,64,58,50,41,35,34,31,26,26,30,65
22,65,73,70,62,52,42,34,29,22,9,0,0,3,10,17,20,20,31,55,74,76,60,43,41,54,68,71,66,59,55,76
23,6,6,10,10,4,0,8,32,57,71,76,73,59,39,22,12,10,19,29,34,33,23,9,0,3,12,23,29,25,16,76
24,30,24,26,30,33,34,28,13,0,0,12,29,43,51,52,45,38,40,54,70,67,44,20,9,15,36,66,81,72,56,81
25,20,15,5,0,6,25,48,67,74,68,55,44,35,24,16,19,29,40,48,54,56,54,49,45,43,42,41,41,43,48,74
26,71,80,78,67,56,51,50,52,53,50,45,44,42,38,36,39,46,48,37,18,4,0,3,18,40,61,65,51,32,25,80
27,13,18,27,31,31,39,59,75,72,52,33,19,6,0,5,23,48,72,79,68,56,49,39,24,9,1,6,26,49,58,79
28,10,0,12,38,58,61,47,29,25,34,41,43,47,53,54,56,62,68,66,57,49,47,48,52,61,73,79,71,55,43,79
29,16,17,37,53,50,39,26,11,0,0,16,39,63,79,83,76,66,59,59,64,72,80,82,74,59,43,29,20,23,36,83
30,10,14,38,64,76,60,24,0,0,11,20,26,26,18,8,8,26,53,67,62,50,43,44,41,25,6,0,6,19,43,76
31,84,83,75,55,35,26,26,32,44,54,51,35,15,1,0,6,16,25,32,31,21,8,3,4,6,8,14,20,22,25,84
32,44,38,31,31,28,16,8,15,27,30,19,6,3,9,19,28,30,17,0,5,38,67,55,18,3,14,19,12,9,22,67
33,6,2,0,8,29,45,45,42,49,57,43,18,11,31,56,69,64,45,29,31,43,52,56,55,46,33,19,5,1,8,69
34,65,83,82,76,58,27,17,35,45,32,22,23,26,21,13,11,22,38,51,44,15,0,14,35,49,59,60,51,40,33,83
35,15,11,12,22,33,35,29,29,35,36,37,49,66,71,55,35,27,27,16,0,1,25,50,64,60,42,23,15,22,31,71
36,84,71,39,21,28,40,46,47,45,32,16,16,31,41,44,47,54,63,72,81,85,76,63,58,56,50,38,18,0,4,85
37,49,44,39,39,36,25,18,28,47,61,68,73,67,52,41,47,59,57,44,39,43,46,35,14,0,6,26,43,47,39,73
38,27,45,53,53,56,61,66,71,68,56,41,33,35,43,48,49,53,60,62,58,55,54,50,46,48,51,43,22,4,0,71
39,31,26,33,53,73,76,68,55,38,22,9,0,4,30,62,82,80,65,42,20,9,18,38,52,54,50,48,51,60,74,82
40,48,53,49,40,31,23,20,21,24,28,34,45,59,67,68,62,56,50,41,27,11,1,0,4,9,14,20,25,30,34,68
