trial_index,ground_truth,nll,top2
1,P,4.3125,"[('U', 0.953125), ('I', 0.02880859375)]"
2,U,1.6015625,"[('P', 0.796875), ('U', 0.201171875)]"
3,P,0.34765625,"[('P', 0.70703125), ('U', 0.29296875)]"
4,U,0.06201171875,"[('U', 0.94140625), ('P', 0.06005859375)]"
5,U,2.8125,"[('P', 0.94140625), ('U', 0.06005859375)]"
6,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
7,U,0.6328125,"[('U', 0.53125), ('P', 0.46875)]"
8,U,0.57421875,"[('U', 0.5625), ('P', 0.439453125)]"
9,P,0.97265625,"[('U', 0.62109375), ('P', 0.37890625)]"
10,U,0.0791015625,"[('U', 0.92578125), ('P', 0.07568359375)]"
11,P,0.34765625,"[('P', 0.70703125), ('U', 0.29296875)]"
12,U,3.53125,"[('P', 0.96875), ('U', 0.029296875)]"
13,P,0.474609375,"[('P', 0.62109375), ('U', 0.37890625)]"
14,U,0.69140625,"[('U', 0.5), ('P', 0.5)]"
15,P,1.140625,"[('U', 0.6796875), ('P', 0.3203125)]"
16,U,0.97265625,"[('P', 0.62109375), ('U', 0.37890625)]"
17,U,0.474609375,"[('U', 0.62109375), ('P', 0.37890625)]"
18,U,0.57421875,"[('U', 0.5625), ('P', 0.439453125)]"
19,U,0.6953125,"[('U', 0.498046875), ('P', 0.498046875)]"
20,U,0.6953125,"[('U', 0.498046875), ('P', 0.498046875)]"
21,U,0.578125,"[('U', 0.5625), ('P', 0.4375)]"
22,P,0.8984375,"[('U', 0.59375), ('P', 0.40625)]"
23,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
24,P,1.5,"[('U', 0.77734375), ('P', 0.22265625)]"
25,U,0.314453125,"[('U', 0.73046875), ('P', 0.26953125)]"
26,U,0.28125,"[('U', 0.75390625), ('P', 0.2451171875)]"
27,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
28,U,0.28125,"[('U', 0.75390625), ('P', 0.2451171875)]"
29,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
30,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
31,U,0.314453125,"[('U', 0.73046875), ('P', 0.26953125)]"
32,U,0.25390625,"[('U', 0.77734375), ('P', 0.2216796875)]"
33,U,0.2294921875,"[('U', 0.796875), ('P', 0.201171875)]"
34,U,0.232421875,"[('U', 0.79296875), ('P', 0.2001953125)]"
35,U,0.189453125,"[('U', 0.828125), ('P', 0.1630859375)]"
36,U,0.1611328125,"[('U', 0.8515625), ('P', 0.130859375)]"
37,U,0.1455078125,"[('U', 0.86328125), ('P', 0.11767578125)]"
38,U,0.1201171875,"[('U', 0.88671875), ('P', 0.0927734375)]"
39,U,0.1123046875,"[('U', 0.89453125), ('P', 0.08349609375)]"
40,U,0.09375,"[('U', 0.91015625), ('P', 0.06591796875)]"
41,U,0.08544921875,"[('U', 0.91796875), ('P', 0.05908203125)]"
42,U,0.08056640625,"[('U', 0.921875), ('P', 0.05224609375)]"
43,U,0.076171875,"[('U', 0.92578125), ('P', 0.046142578125)]"
44,U,0.0693359375,"[('U', 0.93359375), ('P', 0.041259765625)]"
45,U,0.05615234375,"[('U', 0.9453125), ('P', 0.0322265625)]"
46,U,0.053955078125,"[('U', 0.94921875), ('P', 0.03271484375)]"
47,U,0.050537109375,"[('U', 0.94921875), ('P', 0.02880859375)]"
48,U,0.0439453125,"[('U', 0.95703125), ('P', 0.025390625)]"
49,U,0.041748046875,"[('U', 0.9609375), ('P', 0.0224609375)]"
50,U,0.041748046875,"[('U', 0.9609375), ('P', 0.0224609375)]"
51,U,0.037353515625,"[('U', 0.96484375), ('P', 0.0201416015625)]"
52,U,0.036376953125,"[('U', 0.96484375), ('P', 0.0201416015625)]"
53,U,0.0341796875,"[('U', 0.96484375), ('P', 0.0201416015625)]"
54,P,1.0,"[('U', 0.60546875), ('P', 0.3671875)]"
55,U,0.9765625,"[('P', 0.62109375), ('U', 0.376953125)]"
56,P,0.2021484375,"[('P', 0.81640625), ('U', 0.181640625)]"
57,U,1.0546875,"[('P', 0.65234375), ('U', 0.34765625)]"
58,P,0.1279296875,"[('P', 0.87890625), ('U', 0.11962890625)]"
59,P,0.6953125,"[('U', 0.498046875), ('P', 0.498046875)]"
60,P,0.314453125,"[('P', 0.73046875), ('U', 0.26953125)]"
61,P,0.1279296875,"[('P', 0.87890625), ('U', 0.11962890625)]"
62,P,0.08984375,"[('P', 0.9140625), ('U', 0.08447265625)]"
63,P,0.0556640625,"[('P', 0.9453125), ('U', 0.052978515625)]"
64,P,0.0439453125,"[('P', 0.95703125), ('U', 0.0419921875)]"
65,P,0.039306640625,"[('P', 0.9609375), ('U', 0.037109375)]"
66,P,0.031494140625,"[('P', 0.96875), ('U', 0.029296875)]"
67,P,0.0250244140625,"[('P', 0.9765625), ('U', 0.0228271484375)]"
68,U,3.890625,"[('P', 0.9765625), ('U', 0.0203857421875)]"
69,P,0.0634765625,"[('P', 0.9375), ('U', 0.06005859375)]"
70,P,0.1806640625,"[('P', 0.8359375), ('U', 0.1640625)]"
