trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash,seed,initial_correct_bandit
1,G,1,G,N,1,1,62173cb31cf711a66ef86d4ef50e01eaec95d68882c7416e6ef1b754bb766808,406886644,2
2,G,1,G,N,0,1,1470bf9f79b007050de4eabfc228979c39ffbf881d22f2500f4cd930b1bfbde7,406886644,2
3,N,2,G,N,1,2,565efdb4bbca20a4fe43c6bbc150e3b8596b4b48491176c6acd741e344cdd345,406886644,2
4,N,2,G,N,0,2,2d8f03932f65e5eafd1f2e280a3f6cd3c68a0b6fb0acecfdb5740c10313ab5ae,406886644,2
5,G,1,G,N,0,2,9c298669c6efde283490c261ce8686d207474c5bdd2019c144fdf064c6ebfc1e,406886644,2
6,N,2,G,N,1,3,a804670ec14ec23ae08793c566dc8d361b53e1aab7a7f2f168ef98fffe3726d0,406886644,2
7,N,2,G,N,1,4,c13956332d0e6b43131ff12005e857cc06e4e40de51d4f555e0f7de4b3cb44a3,406886644,2
8,N,2,G,N,1,5,697e9249ce3524fa3d9e1c8e2e7cf4be7e611af1ce1b7cfe7bdebaaf6287d8f3,406886644,2
9,N,2,G,N,1,6,5442f94c7c3f1779e4b472364567737cc46e0a083e7f355a881829b5b2b3a386,406886644,2
10,N,2,G,N,0,6,1581b1a6017af44090e45ef490c5be62deb940ed1da8fb982e67195cacacbc3a,406886644,2
11,G,1,G,N,0,6,0515252cac9055e6459f654db87a8bb0b073d9bf541aa65328c25bd2ee51549e,406886644,2
12,N,2,G,N,0,6,5b45579902221064d104691ea2c6c4574a7b4933723693f2202848707e7af11c,406886644,2
13,G,1,G,N,0,6,2b5fc471baf5216fa1fa5f206a3d90f839a42b0fff133c79325b2505e878ef7a,406886644,2
14,N,2,G,N,1,7,db95f11e7c155f6f74f2d98fb709fa01490337d67842528f98330766e8ee6ceb,406886644,2
15,N,2,G,N,1,8,aa2f7f19c38749e0d45f316c073374abe3bb3c970bcf1c39fa258d310c3f4bcd,406886644,2
16,N,2,G,N,1,9,5a24df0decdec0fe95183cf08f88abca5bfe6b666ef3b6392402c23343b19d1c,406886644,2
17,N,2,G,N,1,10,6cec768e61aa0a6578e328f36ca23fbf5fab3a9b1507ac180ee2ebd222222b5b,406886644,2
18,N,2,G,N,1,11,5c6bcca1da68bc47f83937aa267daaf74815e1c026e21ee658460f9a9855001b,406886644,2
19,N,2,G,N,1,12,b6fe50093e6f102e3a58fddfcd15a9aba5197d51e709bf160df5841f235fdad8,406886644,2
20,N,2,G,N,1,13,869cb49d7dbebf893051c5d72509829c7e8fea7e981308a264cfd3b66ac98363,406886644,2
21,N,2,G,N,1,14,cc0c6ec30181d70aea7fac12fe1ce39195950da7324af285f36a23236b2dc80c,406886644,2
22,N,2,G,N,1,15,777367c562b4e292748c38bea6b28e33da6a141851d2d861c5eba119fdd606bc,406886644,2
23,N,2,G,N,0,15,d2d9b0c6fe94730103625752a90a3d2a864cee79ab1b4fe57e287dea4484208f,406886644,2
24,G,1,G,N,0,15,d9441a39d99df3d2a15b5893dbe233382a858697afa154aaf2bb1da5a450bc9e,406886644,2
25,N,2,G,N,1,16,469ab5ba6f7766b1bd99dec5be7c8ad553840738f00e14b5a5334b3db9909fbc,406886644,2
26,N,2,G,N,1,17,e935825bffdfc51e454046b0a08a30c9eab20be5c45768c04a08a9116f1884b0,406886644,2
27,N,2,G,N,1,18,2de75b6913e8db851b32174dc881691b7eb817061c24ecc5ab76b744dfed4dc7,406886644,2
28,N,2,G,N,0,18,e5d1baccb063557ae6e84b1ff85c03fdf3e23056aee590cfc81b50ec1fa0707a,406886644,2
29,G,1,G,N,0,18,e48700188e52b7e1853cedf4fdf654681dab3cccfafc69d81b9b3f70f5a96b5c,406886644,2
30,N,2,G,N,1,19,66d9919c00b09a3152f9b78744f632f5b521859c3193dda2b6257e2c38e6dccf,406886644,2
31,N,2,G,N,1,20,1d94e2aa52ab8f0ad03442ff673390a7c71125954f0d3028c7b88e28bbfbee53,406886644,2
32,N,2,G,N,1,21,c1dda2b26ee565319e4f2ccbf8043ff5dd2c8a424b84eb301562117349c3a84b,406886644,2
33,N,2,G,N,1,22,a8b90da2d573c241b86d488368fd548d8cd74cf1ff2b863342830f905dd25aea,406886644,2
34,N,2,G,N,1,23,ef3472c7e50d539d89564551692cd46e1b39d9c8c4071e7244a1134cb032cb34,406886644,2
35,N,2,G,N,1,24,c51c5d42badde45932b73240a2f5f81c5517e576d256b67cd9800a064c5306c7,406886644,2
36,N,2,G,N,0,24,3ce3d1c941125eeb65d5c21c9f985e2d23cd1a74e3a95432a0278a97ff774282,406886644,2
37,G,1,G,N,1,25,8e225947f33648ba13a958879f60ecc6993b4ad28441cd1ff8ce1a63be8185da,406886644,2
38,G,1,G,N,1,26,20cd4a32c641e2c74c72a6ee50da4da9623d58067bbb6d9d754c830e3d69242e,406886644,2
39,G,1,G,N,1,27,ec5d1502e9245ae7a28abec3f8b9217a05662839d7a14be86074bc7b161e44f0,406886644,2
40,G,1,G,N,1,28,630fb04002e7ebb453c79a4a01f43b999ae9d82b9fba8e8f4da16e77092246e7,406886644,2
41,G,1,G,N,1,29,ba4b0307795db10bbd00d725b07b81803a3c150b098a28799bbbe552d80cbd5d,406886644,2
42,G,1,G,N,1,30,466be3c922d30c47fb2c0cebe8b89d9be05eada8f416ae9e3914405f3d5c9828,406886644,2
43,G,1,G,N,1,31,c0e9e1ec2fde7e9559832f9540f125ca0e86860962e349eda24d792d20371fb2,406886644,2
44,G,1,G,N,1,32,676cd2d8615ba94d264748d48c7429f899d165feda54f020e87f551bad9d3e45,406886644,2
45,G,1,G,N,1,33,ed6df86e5aade9b0c85e7a388cab900b2eea21d336027304a36a732f4689dab6,406886644,2
46,G,1,G,N,1,34,a3a6327f983f718b0644ca301ebbe7f63ef6fdf5098f0ff2575fbace980f8ef0,406886644,2
47,G,1,G,N,1,35,007b5428ceaf293ab385471b702468a0570f1711f1e3cfca46a386361b252240,406886644,2
48,G,1,G,N,0,35,c82cf954d042f96cd04a26920c3ddfa61779960a227fabb1f19d988cfd2f8a7c,406886644,2
49,G,1,G,N,1,36,06c543274b8d4cd779e9e1c093311f16c3f2b79ad05ed5c8281f0a9dcc7e24ee,406886644,2
50,G,1,G,N,0,36,ce2a02c0f53cda06dc7d3b7db9baa80580d141a0d5186d35de8b1bd4b61984d2,406886644,2
51,N,2,G,N,0,36,d150f3627e8b76ef602dab815edd2113909cc70d830bf772436e36f5ab50163b,406886644,2
52,N,2,G,N,1,37,5b40b778cababf07529c0a8e0e4be585ba08216c57320b10c2c8743915ae90d1,406886644,2
53,N,2,G,N,1,38,a84d4f6db77d9511648185a60899b5ae3f3f4bacfe8e3a3644c180593e935590,406886644,2
54,N,2,G,N,0,38,08429ce3ccbbb179eedbf2804eb017f951c875ef0f7088965370e88894c325d4,406886644,2
55,G,1,G,N,1,39,b9938b8fce5e064a9026a788865ed2494041df3243d1d5cd5a35fc692012d3fb,406886644,2
56,G,1,G,N,1,40,8e67f46de4458b5d5567e85b8ce0bbc445995f6c89c4e7adad93675fab9cc6e4,406886644,2
57,G,1,G,N,0,40,35ae3ee4b93d5e38d13abff2f8aa8863aebea991978db11f505eb512371a80ab,406886644,2
58,N,2,G,N,0,40,1312648c070bf886ef7a639660b00a21c3968575bba98e404663f828b6df07cc,406886644,2
59,N,2,G,N,1,41,1665bc7452d89af4e2e5affef3ae19addd8f81d2f330fada74b52cddccf3d23f,406886644,2
60,N,2,G,N,1,42,3f9f7523746c569446301344e666c4cbd95f57ac72cc3bfecee25c82adb8ce0e,406886644,2
61,N,2,G,N,1,43,3c05d253c1b45627539ab191ea1e82a1b72f5b4511469e3ff38516729e85328c,406886644,2
62,N,2,G,N,1,44,172938f51669b7bcdcae2da154de05148dcb7963f6a0e9f48713bc0c4db89c2d,406886644,2
63,N,2,G,N,0,44,463e3d9ad81630e17e763a08020a2e52ba9bd4f5acc7faaf7a10049ec4cdef3d,406886644,2
64,G,1,G,N,0,44,c4d3d4f0657468967e2966ac62669b2634f688785f22dc6e1195b03f6d2d6b57,406886644,2
65,G,1,G,N,0,44,1e8a9a17e538ee5ccf4b95a989cf262dcc47afa96330b5bdad0e180139747611,406886644,2
66,G,1,G,N,0,44,d5ef4f4398e029fe6a1db1b829ec201bb17e9aa9655cc3a6202564312ce948ac,406886644,2
67,N,2,G,N,0,44,ca154e0bbb68f94c13dfe24e0360b9a7e02f8fe0b7f9bba9e5c5831467454669,406886644,2
68,N,2,G,N,1,45,f0850c691b8da47c564cbad3bf91e970b420078a857163f4cd92c372a3afa3ed,406886644,2
69,N,2,G,N,1,46,8a707f0ae356e4a225b0d64e6c3435bbdc602a0a74c2b81ad1007df35e91f989,406886644,2
70,N,2,G,N,1,47,1b510027e8f7cb8cf924890fa1a5682585f44c3e1bdb63d932974cb4d4663278,406886644,2
71,N,2,G,N,1,48,c5b06c37641e1c3d9d60530dd32eddd9ba737d724fd5395798d7a3cc6880b693,406886644,2
72,N,2,G,N,0,48,2439d2db829f2ba39369531594e068dce13c546d36f33c690947fc595a5da698,406886644,2
73,N,2,G,N,0,48,3269a6b02747dd35f1386578fa431365d0e1f44342d6d429d2ca242a3b963420,406886644,2
74,G,1,G,N,1,49,f6e35f94d6bec3ebfaae3d49d38e96c807801986d248c8d7acb446b555035f17,406886644,2
75,G,1,G,N,0,49,0dbe75671e537b00df28bf18b7a81c7e409ff8f5b6763a56242204e31588d4f2,406886644,2
76,N,2,G,N,0,49,a7daf6fe9f8e3a1a4d2ee43a82eb61d588af98b2a5e0f79819a5be10297896f7,406886644,2
77,G,1,G,N,1,50,a3a9e345b3af4e54fd1c8ac31acdb4441231ee491a7c56f56fd6a0b69ce4de04,406886644,2
78,G,1,G,N,0,50,21de13561bc2064f79a34f13afc8bc5ee42de7c2b876f846763cf71c20b0e0a1,406886644,2
79,N,2,G,N,1,51,81e0a729520f60cfca5e5aa107b6a103cbf582e8b5ef29a267979dd3e2952323,406886644,2
