participant_id,trial,block,condition,cue1,cue2,criterium,choice,prompt_hash
127,1,1,3,average,a little,normal,high,3ad9b8d2c9a2dbbdba636c44f84cccb68f3a7758cf8369ec2b9853261419dd9e
127,2,1,3,very much,a little,low,normal,7d49301e7d2dd27216a9d0dd3daf77f8ecc0b4ca450a4b358c6036f8cfc3ec7f
127,3,1,3,very much,a lot,high,somewhat high,9631bc40c00dacb8861e1d88d34b2a752ba5049c4782b4ae1ded8b530fbfd3f5
127,4,1,3,very much,very much,extremely high,extremely high,a81c6277671bafa012f73224e4e0bf39f75de486d561c84c60a2f7dfe7a4db1c
127,5,1,3,very little,very much,extremely low,normal,eb6d9e12f831b161b9d2d68f358adbdbdaadf8d6a1e43e371a3e63914b9c64c2
127,6,1,3,a little,average,normal,high,e465acafebe2e867dcd70c02d46ff41dbd0183c576ba33a3d108a9139647d0ed
127,7,1,3,very little,a little,high,somewhat low,e679a16001395c23ec97887c1e8a78f2d275cca598f32c186ca937334d17443c
127,8,1,3,average,very little,normal,very high,bc10674e0c4fb6a44696054e1f4f3677c524003696f78e236fc743a1b0787511
127,9,1,3,very much,average,normal,low,8e15a18661c9e4e253718093858cb3846646d1bde26101998cbc52c12bee2aba
127,10,1,3,a lot,very little,low,high,93295a93e842905546a79e52b13fcaf7147b12fe5ca38afc523a8d962554b3eb
127,11,1,3,a lot,average,normal,low,41ffc568c6c5b1c9544d3d44331f5959bf6a85d90bdd02fbcc5084268703aec7
127,12,1,3,a little,very little,high,high,b2d147f5bcd83d6cce4450a89fe5dbcb2f1c40638ff5ed4eacbad75095e9cccc
127,13,1,3,a lot,a lot,somewhat high,extremely high,a05f6838695bd501356c69bf3595c50ad0f370f098226c043a5ce6d3f65cc5cb
127,14,1,3,very little,a lot,low,normal,f00ba5545d721012bafa9fb589e2744ee1759a8fee96efd5527c00a075dec4c7
127,15,1,3,a lot,a little,somewhat low,normal,60e38bffc38ec8a2e6618d1f504701fde8c1261fc77c9cc6084f053ec7a5e841
127,16,1,3,average,a lot,normal,somewhat low,6f006ac0db4a76ffa1c31d2052b92c376233bace8a5e13fb8a50bf6b0063c193
127,17,1,3,average,very much,normal,very high,5b7ae4c4a9befd20965c975d9bd121a827dbe1bae73891353e13921563998fb0
127,18,1,3,a lot,very much,high,very high,1cd8f81acff247a516f52627fdb4d61bf1d1116647d2e259a50e6b37b76b15b9
127,19,1,3,a little,a lot,somewhat low,somewhat high,c45a55865cd6b45287583159f7244b7e06ece27d5356dac9696476dcc08fea9b
127,20,1,3,a little,very much,low,very high,31c6930e9a9281a2de9a77ba2e9caf6f49b8ae244ea7909b78fe25d298cbdff0
127,21,1,3,very little,average,normal,high,9fb45806ebdb447b909372519746b026311e42ac5a32af0e77a7500e0e1e44d6
127,22,1,3,a little,a little,somewhat high,very high,d2bd01d37371c2496c06a11199a29e958dd1a01f36a92d2de353590d376d0192
127,23,1,3,average,average,normal,extremely high,030f51034b69c8d9c3f4f8abcc8f783f25d4b28c92b030cc67415f6372473ef0
127,24,2,3,a little,very little,high,low,b9c090ebe4548a8ad0d3bb3a9165ffb52093a790c75e1db055fca68da422dbf2
127,25,2,3,a lot,very much,high,extremely high,a3bfe6245107385a7d1e8fc6159e0824f05e84c7e1f162382720ff9a904f2686
127,26,2,3,very much,a little,low,very high,426a930a3bf859559042a13472b9eb70043e19c4fbe54f57b940a9132d3b3923
127,27,2,3,a little,a lot,somewhat low,very high,4a845a9d6ff8b5eabd8facb58834527025c3dfb214a246ed8e0e00ce7b0f7417
127,28,2,3,a lot,average,normal,somewhat high,81c1bbe4de24f334aee17ac93394a7189667ae3a343669bdcca7c12f2e71568f
127,29,2,3,very much,very much,extremely high,somewhat low,1816ac96d7a5a0c469f508a965c87d17c161a1d1765d950932539f58286b28b3
127,30,2,3,average,a lot,normal,high,17af821e2a42eea910d11ab7b5f4fcbcc74211f77bac19e678b0207bf23dd0d8
127,31,2,3,very much,a lot,high,extremely high,6e909a916c8949d2f87520531f983de5a4e71427baf5674a8ad0e9171ec74732
127,32,2,3,a lot,very little,low,very high,0424cb209357e8767480443f7b5b90b1abd28a8304244f20e8c1d722398bf67c
127,33,2,3,very little,a lot,low,high,12e9b5a3f29f82ba319b411e7997a549f5c4ab8fd2c94426eda15140d885a67f
127,34,2,3,very little,average,normal,high,0897e7babf6b2294b9f90253c2c7bce497750d088faffc4d1228eee7985c54dc
127,35,2,3,a little,average,normal,normal,f2fe2d749e6dac233e3be9b54fa3ec712cd2f808df57745d321f7584b65c3ad1
127,36,2,3,very little,very much,extremely low,low,b622491dcc65ad5a37b55073c73f47a00fb5acd612aa5432e32d0f189287727a
127,37,2,3,average,very much,normal,high,55d9d652ea503f9c0efd2f9db3ff63e4a09b8ba9ca8cbf2081e0f92b7407ace9
127,38,2,3,average,a little,normal,very high,7475a5c66ccb71ea9d36ea3db1b1e49ee1642b9ed2d875b3852f80af2d7df5fd
127,39,2,3,a little,a little,somewhat high,high,6626483e5e273d25f7fd17ffd46dbe004ae82a7c3dd5c7530858682803bbcca9
127,40,2,3,very much,average,normal,somewhat high,ba3091e4a53d603ff3ba33becd372783ab2603db9ae71d9f9c5ec22367fa263a
127,41,2,3,a lot,a lot,somewhat high,extremely high,d12f41ef4fea04c435e150aaa74f3f3ed91bbbb6461f3f30d94c12d622a9c1ca
127,42,2,3,average,very little,normal,high,b03e2145416517807c333d3358918ef4aa5196ab0236e4584c683f1dc9089d17
127,43,2,3,a little,very much,low,somewhat high,7b7d83742e628c991d7eee95d07d7df904fe20b3bcb48996c4afd618e0d3f725
127,44,2,3,very little,a little,high,very high,9043a652f144a73c1907f7dcf7a34822f5e94c516581ac3f6de834a335e3d03c
127,45,2,3,a lot,a little,somewhat low,low,26cfd532c977308edaeb330a5c4d0020a33b5e60b2e028f61731f52b8842a918
127,46,2,3,average,average,normal,extremely high,81a9775d7f448e20ff8ea8b9e592a88c12a8449521602ed0321f730eadbb0a13
127,47,3,3,a lot,a lot,somewhat high,extremely high,ee8e11f3f193b05adf68786ba1fff6577ff26c1c406579fb66c4fe891b128b7e
127,48,3,3,very little,a lot,low,low,d42b2920af3927e01b2c229c46911ea13c37fb4fa955ac35fcb4990bb9ca2a4e
127,49,3,3,average,very much,normal,very high,5b14312c59a91f335bf12f416386eb835cdbc5e785be93c045bb29dde69e682e
127,50,3,3,very little,a little,high,high,50a49c869bd9706d8bd1b208ccb6e3779d3eccb057620f9f9ee6e6b8fe16f793
127,51,3,3,very much,a little,low,very high,98c608d8b6436b08038c609d9e890085040c2169242b92ccf42daea84c9ad049
127,52,3,3,very little,average,normal,high,c4cd87a26e33e00158d16e96a618170a1b93f9b2a5938a2546e44421bf4af97d
127,53,3,3,a lot,very little,low,high,d7742df3cded242d33be09d448052616b05d382717d905dfae79270a4361a7bd
127,54,3,3,average,average,normal,somewhat high,642f19a90579cb58cbbb84e970cfe4a3203c258c58d5c1749e566a0202e4b40c
127,55,3,3,average,a lot,normal,very high,0e0ef24ef9fcd43b9b4f1c61471db9c90b0484967af2dc4e910aa350a45cbdbd
127,56,3,3,a little,very much,low,very high,67235ffd4e6f965301021b2f4dd3df916683074a0bc5b7b590b664a0b451ed78
127,57,3,3,average,a little,normal,high,b42c40a255057e487edc0e617da512c38af2e26a56f6249bd3b3780aa97924db
127,58,3,3,a little,average,normal,somewhat high,441fdbc4c5b37d15c978df373005dae04aafa4063b07466163a2b661e5917557
127,59,3,3,a little,a little,somewhat high,high,1a288ec3b70ddac7f47e56066c31f155e691b53de8e000dfa6014aa28f059b7d
127,60,3,3,a lot,a little,somewhat low,high,ee24f8f672bcadd59d8a90fb71b8222537ffcb182e79839824df4bb4fd6d99b1
127,61,3,3,very much,very much,extremely high,extremely high,176a3ef4893ee6d8d6415de19c901f4259c188213bc8a0efab4638111b6ba66f
127,62,3,3,average,very little,normal,very high,38f58de6103c5faed0f49c27054ee5d70e71cbb2f658283ddc16fd115b43f7e3
127,63,3,3,very much,average,normal,somewhat high,96b8ba82d7580001743664556797dace593255b8637b3335f540df9aa2ad112c
127,64,3,3,very little,very much,extremely low,very high,e7519a385f9834e49ad7a30dfce4b8e4791490141007733bc7baf4da3d08314e
127,65,3,3,a little,a lot,somewhat low,low,292e23fe4fdf40f7de42d5457d8b49f0323038959118a445727a7ab8003eb00f
127,66,3,3,very much,a lot,high,very high,ffa3300c8c087ab1048b485e976b4ef29e30b90771a44238d53d3586c6b519a6
127,67,3,3,a little,very little,high,high,9ec2f0045b898007feac088bfab603e172f403e29498179ec5ea4f298039c4c8
127,68,3,3,a lot,very much,high,very high,3e5cd65a5ed301ef93c81c7dc76722e6bbf1c67bbebe0a734ca80d7d075c8f37
127,69,3,3,a lot,average,normal,very high,4ba5df6e96e5ec1c95913e0fa99ad0946e29140b0b2f30b1b8a7a5eb11df1722
127,70,4,3,very little,very much,extremely low,low,1da536958d8503c099e5b7e0b358868df51ddcd6165b95c5618686c4bfe20e26
127,71,4,3,a lot,very much,high,very high,199508520f7197cb9e885b93b78830ef89553df7ac0411ea39187ebc56e79e78
127,72,4,3,a lot,a lot,somewhat high,extremely high,f2fe3b98ca19a896e3650b00ca2138ecdffa962e967e763a304964032d63170f
127,73,4,3,a little,very little,high,very high,b019e3da2feb4b2c9fa8c745bdfeb311521b8f7c3c46cac660c8ab895c18ecbb
127,74,4,3,a little,a little,somewhat high,somewhat high,f0ea7c84e4dec2d231570480d946f361e3d8e922ec463e599e72adee418291cd
127,75,4,3,very little,a lot,low,low,3a2aed315b12c9dfdbfc642d81ca24f30d358ed3f34c95ceeb30d3296924a0de
127,76,4,3,average,very much,normal,very high,1478341e7bc766e1f83f73aaf8acaab4ba62666eb06447fa157a6ad59410e2e3
127,77,4,3,average,very little,normal,high,668a2774861aa5abd50f970df64fda4e2118ff5c1b1caacb89d6e92eef0c879a
127,78,4,3,very much,very much,extremely high,extremely high,618998a85132cc5e4289a1cb186e0531b2e3790278298d290b90a349d9272f01
127,79,4,3,a lot,average,normal,somewhat high,26696ff13ac328682cb4b97629df9d5f24b70c4fbda8f97e8e0f66499db52f9e
127,80,4,3,a lot,a little,somewhat low,low,b79b4f778840532c8dc367ab6029a06a560580f3ee0ace8398b1a0cdf66f1877
127,81,4,3,a little,very much,low,low,8510af70f1328475c3899e7eacdef13d1bb8e216f3f266f6cd413c4d90df0aff
127,82,4,3,very much,a lot,high,very high,24c463c69f84e0def88e9108790396100925a17505c385dcc535c26c89593305
127,83,4,3,average,a little,normal,high,d9cdd183277f556ead9f05c3d1d7e1b552959f42af82a22da7564ef96a2372fc
127,84,4,3,a little,a lot,somewhat low,somewhat high,24cc26f3a7114382aacbb759ca3a82c13155c7a0b5f4a368680410c6d8fe483a
127,85,4,3,average,average,normal,extremely high,edc9a2f12c8d82689e3571830a8cf0233242259ce546e7222f2e9a32d9e5907c
127,86,4,3,very little,average,normal,very high,0cf1895e8f052cb0d7dd24b9faa2cd191143961a1e4596868859cfa5491fc4a7
127,87,4,3,a little,average,normal,somewhat high,87ed4c35082380125877a3ea70c45dabe09da14e3ad518961a478eacbc625771
127,88,4,3,average,a lot,normal,very high,ef1bd500bee69710c0435d0dbecbf9306057bea664a9fcfa9d1318621ff7e9e5
127,89,4,3,very much,a little,low,very high,76a34ce5729afcc003745fb2b0b29dbda601158a2e6237fe7bf83005e2c3cd38
127,90,4,3,very much,average,normal,somewhat high,c59e31331077cbd320ff6d298918f3e339f61509844324f8d8f1d815fcbb8a96
127,91,4,3,a lot,very little,low,high,21af4907488d43c863c329187f1b59dc4766dbf4a607ff49296fb17be77c1a45
127,92,4,3,very little,a little,high,high,18a3b7651a9b01049981c3ef55fdf84a33005d07336039f0feb9778a0dc4f638
127,93,5,3,a lot,very little,low,high,922348d9904638963f66d53efccca14ef2a7cb558c2ef4cdcc9060dcdb859b3b
127,94,5,3,very little,a lot,low,high,07ecb1dc87693204f4ac020b221a44d44de17a70f8d27e638710e2a1e8fb5b0b
127,95,5,3,very little,average,normal,high,1bef11149d707e0933f41bc639f1975cceb9cb696b5d8a04b5687437ed1275d9
127,96,5,3,a lot,average,normal,somewhat high,d75c6368a18a0e59836734ddc32c8db6137538540058cc29b06abac529707be9
127,97,5,3,a lot,a little,somewhat low,somewhat high,435c3b2a7942acdf5b313f90cec26c41b85de6ef5da533ff98c4f9ad2db48cdf
127,98,5,3,very much,a little,low,very high,9200f090644994b38f0b85f29a1f1cf24147f8a3e3c1fb8fff9b1b97728c24bd
127,99,5,3,average,very much,normal,very high,1103d3ea20a769782ca96136c6ca5ea2ca9f7627b24c1093d5e754b9cd604046
127,100,5,3,very much,very much,extremely high,extremely high,6d1d145f156852e247ed8cb9bf9ba750b931904831e1970672847d9fb0f68b1f
127,101,5,3,a lot,a lot,somewhat high,extremely high,f8f40ce2bf3a4b4cc5ff9ea360f882eabb21a5d49647aaedf20f1bac06763a9a
127,102,5,3,a lot,very much,high,very high,0df43e8c9a6493e52147de9d3016ba22cffb724ffc33fc2a7aea8239bceef5c3
127,103,5,3,average,very little,normal,high,772d55547832acfb3d68c1e2c3314993afb7d05b8061e9fc8769e7603740034b
127,104,5,3,a little,a little,somewhat high,somewhat high,8f3c92c406705de89bb29f0aa98d501cb264109e1ffee1dd188a037ea7f2ddfd
127,105,5,3,very much,average,normal,somewhat high,5394d6b06cece26aa019b683ea2fa3a9b948910e6373c5d3d1acc4f1ab63e465
127,106,5,3,very little,very much,extremely low,low,cb1bff5fd03d80454c9cf60c37fe062dcc904e93b0d3e4f719d882a16693341b
127,107,5,3,a little,a lot,somewhat low,somewhat high,97f1e9ecb58ee9f62e67bb559000a5d1944fdcc46213334e2d079cf2ed7cfec5
127,108,5,3,average,a lot,normal,somewhat high,9e4abb7f3fb5165d63f47cba0469f65ef63c9f5a67a2e24323c7566227521e31
127,109,5,3,a little,average,normal,somewhat high,a31efdef431a36fd54f1d09f9a4ccc02b01e0356cd667ecc05d94faeac508417
127,110,5,3,a little,very little,high,high,68ebc2be7eeba874456e644a1b92bbb33b266ae4b49e727a32e2b916d1034dba
127,111,5,3,average,a little,normal,high,07f139c6dbf1186c415548c5beb1da6463c4b09a71f7e6710677c482bc2607e5
127,112,5,3,a little,very much,low,low,de859391a07e426283b0ad25004731a01135a16a7b3b165a32f57c333c6f10dc
127,113,5,3,average,average,normal,extremely high,5546c62db1f3607a252d5da1f8642e626eb3254399459b4c36636d37b22135fc
127,114,5,3,very little,a little,high,high,f8c2e79fce6e973b46beb1faff9b0205335c98952c431f72133554b8c4bc51ab
127,115,5,3,very much,a lot,high,very high,932de2633afd90f0b7f94bf4c09dd0e29938d65530a52d489232fcec4d19a8fc
127,116,6,3,a lot,a little,somewhat low,high,8e89f9017539aa37e9957b3075e4b1afbd8cbff18cbc42803661e3eb5a4ab657
127,117,6,3,a little,a lot,somewhat low,somewhat high,d78a3f89891571d3e00d391f6d22785fe616c53a875f02fcd8288cd22add33fc
127,118,6,3,very much,very much,extremely high,extremely high,27af463707978dd78e83955a8a3babb0323c071f6024f5f09494da6ab832b8a8
127,119,6,3,a little,very much,low,low,60a8e5e3c154469eb44ed69da806b427ea4406a86bd222d5e1a01b82ac8bb653
127,120,6,3,very much,a little,low,low,62febb6080d23306333959aeb5d330a1eb014c9a0ad84bf10f2a165df69e9877
