participant_id,trial,block,condition,cue1,cue2,criterium,choice,prompt_hash
149,1,1,1,very little,very little,normal,extremely low,9482f038db854f88cfbbe4f63a54911f8bf4fe8b837e769e194a187d74260077
149,2,1,1,average,a little,somewhat high,high,1d076bdad5fd1d9ecb786257e5932e485835c75ea69e893817e864179d793dff
149,3,1,1,a little,average,somewhat low,somewhat high,41f7ae10db6fd6c58b66119daac0bc9d0f332864cccf12d48b90568fdb764ec4
149,4,1,1,average,very little,high,somewhat high,7bd79132a7a3b7bf176d010d48c40079c99c0c47ebbfe5345997d2b8323ece48
149,5,1,1,very little,average,low,very low,d4535f37d650ace76479e61ed4dcca9d3f127c8ed68e2563b14902b377bbbf31
149,6,1,1,very much,very much,normal,extremely high,80dc1ee35864d1541b6c8bd3748dc028f13800141a239a17bf5fb4527d6a44a5
149,7,1,1,average,average,normal,normal,62fd1c5981e114a0ef997b0239ed829d6ea822d45e801db0b1351eb1ecc80c7e
149,8,1,1,a little,a little,normal,somewhat low,e9ce218979b4596d9adb49c66075b426a11891373642d6dc20adba4f4f470aa9
149,9,1,1,average,a lot,somewhat low,very low,1fb4f2cf63ca894bf39a2844eef24b2a0bb823357c0ea8b29fc96886cc8dc21a
149,10,1,1,a lot,a little,high,low,deb481811bc45d0b6b1c41843cd9f156725032a737faf41afb716590a2753150
149,11,1,1,a little,very much,very low,very low,b7774fb6ddb186ef5c2aaa41c2818c089311de0fb24ded9fac6ccd4f2219502f
149,12,1,1,very much,a lot,somewhat high,very high,2e2e03b3f54043a86e10bc14562d0b3f6374c2a18a57e845da0dd6d554b28c03
149,13,1,1,average,very much,low,somewhat high,aede029afc9bc37d6d7a435105606d0a939f9341e749aff6badb2fea99248d83
149,14,1,1,very little,a little,somewhat low,very low,a0fd9ff93f9392a329bb0185758e3c8661c5464cac6122db8cbbeb7752f8bf47
149,15,1,1,very much,a little,very high,somewhat low,6a071f462f941933b64b97568d77520e792e9649acb442085ae400ffee4f6593
149,16,1,1,a lot,very little,very high,very high,dea2cb2257c92921bde64c29bfd2c1bc620235a51156ab5b302b7d2926e0f6ce
149,17,1,1,a lot,average,somewhat high,somewhat high,b19a5f10190028214d9047f2a7d9e09c3aa7395ff07cd0057a91d06d1a177238
149,18,1,1,a little,a lot,low,very low,16beb2268eaec643caa634b9355e0ee3f2efeccdc864100e023d13109037c354
149,19,1,1,a lot,very much,somewhat low,high,816bdd3c47124cea73671b6ccb0160d970fe32e06c639514d094ff2d5790c885
149,20,1,1,a lot,a lot,normal,very high,6cadc5cd8085bea119385587cdc6a234f14db61e5ba021fe62bdd460baaa31e8
149,21,1,1,very little,a lot,very low,extremely low,b0c683fe71d74029a112ce7da154e3ee1d93893dc2458fc30ed9936102ee5222
149,22,1,1,a little,very little,somewhat high,very low,af53113f65133c1e065233089dded3dd51f37e38df92010e2a8b8e49af142249
149,23,1,1,very much,average,high,very low,91c2a4cb25fe2b857eb0ca6d0071a74ffbf77593426b2b453a7f4ad6c7d4c8c5
149,24,2,1,a lot,a lot,normal,somewhat low,cdc7f847fa4bae6fe208bcb6606c422c8a20e83c632d91c1f43472d799102458
149,25,2,1,very much,a lot,somewhat high,somewhat high,7895ba4c8ad099b4f29c0926c2292a03786d1bfe99d4588c5f0c4507465ea5d1
149,26,2,1,a little,very much,very low,very low,6c116d7864dfdc22f2619c37114300d5f1d5cfb581bc96f0eb2533b1cc86eeb5
149,27,2,1,average,a little,somewhat high,somewhat low,98e4f201a06a38a112b1f8de0f3eef90fafd5651544fc39f7cd075d9dfeb9555
149,28,2,1,a lot,very little,very high,somewhat high,fcdd689867b0266eae5a64913fb9a9370d3f7e6c1c5da59c54a625e025047ffd
149,29,2,1,average,average,normal,normal,74206474ff6edabbf9d52e1a536827072709864f336022595015cf3092a0f937
149,30,2,1,a lot,very much,somewhat low,somewhat low,d80ff4626baadd98885faa002be33d840856728e7949ae11aaafcac21b127924
149,31,2,1,very much,a little,very high,very high,293f2455dd0e078973243a5114392601484acf0b8358bbcf6913ad1e97cabcba
149,32,2,1,a lot,a little,high,somewhat high,4f289196f7b7fe7f64217fb693f3e614735582b8dc8e327941562a97337cc2b3
149,33,2,1,a little,average,somewhat low,very low,f39e30a321d6b0a617054516de6b7880771d69a3e0d490289c99562fe9e9934e
149,34,2,1,a lot,average,somewhat high,somewhat low,e6e2064528f112130c1557da239f9d4c217132b81d6923be330ce59d34e52f88
149,35,2,1,very little,very little,normal,normal,46f818c5d8b844a6fc3e227c4e972b1e9c79644a4c2bde16b3bb004f11bc113b
