participant_id,trial,block,condition,cue1,cue2,criterium,choice,prompt_hash
130,1,1,2,4,3,60,50,568d2a3a9d1e90e30ab8bef92e38a95f9340c2740c3ee3f9e575fdcdc205387a
130,2,1,2,2,2,50,30,ba61e21945522c29a753d875e4881e37b49f626494eb4e2057cf52aca549fd89
130,3,1,2,5,5,50,50,97be69178d347ba5476805710392a86171371f56dbf0b84901980f4530c7469a
130,4,1,2,3,2,60,50,1fc9d26ed48b9307e756acb7565d7e7d4b701e89defb023caec1423a26b91947
130,5,1,2,4,4,50,50,2a8bd09c38418880f7ee59e71d8905dd8f2774f288a03331b6424fd1f5b459ea
130,6,1,2,3,4,40,60,9e102da1efe19fef1d5e279e2354e13e326365db92171824a27a51e918b8f06d
130,7,1,2,3,3,50,50,69eec8a9faf820c190ce9f5a994b63cbad95ca6d90ddc5dab556775a064c2484
130,8,1,2,4,5,40,40,6cacee09cff65d6b9128c4b2f9c2e76782768eead01fc30d552a71ccb8389909
130,9,1,2,1,3,30,40,a7031662d6dc9f6865ca1a5399974fb9f8d18878a19abd4e0e2207900bd192fb
130,10,1,2,2,5,20,30,3e601fa50efabd515429b5e26379f7fd5aad4c34ff6b5ab5aa698e49eef34249
130,11,1,2,2,1,60,30,f0c5da1968d90780d44d8e4e8b4b9de03a607f55b2b68134bbe874867d3a4125
130,12,1,2,1,4,20,30,91cbd3a9c77b8d5fac2146d7c53ec5c22d1ff76b982ce5e2665ae93203fe8bbf
130,13,1,2,4,2,70,40,a9f171ee238fe01201648cdded1b6e84663cf70a00e7493afe73907de3da664f
130,14,1,2,3,1,70,40,52f37b832141c71ec2a136b716790919460fb2a550a92051794d74a62e6ba5c9
130,15,1,2,5,2,80,70,aa255f03f83daa360b78f97f8a70d4bffa31eb47739d24d2fc8c273ff095ad92
130,16,1,2,2,3,40,60,853fe235103e7273dbe2ff7e404c662048a8fe6cbafe607928a897ac11114381
130,17,1,2,2,4,30,30,6f9d3aaa95402d76fc7d064eb35ce9e6ccfd44fc093631e06b17ece448430e12
130,18,1,2,5,4,60,50,9fb3a3791ead70bba9701fd67dfec0d12aab11d98bcb45d02da7248f4dc0c76f
130,19,1,2,4,1,80,70,d84a7a482b33193ece9be8f80eefc38b61f70df64c7c5e098a6aebea1a4364d6
130,20,1,2,3,5,30,30,bc213eaecce8b33c3e47dede124a0dec6542399b03a7b39fbd11f5181bb35a4d
130,21,1,2,1,2,40,70,325a8949ab60a292ba764a4fd2c82ebfeb6ca80585a7d2a672c32071332c7744
130,22,1,2,5,3,70,40,07bd378036f190f1e2d007c8e67611516ebe8cdb3b5716b1af832f1a35f37563
130,23,1,2,1,1,50,50,a73d66731e65fddf5629d70734abcaab23a971248e72a494e91de9f8a9046407
130,24,2,2,4,5,40,40,1607adcbfbe006e03b51e3d8107992c9487c6b3a6dedf4e50f2aebca635ae029
130,25,2,2,3,1,70,70,9a2788a85fdba52741ec2c31e5172ced6926c04be761e0a40e48d72d4eaeea3f
130,26,2,2,1,2,40,70,b9f0ba44b1a61fb8778521a8dcc40c36be7d83d661445a986250ee548a4d9d51
130,27,2,2,5,3,70,70,f037beb23bc089ccce33c0473c874b129a48033aad735d0dc9c78366ac9c4377
130,28,2,2,4,4,50,50,a8ae4b0b9cc9eab9eb0f9acd36abe68484a3ba7888f1609e991428d32bd9cdbe
130,29,2,2,1,3,30,70,9cf8c39fbd28359024dcea7060a3637957723fd1d89cca57ab407d7caa776bdb
130,30,2,2,2,1,60,70,0915ae0c5ff1c12efc14fb826b1e30a27f3c9dd588f7d327d61007217b262d13
130,31,2,2,3,3,50,50,0d809ad56663dad053bdb826f1235c7c7dc2423768a4057efed74f74aa23e67f
130,32,2,2,5,2,80,80,69a593351dd3ea538cd1579f76eada1b921863cedc3048a8ca60ef0d7ad2d4bb
130,33,2,2,3,2,60,70,a7d549d89452883e746fc1bc1cf509e70b5cc3a0293d2d30849a9807cf5a044b
130,34,2,2,1,1,50,50,ab0aae75c719704be988d8760f422713475e2c74d01f2ab4ee1ef9ea1eee5488
