participant_id,trial,block,condition,cue1,cue2,criterium,choice,prompt_hash
134,1,1,2,4,1,80,40,321172d46381d730cae6bea481a9249c2bc05f2808327700a2f9068c1e622111
134,2,1,2,1,1,50,50,7b8d5b07726b4e25bc634ab53c62db6d5d13de38a305022b431cb3c36c485256
134,3,1,2,2,4,30,60,04db4580212978d7897687ffda558c8face1cb4cc02dd053c4f497a0ee0b0c31
134,4,1,2,3,5,30,40,6346af66cfc64abfbeee93d4dd6e47725dd130dafbdd3047f23294826556c5e5
134,5,1,2,5,2,80,50,8d5e25df49437140a2118b5ba7116a7851bdc01038b9bd0990e69996dad04396
134,6,1,2,5,4,60,80,ac3413955ea950810f85dfcfc4a4af9ae92dc656e4d088f265ead92f359f9704
134,7,1,2,2,2,50,60,2a8bbbac1f7b147b4b255416494ac310b078a3b1db29cf6b06b46be2f868767e
134,8,1,2,1,4,20,70,b6d2c80aa4e197c31f7b644edf7128769800717c098fdb6fc11cbd367174870c
134,9,1,2,3,1,70,30,972c2adb53370fe0fab34979d17f817e1f5682acca1ceaf9ae052f3ecddaffcc
134,10,1,2,4,5,40,50,c3b7028ca30b749306e92b96cdbacbe836684aa07b00920ebc8bccb05ba1499c
134,11,1,2,4,3,60,40,f9ea779b323af64f4e3762a043d6f5002d0932e8cbf10c4aae087949db919f33
134,12,1,2,2,5,20,80,4f7ac6959a3711c02154d6950e24670e7b8c593279beeb2dfba71e60bbd9eae5
134,13,1,2,3,4,40,40,021bfbd4c7e2cf4f5d89d805a9023444f4b3ba555948304ee7ae75901cedb6c4
134,14,1,2,5,5,50,50,bb3e102c8313b16bb1825f476a9edbbc78a860c1aae416186d4d5fcf35048f3e
134,15,1,2,1,2,40,30,ad1a4cbcd3217b0f3fb934c011db4012c140eff353efa1d3a9a9c8c5c116c126
134,16,1,2,5,3,70,40,0f747fef720ebc8bd9fd7ab1a983353f9bcdc9c02e49619de4d6797349ca12a9
134,17,1,2,1,3,30,30,6c05c14607aa1d6a2414c96c56d66d2ccbbaaff0b821db621e49e302f27e1519
134,18,1,2,4,2,70,40,547ec49ad8753664ba351c1d1d05ad547873a0b92b585ecd6f929e427ea61bcc
134,19,1,2,2,3,40,30,d037653bc0ddf9cf6e758caf057e99629b2d42dad662383db7f3b4c1352a64b0
134,20,1,2,4,4,50,50,6bf137fcbb13efb1e56b666d61fde6ee06be2f4c189096567339484e76e9e979
134,21,1,2,3,3,50,50,eae10b219738fe4ed6df7dcb76792f600ea495bf6dfe6aee4bda5913eaf6fa2b
134,22,1,2,3,2,60,40,890e8307748d4f335463b158fc8b321e83ba82eb7439ecf49b47e2f74f6159da
134,23,1,2,2,1,60,30,327dc8ca38798d603e50462fe4745cbadc27b1955dfb49e4eb2871641fa629ed
134,24,2,2,1,3,30,30,c866fd3403f7df535eeff114b671561b29feef85564ab2a5ec0d2dd4df32d7ad
134,25,2,2,3,1,70,30,48d2992afc00ed9fc9b037398a9d3f5e535a91a269fd5aedda77d9935490f89c
134,26,2,2,1,2,40,40,8824bf112a77eb81e06e0e6b371d37fd84ab723293d46e21ace1dc39399ce89b
134,27,2,2,4,3,60,40,a35afb58c4710732e8b3ede37f27e88c829afbf5db7d2df8e7d16e0c4b5ffb28
134,28,2,2,3,5,30,60,fbac0a1ca074b1aa45a56124d54ac50a546b9127e1620a5cfd4502c716530ba6
134,29,2,2,5,3,70,40,816ade5aaec32cbc9508a6d148e245e4f2ee83b9a7fab7b8e2d570c085e04bd5
134,30,2,2,4,4,50,50,7444748f2a7a47066ae159927a12e9e39913fafed081a60cf4a2532c4d3c09a5
134,31,2,2,3,2,60,40,1aea6da2f599cb98b172c4c5b4a6e47dd3b62206e472464e2add787800f11652
134,32,2,2,3,4,40,40,6408c8f32728ecf234757c35e15fb72ae3bc677d3ce89620c7d85be1a28b11ae
134,33,2,2,5,5,50,50,673868ac604d697eeb606294acaacb092518e3890dde5b5300df4fc943374f07
134,34,2,2,5,4,60,40,ee368c920560494faced6d8b81bbce5be1b4c14585f8df9e30bb211e9dde3184
134,35,2,2,1,4,20,70,4331fbfb0f4724f70d0bce8b57ca71a2d5cc77079d350ad0a000ac15a6a676eb
134,36,2,2,3,3,50,50,2941cbad14d750c63578e67c15902aa338fb03a426c5ed7e161aa372749a0952
134,37,2,2,2,4,30,60,61f249bdda5f40d7129cb4d330c874789a4565810f0410d92fdee5fa1374fb1a
134,38,2,2,5,2,80,60,40c1c8182a78014034c19615e3058be889ccb00893c06eeb3e1fcbabd1943556
134,39,2,2,2,3,40,40,c75e460370c6ade3c0dd9cb4539b054be9f8cf12512ff7e19ee69f84943be337
134,40,2,2,4,5,40,40,6f847bedaa5e85388775880ca907163ee06fda8d26a2aa37f76837d62d2b8bdd
134,41,2,2,2,2,50,50,8520db3861f13b45eee00aef8b517a0e97674c954354827fb75c469be7bf32b0
134,42,2,2,4,2,70,40,918e75eb3d1c35f93a73fc44426c503ef656f329ec8146bd641d88ee00db1236
134,43,2,2,4,1,80,30,3e0e7d7686284dc1ce99e58f7a2d400518b84726f8a396567ae159dc14284432
134,44,2,2,1,1,50,50,deede9090c95a6750df231800da1adce03bc836040ef632523bed714bbb45b4e
134,45,2,2,2,1,60,30,150e83ec61c9d4b8a279544fb0ebb77cbb509d01da73394ffba06b3b055193a5
134,46,2,2,2,5,20,80,24a8e24986248659c7cfad0c3e5dfbf9a4607d9cbc367fcec14ffae17aaf5b8a
134,47,3,2,3,2,60,40,55e9182295191359a7c51497498c6e91b83fd1db372ac0047b49f4daaaeda63d
134,48,3,2,3,4,40,40,73a2623ac64bea0e192541035273e8c0eb351726be63bee378aab020afde32ce
134,49,3,2,3,3,50,50,517bd300b0f362755b991332ea90677bb09a207f4098e80ef10c2d9ab2f9cdf4
134,50,3,2,2,4,30,40,0fc5202efacba729e8aa43752b17e8c1e6e128b77d5c5c3b8bb609ad8edc6827
134,51,3,2,1,4,20,70,7bd4e8ddc34612dda308536d13cd2cb3966e506c71fe202cc91dd66993a87825
134,52,3,2,4,5,40,40,fb363c1409e98dd3cee0bb00ab3c32da6db4e3fb4e5905ce0cc1b5848e77df9b
134,53,3,2,1,3,30,30,5d83d154ef0fdf8fec62dee9c3f69188a7f0d5162e17d22061b6489dabd4b18b
134,54,3,2,2,3,40,40,eddc3ae186634390d9dacf0a6ee7258e8f29b47a4351c2f023dbcd9990ec6446
134,55,3,2,3,5,30,60,334fe919c96822c23ed319736df2f1e3ae49f28acb941b4c55c67d5ef9e3d05a
134,56,3,2,2,5,20,80,196eddc3971bad5b4f6be5efc8faa348005faf14ad50ec7ddf740421b37cc67d
134,57,3,2,5,3,70,40,5def625737a65b28ce099dfdaef5b8ae6663fcb408215333409667a0aa292647
134,58,3,2,4,3,60,40,c36763aaf7e85eb8d9094ebfb256d7cd467711d066eb738c30a0c2d1dec02c2b
134,59,3,2,2,2,50,50,bfff6b33b48cabe1d00c2dcdfd040f527c27ca64902329f9dee2c946b478657e
134,60,3,2,4,1,80,30,4ce58ca6efdf483e30dd77a120237e708c4d63c85e7d8a4671bc6ae69c825ec1
134,61,3,2,5,4,60,40,e27a4df4c8c30f761bccb1fe476851bfe82fb4eb009fab7e400cc3d9c38a1ee3
134,62,3,2,1,2,40,30,e5211c10bc5bf4b670f377639580e8090af7afba8cbedefada392778548c9995
134,63,3,2,5,2,80,60,8bb62cb1906a362bbead2054fea172a52ed13fef2ef6be5ac6602eebaeba3f35
134,64,3,2,4,2,70,40,98e943125072346975e3bbf14d2c81f71e3e819a0d3d0695fa06a760b17ff8be
134,65,3,2,2,1,60,30,8723966cb660a74e6b2ec7bb0fdab707856204b97bfabdc678b6bbe175eee4e6
134,66,3,2,3,1,70,30,60a9e1d8f01d6a1e1638d74abd68bcdd9fd8ad8bd266ddd0553657a37a541b38
134,67,3,2,5,5,50,50,5c54152ef29b2a00875852ffd42299fefeec0354bf50eb886c6316b26d8a34f6
134,68,3,2,1,1,50,50,108fd2b5f2846749c53aa84c2e7fa1ea742c7d663649298a9400953295019b2f
134,69,3,2,4,4,50,50,130097977302b59d66314a5dd315afe6d48d04df8ef38c752e718ae47720de24
134,70,4,2,2,5,20,80,abbf605659227c9b17a16641c0e112bca43c86152c9d7ad984dc0aaf3f69b54f
134,71,4,2,1,4,20,70,83bf401efc97206cd65a4eb50f3313d4f28191c73d28a87bc400b24829685696
134,72,4,2,4,2,70,40,c346a6fd476d48f4a6991acc64792bc283b243a0f24ad52ba4fd86f80d982507
134,73,4,2,2,4,30,40,f971d09b7358328194b5d45cbc4f9f86ab116c83699817c7cf26e95146e4d105
134,74,4,2,4,5,40,40,a88003e07c4ebaf2e0b965a060a10908b735da18bf5c8f832ec5ee635418d953
134,75,4,2,3,1,70,30,3ea2d0610baf2971d851dbe4fa9e41da89e0d48ef987a30ea37995e795b7afda
134,76,4,2,4,3,60,40,01bd210eba2c083c90c6b27dc58d725223ed53dac0d90203395a7790999d3c9b
