trial,choice,reward,cumulative_reward,model_id
1,1,1,1,71483
2,1,1,2,71483
3,2,0,2,71483
4,1,0,2,71483
5,1,1,3,71483
6,1,1,4,71483
7,1,1,5,71483
8,1,1,6,71483
9,1,1,7,71483
10,1,0,7,71483
11,2,1,8,71483
12,2,1,9,71483
13,2,0,9,71483
14,1,1,10,71483
15,2,1,11,71483
16,2,0,11,71483
17,2,0,11,71483
18,1,1,12,71483
19,1,1,13,71483
20,1,1,14,71483
21,1,1,15,71483
22,1,1,16,71483
23,1,1,17,71483
24,1,1,18,71483
25,1,1,19,71483
26,1,1,20,71483
27,1,1,21,71483
28,1,1,22,71483
29,2,0,22,71483
30,1,1,23,71483
31,1,1,24,71483
32,1,1,25,71483
33,1,1,26,71483
34,1,1,27,71483
35,1,1,28,71483
36,1,1,29,71483
37,1,1,30,71483
38,1,1,31,71483
39,1,1,32,71483
40,2,0,32,71483
41,1,1,33,71483
42,1,1,34,71483
43,1,1,35,71483
44,1,1,36,71483
45,1,1,37,71483
46,1,1,38,71483
47,1,1,39,71483
48,1,1,40,71483
49,1,1,41,71483
50,1,1,42,71483
51,1,1,43,71483
52,1,1,44,71483
53,1,0,44,71483
54,1,0,44,71483
55,1,0,44,71483
56,1,0,44,71483
57,1,0,44,71483
58,2,1,45,71483
59,1,0,45,71483
60,2,1,46,71483
61,2,1,47,71483
62,2,1,48,71483
63,2,1,49,71483
64,2,1,50,71483
65,2,1,51,71483
66,2,1,52,71483
67,2,1,53,71483
68,2,1,54,71483
69,2,1,55,71483
70,2,1,56,71483
71,2,1,57,71483
72,2,1,58,71483
73,1,0,58,71483
74,2,1,59,71483
75,2,1,60,71483
76,2,1,61,71483
77,2,1,62,71483
78,2,1,63,71483
79,2,1,64,71483
80,2,1,65,71483
81,2,1,66,71483
82,1,0,66,71483
83,2,1,67,71483
84,2,1,68,71483
85,2,1,69,71483
86,2,1,70,71483
87,2,1,71,71483
88,2,1,72,71483
89,2,0,72,71483
90,2,1,73,71483
91,2,1,74,71483
92,2,1,75,71483
93,2,1,76,71483
94,2,1,77,71483
95,2,1,78,71483
96,2,1,79,71483
97,2,1,80,71483
98,2,1,81,71483
99,2,1,82,71483
100,2,1,83,71483
