trial,choice,reward,cumulative_reward,model_id
1,2,1,1,66238
2,2,0,1,66238
3,2,0,1,66238
4,1,0,1,66238
5,1,1,2,66238
6,2,0,2,66238
7,1,1,3,66238
8,1,1,4,66238
9,1,1,5,66238
10,1,0,5,66238
11,2,1,6,66238
12,2,1,7,66238
13,2,0,7,66238
14,1,1,8,66238
15,1,1,9,66238
16,1,1,10,66238
17,1,1,11,66238
18,1,1,12,66238
19,2,0,12,66238
20,2,0,12,66238
21,1,1,13,66238
22,2,0,13,66238
23,1,1,14,66238
24,1,1,15,66238
25,1,1,16,66238
26,1,1,17,66238
27,1,1,18,66238
28,2,0,18,66238
29,1,1,19,66238
30,1,1,20,66238
31,1,1,21,66238
32,1,1,22,66238
33,1,1,23,66238
34,1,1,24,66238
35,1,1,25,66238
36,1,1,26,66238
37,1,1,27,66238
38,1,1,28,66238
39,1,1,29,66238
40,1,1,30,66238
41,1,1,31,66238
42,1,1,32,66238
43,1,1,33,66238
44,1,1,34,66238
45,2,1,35,66238
46,1,1,36,66238
47,2,0,36,66238
48,1,1,37,66238
49,2,0,37,66238
50,1,1,38,66238
51,1,1,39,66238
52,2,1,40,66238
53,1,0,40,66238
54,1,0,40,66238
55,2,1,41,66238
56,2,1,42,66238
57,1,0,42,66238
58,2,1,43,66238
59,2,1,44,66238
60,2,1,45,66238
61,2,1,46,66238
62,2,1,47,66238
63,2,1,48,66238
64,2,1,49,66238
65,2,1,50,66238
66,2,1,51,66238
67,2,1,52,66238
68,2,1,53,66238
69,2,1,54,66238
70,2,1,55,66238
71,1,0,55,66238
72,2,1,56,66238
73,2,1,57,66238
74,2,1,58,66238
75,2,1,59,66238
76,2,1,60,66238
77,2,1,61,66238
78,2,1,62,66238
79,2,1,63,66238
80,2,1,64,66238
81,2,1,65,66238
82,2,1,66,66238
83,2,1,67,66238
84,2,1,68,66238
85,2,1,69,66238
86,2,1,70,66238
87,2,1,71,66238
88,2,1,72,66238
89,2,0,72,66238
90,2,1,73,66238
91,2,1,74,66238
92,2,1,75,66238
93,2,1,76,66238
94,2,1,77,66238
95,2,1,78,66238
96,2,1,79,66238
97,2,1,80,66238
98,2,1,81,66238
99,2,1,82,66238
100,2,1,83,66238
