trial,choice,reward,cumulative_reward,model_id
1,2,1,1,18290
2,1,1,2,18290
3,1,1,3,18290
4,2,1,4,18290
5,2,1,5,18290
6,1,1,6,18290
7,1,1,7,18290
8,1,1,8,18290
9,1,1,9,18290
10,2,1,10,18290
11,2,1,11,18290
12,2,1,12,18290
13,2,0,12,18290
14,1,1,13,18290
15,2,1,14,18290
16,2,0,14,18290
17,1,1,15,18290
18,1,1,16,18290
19,2,0,16,18290
20,1,1,17,18290
21,2,0,17,18290
22,1,1,18,18290
23,1,1,19,18290
24,1,1,20,18290
25,1,1,21,18290
26,1,1,22,18290
27,1,1,23,18290
28,2,0,23,18290
29,1,1,24,18290
30,1,1,25,18290
31,2,0,25,18290
32,1,1,26,18290
33,1,1,27,18290
34,1,1,28,18290
35,1,1,29,18290
36,1,1,30,18290
37,1,1,31,18290
38,1,1,32,18290
39,1,1,33,18290
40,1,1,34,18290
41,1,1,35,18290
42,2,0,35,18290
43,1,1,36,18290
44,1,1,37,18290
45,1,1,38,18290
46,1,1,39,18290
47,1,1,40,18290
48,2,0,40,18290
49,1,1,41,18290
50,1,1,42,18290
51,1,1,43,18290
52,1,1,44,18290
53,1,0,44,18290
54,1,0,44,18290
55,1,0,44,18290
56,2,1,45,18290
57,2,1,46,18290
58,2,1,47,18290
59,2,1,48,18290
60,2,1,49,18290
61,2,1,50,18290
62,2,1,51,18290
63,2,1,52,18290
64,2,1,53,18290
65,2,1,54,18290
66,2,1,55,18290
67,1,0,55,18290
68,2,1,56,18290
69,2,1,57,18290
70,1,1,58,18290
71,2,1,59,18290
72,1,0,59,18290
73,2,1,60,18290
74,2,1,61,18290
75,2,1,62,18290
76,1,1,63,18290
77,2,1,64,18290
78,2,1,65,18290
79,2,1,66,18290
80,1,0,66,18290
81,2,1,67,18290
82,1,0,67,18290
83,2,1,68,18290
84,2,1,69,18290
85,2,1,70,18290
86,2,1,71,18290
87,2,1,72,18290
88,2,1,73,18290
89,2,0,73,18290
90,2,1,74,18290
91,2,1,75,18290
92,2,1,76,18290
93,1,0,76,18290
94,2,1,77,18290
95,2,1,78,18290
96,2,1,79,18290
97,2,1,80,18290
98,2,1,81,18290
99,2,1,82,18290
100,2,1,83,18290
