trial,choice,reward,cumulative_reward,model_id
1,1,1,1,26063
2,1,1,2,26063
3,2,0,2,26063
4,1,0,2,26063
5,1,1,3,26063
6,1,1,4,26063
7,1,1,5,26063
8,1,1,6,26063
9,1,1,7,26063
10,2,1,8,26063
11,2,1,9,26063
12,1,1,10,26063
13,1,1,11,26063
14,1,1,12,26063
15,2,1,13,26063
16,1,1,14,26063
17,1,1,15,26063
18,1,1,16,26063
19,1,1,17,26063
20,2,0,17,26063
21,1,1,18,26063
22,1,1,19,26063
23,1,1,20,26063
24,1,1,21,26063
25,1,1,22,26063
26,1,1,23,26063
27,1,1,24,26063
28,1,1,25,26063
29,1,1,26,26063
30,1,1,27,26063
31,1,1,28,26063
32,1,1,29,26063
33,1,1,30,26063
34,1,1,31,26063
35,1,1,32,26063
36,1,1,33,26063
37,2,0,33,26063
38,1,1,34,26063
39,1,1,35,26063
40,1,1,36,26063
41,1,1,37,26063
42,1,1,38,26063
43,1,1,39,26063
44,1,1,40,26063
45,1,1,41,26063
46,1,1,42,26063
47,1,1,43,26063
48,1,1,44,26063
49,1,1,45,26063
50,1,1,46,26063
51,1,1,47,26063
52,1,1,48,26063
53,1,0,48,26063
54,1,0,48,26063
55,2,1,49,26063
56,2,1,50,26063
57,2,1,51,26063
58,2,1,52,26063
59,2,1,53,26063
60,2,1,54,26063
61,2,1,55,26063
62,2,1,56,26063
63,2,1,57,26063
64,2,1,58,26063
65,2,1,59,26063
66,2,1,60,26063
67,1,0,60,26063
68,2,1,61,26063
69,2,1,62,26063
70,2,1,63,26063
71,2,1,64,26063
72,2,1,65,26063
73,2,1,66,26063
74,2,1,67,26063
75,2,1,68,26063
76,2,1,69,26063
77,2,1,70,26063
78,1,0,70,26063
79,2,1,71,26063
80,2,1,72,26063
81,2,1,73,26063
82,2,1,74,26063
83,2,1,75,26063
84,1,0,75,26063
85,2,1,76,26063
86,2,1,77,26063
87,2,1,78,26063
88,2,1,79,26063
89,2,0,79,26063
90,1,1,80,26063
91,2,1,81,26063
92,2,1,82,26063
93,2,1,83,26063
94,1,0,83,26063
95,1,0,83,26063
96,2,1,84,26063
97,2,1,85,26063
98,2,1,86,26063
99,2,1,87,26063
100,2,1,88,26063
