trial,choice,reward,cumulative_reward,model_id
1,1,1,1,3906
2,1,1,2,3906
3,1,1,3,3906
4,1,0,3,3906
5,1,1,4,3906
6,1,1,5,3906
7,2,1,6,3906
8,2,0,6,3906
9,2,0,6,3906
10,1,0,6,3906
11,1,1,7,3906
12,1,1,8,3906
13,1,1,9,3906
14,1,1,10,3906
15,1,1,11,3906
16,1,1,12,3906
17,2,0,12,3906
18,2,0,12,3906
19,1,1,13,3906
20,1,1,14,3906
21,1,1,15,3906
22,1,1,16,3906
23,1,1,17,3906
24,1,1,18,3906
25,1,1,19,3906
26,1,1,20,3906
27,1,1,21,3906
28,1,1,22,3906
29,1,1,23,3906
30,1,1,24,3906
31,1,1,25,3906
32,1,1,26,3906
33,1,1,27,3906
34,1,1,28,3906
35,1,1,29,3906
36,1,1,30,3906
37,1,1,31,3906
38,1,1,32,3906
39,1,1,33,3906
40,1,1,34,3906
41,2,0,34,3906
42,1,1,35,3906
43,1,1,36,3906
44,1,1,37,3906
45,1,1,38,3906
46,1,1,39,3906
47,1,1,40,3906
48,1,1,41,3906
49,1,1,42,3906
50,1,1,43,3906
51,1,1,44,3906
52,1,1,45,3906
53,1,0,45,3906
54,2,1,46,3906
55,2,1,47,3906
56,2,1,48,3906
57,1,0,48,3906
58,2,1,49,3906
59,2,1,50,3906
60,2,1,51,3906
61,2,1,52,3906
62,1,0,52,3906
63,2,1,53,3906
64,2,1,54,3906
65,2,1,55,3906
66,2,1,56,3906
67,2,1,57,3906
68,1,0,57,3906
69,2,1,58,3906
70,2,1,59,3906
71,2,1,60,3906
72,1,0,60,3906
73,2,1,61,3906
74,2,1,62,3906
75,2,1,63,3906
76,2,1,64,3906
77,2,1,65,3906
78,2,1,66,3906
79,2,1,67,3906
80,2,1,68,3906
81,2,1,69,3906
82,2,1,70,3906
83,2,1,71,3906
84,2,1,72,3906
85,2,1,73,3906
86,2,1,74,3906
87,2,1,75,3906
88,2,1,76,3906
89,2,0,76,3906
90,1,1,77,3906
91,2,1,78,3906
92,2,1,79,3906
93,2,1,80,3906
94,1,0,80,3906
95,1,0,80,3906
96,2,1,81,3906
97,2,1,82,3906
98,1,0,82,3906
99,2,1,83,3906
100,2,1,84,3906
