trial,choice,reward,cumulative_reward,model_id
1,1,1,1,77398
2,1,1,2,77398
3,2,0,2,77398
4,1,0,2,77398
5,1,1,3,77398
6,1,1,4,77398
7,1,1,5,77398
8,1,1,6,77398
9,2,0,6,77398
10,1,0,6,77398
11,1,1,7,77398
12,1,1,8,77398
13,1,1,9,77398
14,1,1,10,77398
15,1,1,11,77398
16,1,1,12,77398
17,1,1,13,77398
18,2,0,13,77398
19,1,1,14,77398
20,1,1,15,77398
21,1,1,16,77398
22,1,1,17,77398
23,1,1,18,77398
24,1,1,19,77398
25,1,1,20,77398
26,1,1,21,77398
27,1,1,22,77398
28,1,1,23,77398
29,1,1,24,77398
30,1,1,25,77398
31,1,1,26,77398
32,1,1,27,77398
33,1,1,28,77398
34,1,1,29,77398
35,1,1,30,77398
36,1,1,31,77398
37,1,1,32,77398
38,1,1,33,77398
39,1,1,34,77398
40,1,1,35,77398
41,1,1,36,77398
42,1,1,37,77398
43,1,1,38,77398
44,1,1,39,77398
45,1,1,40,77398
46,1,1,41,77398
47,1,1,42,77398
48,1,1,43,77398
49,1,1,44,77398
50,1,1,45,77398
51,1,1,46,77398
52,1,1,47,77398
53,1,0,47,77398
54,1,0,47,77398
55,2,1,48,77398
56,2,1,49,77398
57,1,0,49,77398
58,2,1,50,77398
59,2,1,51,77398
60,2,1,52,77398
61,2,1,53,77398
62,1,0,53,77398
63,2,1,54,77398
64,2,1,55,77398
65,2,1,56,77398
66,2,1,57,77398
67,2,1,58,77398
68,2,1,59,77398
69,2,1,60,77398
70,2,1,61,77398
71,2,1,62,77398
72,2,1,63,77398
73,2,1,64,77398
74,2,1,65,77398
75,2,1,66,77398
76,2,1,67,77398
77,2,1,68,77398
78,2,1,69,77398
79,2,1,70,77398
80,2,1,71,77398
81,2,1,72,77398
82,2,1,73,77398
83,2,1,74,77398
84,2,1,75,77398
85,2,1,76,77398
86,2,1,77,77398
87,1,0,77,77398
88,2,1,78,77398
89,2,0,78,77398
90,2,1,79,77398
91,2,1,80,77398
92,2,1,81,77398
93,2,1,82,77398
94,2,1,83,77398
95,2,1,84,77398
96,1,0,84,77398
97,2,1,85,77398
98,2,1,86,77398
99,2,1,87,77398
100,2,1,88,77398
