trial,choice,reward,cumulative_reward,model_id
1,1,1,1,78908
2,1,1,2,78908
3,1,1,3,78908
4,1,0,3,78908
5,1,1,4,78908
6,2,0,4,78908
7,1,1,5,78908
8,2,0,5,78908
9,1,1,6,78908
10,1,0,6,78908
11,1,1,7,78908
12,1,1,8,78908
13,1,1,9,78908
14,2,0,9,78908
15,1,1,10,78908
16,1,1,11,78908
17,1,1,12,78908
18,1,1,13,78908
19,1,1,14,78908
20,1,1,15,78908
21,1,1,16,78908
22,2,0,16,78908
23,2,0,16,78908
24,1,1,17,78908
25,1,1,18,78908
26,2,1,19,78908
27,1,1,20,78908
28,1,1,21,78908
29,1,1,22,78908
30,1,1,23,78908
31,1,1,24,78908
32,1,1,25,78908
33,2,0,25,78908
34,1,1,26,78908
35,1,1,27,78908
36,1,1,28,78908
37,1,1,29,78908
38,2,0,29,78908
39,2,0,29,78908
40,1,1,30,78908
41,1,1,31,78908
42,1,1,32,78908
43,1,1,33,78908
44,1,1,34,78908
45,1,1,35,78908
46,2,0,35,78908
47,2,0,35,78908
48,1,1,36,78908
49,1,1,37,78908
50,1,1,38,78908
51,1,1,39,78908
52,1,1,40,78908
53,1,0,40,78908
54,2,1,41,78908
55,2,1,42,78908
56,1,0,42,78908
57,2,1,43,78908
58,2,1,44,78908
59,2,1,45,78908
60,2,1,46,78908
61,2,1,47,78908
62,2,1,48,78908
63,2,1,49,78908
64,2,1,50,78908
65,2,1,51,78908
66,2,1,52,78908
67,2,1,53,78908
68,2,1,54,78908
69,2,1,55,78908
70,2,1,56,78908
71,2,1,57,78908
72,2,1,58,78908
73,2,1,59,78908
74,2,1,60,78908
75,2,1,61,78908
76,2,1,62,78908
77,2,1,63,78908
78,1,0,63,78908
79,2,1,64,78908
80,2,1,65,78908
81,2,1,66,78908
82,2,1,67,78908
83,2,1,68,78908
84,2,1,69,78908
85,1,1,70,78908
86,2,1,71,78908
87,2,1,72,78908
88,2,1,73,78908
89,1,1,74,78908
90,1,1,75,78908
91,2,1,76,78908
92,2,1,77,78908
93,1,0,77,78908
94,1,0,77,78908
95,2,1,78,78908
96,2,1,79,78908
97,2,1,80,78908
98,1,0,80,78908
99,2,1,81,78908
100,2,1,82,78908
