trial,choice,reward,cumulative_reward,model_id
1,2,1,1,97197
2,2,0,1,97197
3,2,0,1,97197
4,1,0,1,97197
5,1,1,2,97197
6,1,1,3,97197
7,2,1,4,97197
8,1,1,5,97197
9,1,1,6,97197
10,1,0,6,97197
11,2,1,7,97197
12,2,1,8,97197
13,2,0,8,97197
14,2,0,8,97197
15,1,1,9,97197
16,1,1,10,97197
17,1,1,11,97197
18,1,1,12,97197
19,1,1,13,97197
20,1,1,14,97197
21,2,0,14,97197
22,1,1,15,97197
23,1,1,16,97197
24,1,1,17,97197
25,1,1,18,97197
26,1,1,19,97197
27,1,1,20,97197
28,2,0,20,97197
29,1,1,21,97197
30,1,1,22,97197
31,1,1,23,97197
32,1,1,24,97197
33,1,1,25,97197
34,1,1,26,97197
35,1,1,27,97197
36,1,1,28,97197
37,1,1,29,97197
38,1,1,30,97197
39,1,1,31,97197
40,1,1,32,97197
41,1,1,33,97197
42,1,1,34,97197
43,1,1,35,97197
44,1,1,36,97197
45,1,1,37,97197
46,1,1,38,97197
47,1,1,39,97197
48,1,1,40,97197
49,1,1,41,97197
50,2,1,42,97197
51,1,1,43,97197
52,1,1,44,97197
53,1,0,44,97197
54,1,0,44,97197
55,1,0,44,97197
56,2,1,45,97197
57,2,1,46,97197
58,2,1,47,97197
59,2,1,48,97197
60,1,1,49,97197
61,1,0,49,97197
62,1,0,49,97197
63,2,1,50,97197
64,2,1,51,97197
65,2,1,52,97197
66,1,0,52,97197
67,2,1,53,97197
68,2,1,54,97197
69,1,0,54,97197
70,2,1,55,97197
71,2,1,56,97197
72,2,1,57,97197
73,2,1,58,97197
74,1,0,58,97197
75,2,1,59,97197
76,2,1,60,97197
77,2,1,61,97197
78,2,1,62,97197
79,2,1,63,97197
80,2,1,64,97197
81,2,1,65,97197
82,1,0,65,97197
83,1,0,65,97197
84,2,1,66,97197
85,2,1,67,97197
86,2,1,68,97197
87,2,1,69,97197
88,2,1,70,97197
89,2,0,70,97197
90,2,1,71,97197
91,2,1,72,97197
92,2,1,73,97197
93,2,1,74,97197
94,2,1,75,97197
95,2,1,76,97197
96,2,1,77,97197
97,2,1,78,97197
98,2,1,79,97197
99,2,1,80,97197
100,2,1,81,97197
