trial,choice,reward,cumulative_reward,model_id
1,2,1,1,4166
2,2,0,1,4166
3,2,0,1,4166
4,1,0,1,4166
5,2,1,2,4166
6,2,0,2,4166
7,1,1,3,4166
8,1,1,4,4166
9,2,0,4,4166
10,1,0,4,4166
11,1,1,5,4166
12,2,1,6,4166
13,1,1,7,4166
14,2,0,7,4166
15,1,1,8,4166
16,2,0,8,4166
17,1,1,9,4166
18,1,1,10,4166
19,1,1,11,4166
20,1,1,12,4166
21,1,1,13,4166
22,1,1,14,4166
23,1,1,15,4166
24,1,1,16,4166
25,1,1,17,4166
26,1,1,18,4166
27,1,1,19,4166
28,1,1,20,4166
29,1,1,21,4166
30,1,1,22,4166
31,1,1,23,4166
32,1,1,24,4166
33,1,1,25,4166
34,1,1,26,4166
35,1,1,27,4166
36,1,1,28,4166
37,1,1,29,4166
38,1,1,30,4166
39,1,1,31,4166
40,1,1,32,4166
41,1,1,33,4166
42,1,1,34,4166
43,1,1,35,4166
44,1,1,36,4166
45,2,1,37,4166
46,1,1,38,4166
47,1,1,39,4166
48,1,1,40,4166
49,1,1,41,4166
50,2,1,42,4166
51,2,1,43,4166
52,2,1,44,4166
53,1,0,44,4166
54,1,0,44,4166
55,2,1,45,4166
56,1,0,45,4166
57,2,1,46,4166
58,2,1,47,4166
59,2,1,48,4166
60,2,1,49,4166
61,2,1,50,4166
62,2,1,51,4166
63,2,1,52,4166
64,2,1,53,4166
65,2,1,54,4166
66,2,1,55,4166
67,2,1,56,4166
68,2,1,57,4166
69,2,1,58,4166
70,2,1,59,4166
71,1,0,59,4166
72,2,1,60,4166
73,2,1,61,4166
74,2,1,62,4166
75,2,1,63,4166
76,2,1,64,4166
77,2,1,65,4166
78,2,1,66,4166
79,2,1,67,4166
80,2,1,68,4166
81,2,1,69,4166
82,2,1,70,4166
83,2,1,71,4166
84,2,1,72,4166
85,2,1,73,4166
86,2,1,74,4166
87,2,1,75,4166
88,2,1,76,4166
89,2,0,76,4166
90,2,1,77,4166
91,2,1,78,4166
92,2,1,79,4166
93,2,1,80,4166
94,2,1,81,4166
95,2,1,82,4166
96,2,1,83,4166
97,2,1,84,4166
98,2,1,85,4166
99,2,1,86,4166
100,2,1,87,4166
