trial,choice,reward,cumulative_reward,model_id
1,1,1,1,13435
2,1,1,2,13435
3,1,1,3,13435
4,1,0,3,13435
5,2,1,4,13435
6,1,1,5,13435
7,1,1,6,13435
8,1,1,7,13435
9,2,0,7,13435
10,1,0,7,13435
11,2,1,8,13435
12,2,1,9,13435
13,1,1,10,13435
14,2,0,10,13435
15,2,1,11,13435
16,2,0,11,13435
17,1,1,12,13435
18,1,1,13,13435
19,1,1,14,13435
20,1,1,15,13435
21,1,1,16,13435
22,1,1,17,13435
23,1,1,18,13435
24,2,0,18,13435
25,1,1,19,13435
26,1,1,20,13435
27,2,0,20,13435
28,1,1,21,13435
29,1,1,22,13435
30,1,1,23,13435
31,1,1,24,13435
32,1,1,25,13435
33,1,1,26,13435
34,1,1,27,13435
35,1,1,28,13435
36,1,1,29,13435
37,1,1,30,13435
38,1,1,31,13435
39,2,0,31,13435
40,1,1,32,13435
41,1,1,33,13435
42,2,0,33,13435
43,1,1,34,13435
44,2,0,34,13435
45,2,1,35,13435
46,1,1,36,13435
47,1,1,37,13435
48,1,1,38,13435
49,2,0,38,13435
50,1,1,39,13435
51,2,1,40,13435
52,2,1,41,13435
53,1,0,41,13435
54,2,1,42,13435
55,2,1,43,13435
56,2,1,44,13435
57,2,1,45,13435
58,2,1,46,13435
59,2,1,47,13435
60,2,1,48,13435
61,2,1,49,13435
62,2,1,50,13435
63,1,1,51,13435
64,2,1,52,13435
65,1,0,52,13435
66,2,1,53,13435
67,2,1,54,13435
68,1,0,54,13435
69,2,1,55,13435
70,1,1,56,13435
71,1,0,56,13435
72,2,1,57,13435
73,2,1,58,13435
74,2,1,59,13435
75,2,1,60,13435
76,2,1,61,13435
77,2,1,62,13435
78,2,1,63,13435
79,1,0,63,13435
80,2,1,64,13435
81,2,1,65,13435
82,2,1,66,13435
83,2,1,67,13435
84,2,1,68,13435
85,2,1,69,13435
86,2,1,70,13435
87,2,1,71,13435
88,2,1,72,13435
89,2,0,72,13435
90,2,1,73,13435
91,2,1,74,13435
92,2,1,75,13435
93,2,1,76,13435
94,2,1,77,13435
95,2,1,78,13435
96,2,1,79,13435
97,2,1,80,13435
98,1,0,80,13435
99,2,1,81,13435
100,2,1,82,13435
