trial,choice,reward,cumulative_reward,model_id
1,2,1,1,32099
2,1,1,2,32099
3,2,0,2,32099
4,1,0,2,32099
5,1,1,3,32099
6,1,1,4,32099
7,1,1,5,32099
8,1,1,6,32099
9,2,0,6,32099
10,1,0,6,32099
11,2,1,7,32099
12,1,1,8,32099
13,2,0,8,32099
14,1,1,9,32099
15,2,1,10,32099
16,1,1,11,32099
17,1,1,12,32099
18,1,1,13,32099
19,1,1,14,32099
20,1,1,15,32099
21,1,1,16,32099
22,2,0,16,32099
23,1,1,17,32099
24,2,0,17,32099
25,1,1,18,32099
26,1,1,19,32099
27,1,1,20,32099
28,1,1,21,32099
29,1,1,22,32099
30,1,1,23,32099
31,1,1,24,32099
32,1,1,25,32099
33,1,1,26,32099
34,1,1,27,32099
35,1,1,28,32099
36,1,1,29,32099
37,1,1,30,32099
38,1,1,31,32099
39,1,1,32,32099
40,1,1,33,32099
41,1,1,34,32099
42,1,1,35,32099
43,1,1,36,32099
44,1,1,37,32099
45,1,1,38,32099
46,1,1,39,32099
47,1,1,40,32099
48,1,1,41,32099
49,1,1,42,32099
50,1,1,43,32099
51,1,1,44,32099
52,1,1,45,32099
53,1,0,45,32099
54,2,1,46,32099
55,1,0,46,32099
56,2,1,47,32099
57,1,0,47,32099
58,2,1,48,32099
59,2,1,49,32099
60,2,1,50,32099
61,2,1,51,32099
62,2,1,52,32099
63,2,1,53,32099
64,2,1,54,32099
65,2,1,55,32099
66,2,1,56,32099
67,2,1,57,32099
68,1,0,57,32099
69,2,1,58,32099
70,2,1,59,32099
71,2,1,60,32099
72,2,1,61,32099
73,2,1,62,32099
74,2,1,63,32099
75,2,1,64,32099
76,2,1,65,32099
77,2,1,66,32099
78,2,1,67,32099
79,1,0,67,32099
80,2,1,68,32099
81,2,1,69,32099
82,2,1,70,32099
83,2,1,71,32099
84,2,1,72,32099
85,2,1,73,32099
86,2,1,74,32099
87,2,1,75,32099
88,2,1,76,32099
89,2,0,76,32099
90,2,1,77,32099
91,2,1,78,32099
92,2,1,79,32099
93,2,1,80,32099
94,2,1,81,32099
95,2,1,82,32099
96,2,1,83,32099
97,2,1,84,32099
98,2,1,85,32099
99,2,1,86,32099
100,2,1,87,32099
