trial,choice,reward,cumulative_reward,model_id
1,1,1,1,55303
2,2,0,1,55303
3,2,0,1,55303
4,1,0,1,55303
5,1,1,2,55303
6,1,1,3,55303
7,1,1,4,55303
8,1,1,5,55303
9,1,1,6,55303
10,1,0,6,55303
11,1,1,7,55303
12,1,1,8,55303
13,1,1,9,55303
14,2,0,9,55303
15,1,1,10,55303
16,1,1,11,55303
17,1,1,12,55303
18,1,1,13,55303
19,1,1,14,55303
20,1,1,15,55303
21,2,0,15,55303
22,1,1,16,55303
23,1,1,17,55303
24,1,1,18,55303
25,1,1,19,55303
26,1,1,20,55303
27,1,1,21,55303
28,1,1,22,55303
29,1,1,23,55303
30,1,1,24,55303
31,1,1,25,55303
32,1,1,26,55303
33,1,1,27,55303
34,1,1,28,55303
35,2,0,28,55303
36,1,1,29,55303
37,1,1,30,55303
38,1,1,31,55303
39,1,1,32,55303
40,1,1,33,55303
41,1,1,34,55303
42,1,1,35,55303
43,1,1,36,55303
44,1,1,37,55303
45,1,1,38,55303
46,1,1,39,55303
47,1,1,40,55303
48,2,0,40,55303
49,1,1,41,55303
50,1,1,42,55303
51,2,1,43,55303
52,1,1,44,55303
53,1,0,44,55303
54,1,0,44,55303
55,2,1,45,55303
56,2,1,46,55303
57,2,1,47,55303
58,2,1,48,55303
59,2,1,49,55303
60,2,1,50,55303
61,2,1,51,55303
62,2,1,52,55303
63,2,1,53,55303
64,1,0,53,55303
65,2,1,54,55303
66,2,1,55,55303
67,2,1,56,55303
68,2,1,57,55303
69,2,1,58,55303
70,2,1,59,55303
71,2,1,60,55303
72,2,1,61,55303
73,2,1,62,55303
74,2,1,63,55303
75,2,1,64,55303
76,2,1,65,55303
77,2,1,66,55303
78,2,1,67,55303
79,2,1,68,55303
80,2,1,69,55303
81,2,1,70,55303
82,2,1,71,55303
83,2,1,72,55303
84,2,1,73,55303
85,2,1,74,55303
86,2,1,75,55303
87,1,0,75,55303
88,2,1,76,55303
89,2,0,76,55303
90,2,1,77,55303
91,2,1,78,55303
92,2,1,79,55303
93,2,1,80,55303
94,2,1,81,55303
95,2,1,82,55303
96,2,1,83,55303
97,2,1,84,55303
98,2,1,85,55303
99,2,1,86,55303
100,2,1,87,55303
