trial,choice,reward,cumulative_reward,model_id
1,2,1,1,28658
2,1,1,2,28658
3,1,1,3,28658
4,1,0,3,28658
5,2,1,4,28658
6,2,0,4,28658
7,2,1,5,28658
8,2,0,5,28658
9,2,0,5,28658
10,2,1,6,28658
11,2,1,7,28658
12,1,1,8,28658
13,2,0,8,28658
14,1,1,9,28658
15,1,1,10,28658
16,2,0,10,28658
17,1,1,11,28658
18,1,1,12,28658
19,1,1,13,28658
20,2,0,13,28658
21,1,1,14,28658
22,1,1,15,28658
23,1,1,16,28658
24,1,1,17,28658
25,1,1,18,28658
26,2,1,19,28658
27,1,1,20,28658
28,2,0,20,28658
29,1,1,21,28658
30,1,1,22,28658
31,1,1,23,28658
32,2,0,23,28658
33,2,0,23,28658
34,1,1,24,28658
35,1,1,25,28658
36,1,1,26,28658
37,1,1,27,28658
38,1,1,28,28658
39,1,1,29,28658
40,1,1,30,28658
41,1,1,31,28658
42,1,1,32,28658
43,1,1,33,28658
44,2,0,33,28658
45,1,1,34,28658
46,1,1,35,28658
47,1,1,36,28658
48,2,0,36,28658
49,1,1,37,28658
50,1,1,38,28658
51,1,1,39,28658
52,1,1,40,28658
53,1,0,40,28658
54,1,0,40,28658
55,2,1,41,28658
56,2,1,42,28658
57,2,1,43,28658
58,2,1,44,28658
59,2,1,45,28658
60,2,1,46,28658
61,2,1,47,28658
62,2,1,48,28658
63,2,1,49,28658
64,2,1,50,28658
65,2,1,51,28658
66,1,0,51,28658
67,1,0,51,28658
68,2,1,52,28658
69,2,1,53,28658
70,2,1,54,28658
71,2,1,55,28658
72,2,1,56,28658
73,2,1,57,28658
74,1,0,57,28658
75,2,1,58,28658
76,2,1,59,28658
77,2,1,60,28658
78,1,0,60,28658
79,2,1,61,28658
80,1,0,61,28658
81,2,1,62,28658
82,1,0,62,28658
83,2,1,63,28658
84,2,1,64,28658
85,2,1,65,28658
86,2,1,66,28658
87,2,1,67,28658
88,2,1,68,28658
89,2,0,68,28658
90,1,1,69,28658
91,1,0,69,28658
92,2,1,70,28658
93,2,1,71,28658
94,2,1,72,28658
95,2,1,73,28658
96,2,1,74,28658
97,1,0,74,28658
98,2,1,75,28658
99,2,1,76,28658
100,2,1,77,28658
