trial,choice,reward,cumulative_reward,model_id
1,2,1,1,54988
2,1,1,2,54988
3,2,0,2,54988
4,2,1,3,54988
5,2,1,4,54988
6,1,1,5,54988
7,2,1,6,54988
8,1,1,7,54988
9,1,1,8,54988
10,2,1,9,54988
11,1,1,10,54988
12,1,1,11,54988
13,2,0,11,54988
14,1,1,12,54988
15,1,1,13,54988
16,1,1,14,54988
17,1,1,15,54988
18,1,1,16,54988
19,2,0,16,54988
20,1,1,17,54988
21,1,1,18,54988
22,1,1,19,54988
23,1,1,20,54988
24,1,1,21,54988
25,1,1,22,54988
26,2,1,23,54988
27,1,1,24,54988
28,2,0,24,54988
29,1,1,25,54988
30,1,1,26,54988
31,1,1,27,54988
32,1,1,28,54988
33,1,1,29,54988
34,1,1,30,54988
35,1,1,31,54988
36,2,0,31,54988
37,1,1,32,54988
38,1,1,33,54988
39,1,1,34,54988
40,1,1,35,54988
41,1,1,36,54988
42,1,1,37,54988
43,1,1,38,54988
44,2,0,38,54988
45,1,1,39,54988
46,1,1,40,54988
47,2,0,40,54988
48,1,1,41,54988
49,1,1,42,54988
50,1,1,43,54988
51,1,1,44,54988
52,1,1,45,54988
53,2,1,46,54988
54,1,0,46,54988
55,1,0,46,54988
56,2,1,47,54988
57,2,1,48,54988
58,2,1,49,54988
59,2,1,50,54988
60,1,1,51,54988
61,2,1,52,54988
62,2,1,53,54988
63,2,1,54,54988
64,2,1,55,54988
65,2,1,56,54988
66,2,1,57,54988
67,2,1,58,54988
68,2,1,59,54988
69,2,1,60,54988
70,2,1,61,54988
71,2,1,62,54988
72,2,1,63,54988
73,2,1,64,54988
74,2,1,65,54988
75,1,0,65,54988
76,2,1,66,54988
77,2,1,67,54988
78,1,0,67,54988
79,2,1,68,54988
80,2,1,69,54988
81,2,1,70,54988
82,2,1,71,54988
83,2,1,72,54988
84,2,1,73,54988
85,2,1,74,54988
86,2,1,75,54988
87,2,1,76,54988
88,2,1,77,54988
89,2,0,77,54988
90,2,1,78,54988
91,2,1,79,54988
92,2,1,80,54988
93,2,1,81,54988
94,2,1,82,54988
95,2,1,83,54988
96,2,1,84,54988
97,2,1,85,54988
98,2,1,86,54988
99,2,1,87,54988
100,1,1,88,54988
