trial,choice,reward,cumulative_reward,model_id
1,2,1,1,29257
2,1,1,2,29257
3,1,1,3,29257
4,1,0,3,29257
5,1,1,4,29257
6,1,1,5,29257
7,2,1,6,29257
8,2,0,6,29257
9,1,1,7,29257
10,1,0,7,29257
11,1,1,8,29257
12,1,1,9,29257
13,1,1,10,29257
14,2,0,10,29257
15,1,1,11,29257
16,1,1,12,29257
17,1,1,13,29257
18,2,0,13,29257
19,1,1,14,29257
20,1,1,15,29257
21,1,1,16,29257
22,1,1,17,29257
23,1,1,18,29257
24,1,1,19,29257
25,1,1,20,29257
26,1,1,21,29257
27,2,0,21,29257
28,1,1,22,29257
29,1,1,23,29257
30,1,1,24,29257
31,1,1,25,29257
32,1,1,26,29257
33,1,1,27,29257
34,1,1,28,29257
35,1,1,29,29257
36,1,1,30,29257
37,1,1,31,29257
38,1,1,32,29257
39,1,1,33,29257
40,1,1,34,29257
41,1,1,35,29257
42,1,1,36,29257
43,2,1,37,29257
44,2,0,37,29257
45,1,1,38,29257
46,2,0,38,29257
47,1,1,39,29257
48,1,1,40,29257
49,1,1,41,29257
50,1,1,42,29257
51,2,1,43,29257
52,1,1,44,29257
53,2,1,45,29257
54,1,0,45,29257
55,2,1,46,29257
56,1,0,46,29257
57,2,1,47,29257
58,1,0,47,29257
59,2,1,48,29257
60,2,1,49,29257
61,2,1,50,29257
62,2,1,51,29257
63,2,1,52,29257
64,2,1,53,29257
65,2,1,54,29257
66,2,1,55,29257
67,2,1,56,29257
68,2,1,57,29257
69,1,0,57,29257
70,2,1,58,29257
71,1,0,58,29257
72,2,1,59,29257
73,2,1,60,29257
74,2,1,61,29257
75,1,0,61,29257
76,2,1,62,29257
77,2,1,63,29257
78,2,1,64,29257
79,2,1,65,29257
80,2,1,66,29257
81,2,1,67,29257
82,2,1,68,29257
83,1,0,68,29257
84,2,1,69,29257
85,2,1,70,29257
86,1,0,70,29257
87,1,0,70,29257
88,2,1,71,29257
89,2,0,71,29257
90,1,1,72,29257
91,2,1,73,29257
92,2,1,74,29257
93,2,1,75,29257
94,2,1,76,29257
95,2,1,77,29257
96,2,1,78,29257
97,2,1,79,29257
98,2,1,80,29257
99,1,0,80,29257
100,2,1,81,29257
