trial,choice,reward,cumulative_reward,model_id
1,2,1,1,88697
2,1,1,2,88697
3,1,1,3,88697
4,1,0,3,88697
5,1,1,4,88697
6,1,1,5,88697
7,1,1,6,88697
8,1,1,7,88697
9,2,0,7,88697
10,2,1,8,88697
11,1,1,9,88697
12,1,1,10,88697
13,1,1,11,88697
14,1,1,12,88697
15,1,1,13,88697
16,1,1,14,88697
17,1,1,15,88697
18,1,1,16,88697
19,1,1,17,88697
20,1,1,18,88697
21,1,1,19,88697
22,1,1,20,88697
23,2,0,20,88697
24,1,1,21,88697
25,1,1,22,88697
26,2,1,23,88697
27,1,1,24,88697
28,2,0,24,88697
29,2,0,24,88697
30,2,0,24,88697
31,1,1,25,88697
32,1,1,26,88697
33,1,1,27,88697
34,2,1,28,88697
35,1,1,29,88697
36,1,1,30,88697
37,1,1,31,88697
38,2,0,31,88697
39,1,1,32,88697
40,1,1,33,88697
41,1,1,34,88697
42,1,1,35,88697
43,1,1,36,88697
44,1,1,37,88697
45,1,1,38,88697
46,1,1,39,88697
47,1,1,40,88697
48,1,1,41,88697
49,1,1,42,88697
50,1,1,43,88697
51,1,1,44,88697
52,1,1,45,88697
53,1,0,45,88697
54,1,0,45,88697
55,2,1,46,88697
56,2,1,47,88697
57,2,1,48,88697
58,1,0,48,88697
59,2,1,49,88697
60,2,1,50,88697
61,2,1,51,88697
62,1,0,51,88697
63,2,1,52,88697
64,2,1,53,88697
65,2,1,54,88697
66,2,1,55,88697
67,2,1,56,88697
68,2,1,57,88697
69,2,1,58,88697
70,1,1,59,88697
71,2,1,60,88697
72,2,1,61,88697
73,2,1,62,88697
74,1,0,62,88697
75,2,1,63,88697
76,2,1,64,88697
77,2,1,65,88697
78,2,1,66,88697
79,2,1,67,88697
80,2,1,68,88697
81,2,1,69,88697
82,2,1,70,88697
83,2,1,71,88697
84,2,1,72,88697
85,2,1,73,88697
86,1,0,73,88697
87,2,1,74,88697
88,2,1,75,88697
89,2,0,75,88697
90,2,1,76,88697
91,2,1,77,88697
92,2,1,78,88697
93,2,1,79,88697
94,1,0,79,88697
95,2,1,80,88697
96,2,1,81,88697
97,2,1,82,88697
98,2,1,83,88697
99,2,1,84,88697
100,2,1,85,88697
