trial,choice,reward,cumulative_reward,model_id
1,2,1,1,71427
2,2,0,1,71427
3,1,1,2,71427
4,1,0,2,71427
5,2,1,3,71427
6,1,1,4,71427
7,1,1,5,71427
8,1,1,6,71427
9,1,1,7,71427
10,1,0,7,71427
11,1,1,8,71427
12,2,1,9,71427
13,2,0,9,71427
14,1,1,10,71427
15,1,1,11,71427
16,1,1,12,71427
17,1,1,13,71427
18,1,1,14,71427
19,2,0,14,71427
20,1,1,15,71427
21,2,0,15,71427
22,1,1,16,71427
23,1,1,17,71427
24,1,1,18,71427
25,1,1,19,71427
26,1,1,20,71427
27,1,1,21,71427
28,1,1,22,71427
29,1,1,23,71427
30,1,1,24,71427
31,1,1,25,71427
32,1,1,26,71427
33,1,1,27,71427
34,1,1,28,71427
35,1,1,29,71427
36,1,1,30,71427
37,1,1,31,71427
38,1,1,32,71427
39,1,1,33,71427
40,1,1,34,71427
41,1,1,35,71427
42,1,1,36,71427
43,1,1,37,71427
44,1,1,38,71427
45,2,1,39,71427
46,1,1,40,71427
47,2,0,40,71427
48,2,0,40,71427
49,1,1,41,71427
50,1,1,42,71427
51,1,1,43,71427
52,2,1,44,71427
53,1,0,44,71427
54,2,1,45,71427
55,1,0,45,71427
56,2,1,46,71427
57,1,0,46,71427
58,2,1,47,71427
59,2,1,48,71427
60,2,1,49,71427
61,2,1,50,71427
62,2,1,51,71427
63,2,1,52,71427
64,2,1,53,71427
65,2,1,54,71427
66,2,1,55,71427
67,2,1,56,71427
68,2,1,57,71427
69,2,1,58,71427
70,2,1,59,71427
71,2,1,60,71427
72,2,1,61,71427
73,2,1,62,71427
74,2,1,63,71427
75,2,1,64,71427
76,2,1,65,71427
77,2,1,66,71427
78,2,1,67,71427
79,2,1,68,71427
80,2,1,69,71427
81,2,1,70,71427
82,1,0,70,71427
83,2,1,71,71427
84,2,1,72,71427
85,2,1,73,71427
86,2,1,74,71427
87,2,1,75,71427
88,2,1,76,71427
89,2,0,76,71427
90,2,1,77,71427
91,2,1,78,71427
92,1,0,78,71427
93,2,1,79,71427
94,2,1,80,71427
95,2,1,81,71427
96,2,1,82,71427
97,2,1,83,71427
98,2,1,84,71427
99,2,1,85,71427
100,2,1,86,71427
