trial,choice,reward,cumulative_reward,model_id
1,2,1,1,91925
2,2,0,1,91925
3,2,0,1,91925
4,2,1,2,91925
5,2,1,3,91925
6,2,0,3,91925
7,1,1,4,91925
8,2,0,4,91925
9,2,0,4,91925
10,2,1,5,91925
11,1,1,6,91925
12,1,1,7,91925
13,1,1,8,91925
14,1,1,9,91925
15,1,1,10,91925
16,2,0,10,91925
17,1,1,11,91925
18,1,1,12,91925
19,2,0,12,91925
20,1,1,13,91925
21,1,1,14,91925
22,1,1,15,91925
23,1,1,16,91925
24,1,1,17,91925
25,1,1,18,91925
26,1,1,19,91925
27,1,1,20,91925
28,2,0,20,91925
29,1,1,21,91925
30,1,1,22,91925
31,1,1,23,91925
32,1,1,24,91925
33,1,1,25,91925
34,1,1,26,91925
35,1,1,27,91925
36,2,0,27,91925
37,1,1,28,91925
38,1,1,29,91925
39,1,1,30,91925
40,1,1,31,91925
41,1,1,32,91925
42,1,1,33,91925
43,1,1,34,91925
44,1,1,35,91925
45,1,1,36,91925
46,1,1,37,91925
47,1,1,38,91925
48,1,1,39,91925
49,1,1,40,91925
50,1,1,41,91925
51,1,1,42,91925
52,2,1,43,91925
53,1,0,43,91925
54,2,1,44,91925
55,1,0,44,91925
56,1,0,44,91925
57,2,1,45,91925
58,2,1,46,91925
59,2,1,47,91925
60,2,1,48,91925
61,2,1,49,91925
62,2,1,50,91925
63,2,1,51,91925
64,2,1,52,91925
65,2,1,53,91925
66,2,1,54,91925
67,2,1,55,91925
68,2,1,56,91925
69,2,1,57,91925
70,2,1,58,91925
71,2,1,59,91925
72,2,1,60,91925
73,2,1,61,91925
74,2,1,62,91925
75,2,1,63,91925
76,2,1,64,91925
77,2,1,65,91925
78,2,1,66,91925
79,2,1,67,91925
80,2,1,68,91925
81,2,1,69,91925
82,2,1,70,91925
83,2,1,71,91925
84,2,1,72,91925
85,2,1,73,91925
86,2,1,74,91925
87,2,1,75,91925
88,1,1,76,91925
89,1,1,77,91925
90,2,1,78,91925
91,1,0,78,91925
92,1,0,78,91925
93,2,1,79,91925
94,2,1,80,91925
95,2,1,81,91925
96,2,1,82,91925
97,2,1,83,91925
98,2,1,84,91925
99,2,1,85,91925
100,2,1,86,91925
