trial,choice,reward,cumulative_reward,model_id
1,1,1,1,97081
2,1,1,2,97081
3,1,1,3,97081
4,1,0,3,97081
5,1,1,4,97081
6,2,0,4,97081
7,1,1,5,97081
8,1,1,6,97081
9,1,1,7,97081
10,1,0,7,97081
11,2,1,8,97081
12,2,1,9,97081
13,1,1,10,97081
14,1,1,11,97081
15,1,1,12,97081
16,1,1,13,97081
17,2,0,13,97081
18,1,1,14,97081
19,1,1,15,97081
20,1,1,16,97081
21,1,1,17,97081
22,1,1,18,97081
23,1,1,19,97081
24,2,0,19,97081
25,2,0,19,97081
26,1,1,20,97081
27,1,1,21,97081
28,1,1,22,97081
29,1,1,23,97081
30,1,1,24,97081
31,1,1,25,97081
32,1,1,26,97081
33,1,1,27,97081
34,1,1,28,97081
35,1,1,29,97081
36,1,1,30,97081
37,1,1,31,97081
38,1,1,32,97081
39,1,1,33,97081
40,1,1,34,97081
41,1,1,35,97081
42,1,1,36,97081
43,2,1,37,97081
44,2,0,37,97081
45,1,1,38,97081
46,1,1,39,97081
47,1,1,40,97081
48,1,1,41,97081
49,1,1,42,97081
50,1,1,43,97081
51,1,1,44,97081
52,1,1,45,97081
53,1,0,45,97081
54,1,0,45,97081
55,1,0,45,97081
56,2,1,46,97081
57,1,0,46,97081
58,2,1,47,97081
59,2,1,48,97081
60,2,1,49,97081
61,2,1,50,97081
62,2,1,51,97081
63,2,1,52,97081
64,2,1,53,97081
65,2,1,54,97081
66,2,1,55,97081
67,2,1,56,97081
68,2,1,57,97081
69,2,1,58,97081
70,1,1,59,97081
71,2,1,60,97081
72,2,1,61,97081
73,2,1,62,97081
74,1,0,62,97081
75,2,1,63,97081
76,2,1,64,97081
77,2,1,65,97081
78,1,0,65,97081
79,2,1,66,97081
80,2,1,67,97081
81,2,1,68,97081
82,2,1,69,97081
83,2,1,70,97081
84,2,1,71,97081
85,2,1,72,97081
86,2,1,73,97081
87,2,1,74,97081
88,2,1,75,97081
89,2,0,75,97081
90,2,1,76,97081
91,2,1,77,97081
92,1,0,77,97081
93,2,1,78,97081
94,2,1,79,97081
95,2,1,80,97081
96,2,1,81,97081
97,2,1,82,97081
98,2,1,83,97081
99,2,1,84,97081
100,2,1,85,97081
