participant_id,trial,block,condition,cue1,cue2,criterium,choice,prompt_hash
119,1,1,1,a little,very little,somewhat high,somewhat low,2a530b6362f79080fce9876d41cbe186b8d96bbb07de950e30b732426bfd4235
119,2,1,1,very much,average,high,high,6188629e8711f2283020fffede90e2e92f91b3767d5f6ee18c2989a2eacda961
119,3,1,1,very little,very little,normal,very low,7e59c4701e2db4d8c95d78225fb930f7190fda0dd6a1291b63aa46110c901eea
119,4,1,1,average,very little,high,low,d726aab45f3fe247792935ce9c0b9a0a8c58658a35b010b0b8384de26fc21d5e
119,5,1,1,a lot,very little,very high,very high,09bab11d6960f3b367cba1729b7c95d5a5bfa6972c627107f06d7b2249908267
119,6,1,1,a little,a lot,low,somewhat high,9f00b187142eace7849ff1172b56ebe323e24362a586501b196810dda87d47b1
119,7,1,1,very little,a little,somewhat low,low,e48b94fa2971293e1b3dbd22b125f629696dc55aa783ec00052baa6b3a296503
119,8,1,1,a little,average,somewhat low,somewhat low,cb0f73a137cf208e2c8f03fa5a7895c236c0cc73e0b6481d35ac4d82561cc2ef
119,9,1,1,a little,very much,very low,high,dd6eb99779c9be43559e81583019614e365ae37d654648457376b67a2a4da54f
119,10,1,1,a little,a little,normal,somewhat low,1e9cf7cde17f53f59abffbdfc11bea868cefe93ba97d39d3ead721e907bab55a
119,11,1,1,average,average,normal,normal,47369eaedafeab26580af4e2bcf2624e8e848015b30e9b4eb99f4549f22ad30b
119,12,1,1,average,very much,low,somewhat high,4b807a12c844f7a259aede372048e62bbf21ee4c77590e842b399a8544cb74c4
119,13,1,1,a lot,average,somewhat high,high,24804bee258db85db830b9bccc5b462b9b08f3f40e48c879aef5d3304951f1a7
119,14,1,1,very little,average,low,low,b75a58658b22a97758d412ce6b5c382abc4356955c5224bc8c0b7c8b7de8b6b3
119,15,1,1,very much,a little,very high,very high,c994efeddfdf1d98f04d4bd321df381750fffbe2542836bc6c53f1cc027341e2
119,16,1,1,a lot,a lot,normal,very high,0e61450d793f46966c6b1fc084992fae3cf1dcc8f06cd78aec0c7e4c50db7778
119,17,1,1,very much,a lot,somewhat high,extremely high,91606c539fde7cbb6d6b0b46f65504b5032548aebbb62bad80c8d3046962c4cb
119,18,1,1,a lot,a little,high,high,7736deddf2765cf1df52e08e8606836e227afc21bf59c42a6657f647eae021a8
119,19,1,1,average,a little,somewhat high,low,a5f5292823edcc9790bed26fe5ada4953ffcb7198bd4e3ba894906aa6524d444
119,20,1,1,very much,very much,normal,extremely high,18bd6333304c824663b7e23c79a8683dc4395f7ca8c4d6e2145c920b2ea9bed4
119,21,1,1,very little,a lot,very low,somewhat low,410815e3e3ed6a09b185bef510964f0fd386fd52b333e72c8059699c8b55803b
119,22,1,1,average,a lot,somewhat low,normal,eb01ba8251d91056f3d8466046653cee9eba7bbfe2b0c2ed248febf92b268205
119,23,1,1,a lot,very much,somewhat low,extremely high,d383a709d84a25212d1eb2297769882d3cbeb41ee0e13fb6a8008bb592752b84
119,24,2,1,a lot,a lot,normal,somewhat high,8dab4d9e8404472ca47e5eb5d57cc41c4cbeec3a93c88f0fc0ed11023c55d61b
119,25,2,1,a little,a lot,low,high,a74d55c7dcd1e4fb264104531a9e7ad5a05bd9d2539187bbc7f04c1322a513b6
119,26,2,1,a little,average,somewhat low,normal,86d67f806fd5809b55fc1fcc5b8e3281e0e7f6fbdbc3acfc88bc6db185bd0df1
119,27,2,1,very little,very little,normal,very low,f2cb7226887c60f0dddf530bee6d6e333756130a3be336af9d13d7bd96254520
119,28,2,1,average,a lot,somewhat low,somewhat high,2e016f873f2331d018094ac6fb03fb7008ae7ba373db13d9adb021fa62f7751e
119,29,2,1,a little,very much,very low,high,0d55265cc76ad81651b96492d5b49116fee60c5e5aaefd39c7e596c8a75a98cf
119,30,2,1,very much,average,high,very high,deef9276f8ed520fd862d5e536a121cb610f08923df43f13aa73b75f77df1ab4
119,31,2,1,a little,very little,somewhat high,somewhat low,16aae832dc6742824e0487d24e735cd207a359c8fb017a867096d3efa3cec064
119,32,2,1,average,a little,somewhat high,low,173fa6116e4f6f2fe9de4d7819392de82594f3de8633fc11a3aad092a20a0ad1
119,33,2,1,average,very little,high,somewhat low,8d32e13744e7ae872a5d2f971dde3785ce46789e844c4beae50a26b9e44c124a
119,34,2,1,a lot,very much,somewhat low,extremely high,e259ab7ed42309bb1191bac6e15647e8a5ee3ddd13b17d5675cafea3a59c3a8f
119,35,2,1,a little,a little,normal,somewhat low,8a234092975f9f8b0f6ce08877301c1a0ad5d397cfa29ede52d0955c226d52a8
119,36,2,1,a lot,a little,high,high,b77d45d46c85c442aaf59f67913de0e9bf2ad157873ccf83befa2b62f853897c
119,37,2,1,very little,a little,somewhat low,somewhat low,a2917bb5da9760b33df2968b668205de16b7ecaf852c4f0da81479cb72506d25
119,38,2,1,very little,average,low,somewhat low,560abca516bd51f52fcf2d662136c267b84cb99c2aa1715c7049aed2887cc36f
119,39,2,1,very much,very much,normal,very high,2356e154971e2e68a08ee515c6a4d8979bfb6dd141c7a014eea28ed4199b855d
119,40,2,1,average,average,normal,normal,6560953018aa21d8cebbf0b93b62420d19f60e95519ac54c7dc4e4a0de75f37b
119,41,2,1,very little,a lot,very low,low,d573e4bdbd04629fe547b6f0ee2bca757b24c03842bc17356b7c3cf295064cd6
119,42,2,1,average,very much,low,somewhat high,4452abc0d619fb4b7bfebb60d6376a5f077b1a253748d2a73ee39675a3f947bb
119,43,2,1,a lot,average,somewhat high,high,d1986ff3c1ebca8e7054ae4a071555c0d324b7988949142b94efb24e12e47840
119,44,2,1,very much,a lot,somewhat high,very high,e70da4e87ba2bdd6f9396bdd8a140c4af1f6631df74e2299054f7d00ef6f584c
119,45,2,1,a lot,very little,very high,high,1102ef8b421317d0c965d26c1d9f3b3d21cc2fabeb4e82644afbf5fcff72d1ee
119,46,2,1,very much,a little,very high,extremely high,96c3e903b3a620464cc8b8766c880739368029c535f6ae8a0a2f84e2ff8d64a8
119,47,3,1,a little,average,somewhat low,somewhat low,b4f5a488b59e2f33b36e0fdf2b265b48f3227cba86c3ab8ea7b1dba709877af9
119,48,3,1,very little,a little,somewhat low,somewhat low,3f895fce32a6128080f8dc8d4b99328a169056846bf91e3342252e657a72c7ad
119,49,3,1,average,a little,somewhat high,somewhat low,7a36e8779f2cd343b4acc33399a34bdff6534d960d2587ebd486b50aa197862c
119,50,3,1,a little,very much,very low,high,287dd0f6563613507c8679885b29edc93c97183fa4fb62d111e2abf77693b590
