participant_id,trial,block,condition,cue1,cue2,criterium,choice,prompt_hash
135,1,1,3,a little,average,normal,somewhat low,e390b9b6f11dfec11c14795a4fa528998facf8425ba1e26c0447f55266e48004
135,2,1,3,average,average,normal,normal,b2e624c91223878f80d554c110e2dd8b642c2236dbd3f84474ccaf07d7c03583
135,3,1,3,a little,very much,low,somewhat high,6f96472a63213938e60ccd5036c312896aae5572da7c3ca0c3153ae4a4f280d3
135,4,1,3,a lot,very little,low,somewhat low,22f2c0a0172ec19b24b48540aada11c69132ec98b6b25381dc9dabf00620ca4c
135,5,1,3,very much,very much,extremely high,high,a8dae819553d4907d7f0e1f0be24bebd30c9431204e3af625d222d29d92278ab
135,6,1,3,a lot,a little,somewhat low,somewhat high,bfe0c00edddd7ebd5b0dfead6ab75e98141eed5067c1a0c7e8956364b6e1a565
135,7,1,3,a lot,a lot,somewhat high,high,75698028cbf3c254fcc913337859b478a4e7e2de0d4c87f60cf3532704d13147
135,8,1,3,average,very much,normal,high,383aef0236009d042f3af597b3c5181077edd829076f57b662d9409b24920526
135,9,1,3,very little,very much,extremely low,high,8974c60c40e585481ef1adb4746ceb01345b7084d81d30cfe393615f8365cf27
135,10,1,3,very much,a little,low,high,96fc59ebe44f5fff8db23f7d3db39d02ff2eeb617e118fd807c8bdd626a849f4
135,11,1,3,very much,a lot,high,very high,dea1762f503b7a75ee2b6c43f6809a49804840392ec951e84b55702d8d317312
135,12,1,3,very little,a lot,low,somewhat high,95493d1f0fb93bbf916b2c53d915775ca55ed66ec4fb5c8b18a539afea49a01b
135,13,1,3,average,a little,normal,somewhat low,e411ddb5aead60ebe500fb23ab933d3695360bf299c20a595b8e27683474c176
135,14,1,3,a little,very little,high,somewhat low,94e863738aa748b2e41b7c3adc52839a405db2fbcf11a01137139e1e38a8d6f5
135,15,1,3,average,very little,normal,somewhat low,683c5906ce9487b703807375e18bba0e5fa869d77c2cb5e6faa76e74e7e35d57
135,16,1,3,a little,a little,somewhat high,somewhat low,de8e82e12a91521d499258f50aff8bfc3bb5704f430a02e3414f4d6fa0f62e1e
135,17,1,3,average,a lot,normal,high,15ec6a4f4ef7afe05c949161eec4c9c328a23d75b67cea83eec021079b7ee7b0
135,18,1,3,a lot,average,normal,somewhat high,4714b0c5dc82681c385e1b87d12c1bba192d95c4a722e6b3472616661182f78c
135,19,1,3,very much,average,normal,high,e50c27c504a74f3911028c3c935b647ef2709d436742b4799e307c15c660c9bd
135,20,1,3,very little,average,normal,normal,50ef8a1a3f8852d4d8c63b12500b003c728e1d38c2aacf663d50f434142ea1b4
135,21,1,3,a lot,very much,high,very high,8d843c08043c0b48b3408964ca63b5df79eb3df26a49ac26ecc27ad0257857d0
135,22,1,3,very little,a little,high,low,4c7a95b882432460b19e167c1d14673519d972ee3fb25fbad38135e9ea3b116f
135,23,1,3,a little,a lot,somewhat low,somewhat high,d11d2de92f8bd6c555d49a3a4835dc158afdfa1d3d6265d8a1072107c6464a21
135,24,2,3,a lot,a little,somewhat low,somewhat low,b884086ce39cb2eeab55dae644f601811f5465abc4e217000a7197a614e8dfa2
135,25,2,3,very little,very much,extremely low,high,dd82df4d0b781e19ddae535e100d30b9d35edfbcd1e53cda7c056610629973e6
135,26,2,3,average,average,normal,normal,e514582c491a6ce9dfd45565f410fb2a400098111c7be3c447b0bfaa61a8eabc
135,27,2,3,average,a lot,normal,high,a69f7148baa9e0989894dd9fadcee09f09683c00dbe50803ffb681066077f273
135,28,2,3,very much,a lot,high,high,c2fcbbbdecd6560ad25e2f944e5d63d570b22c0cdde0b995c776fdfbc55a3f50
135,29,2,3,a little,very much,low,high,2ff551f3511b0dee5aaebea69ebeb4c10f0d80ed4b1872bdfa9bb0784daec3b8
135,30,2,3,a little,very little,high,low,e7eff2430d59b664c9b0db45cabdefda50ca40888417135fdd1c83187b0b2e07
135,31,2,3,very much,a little,low,high,c0e3ae58b1d99a626f435e4e7f9cccae6c60415bb8517d3b244c823819d8ce4d
