game,trial,type,choice,mapped_choice,reward,horizon,choice_numeric,prompt_hash
1,1,forced,2.0,H,66.0,1,,
1,2,forced,2.0,H,80.0,1,,
1,3,forced,1.0,P,29.0,1,,
1,4,forced,2.0,H,75.0,1,,
1,5,free,,H,81.0,1,2.0,dc2e7335ec3b67913a19c4d4384ed9ec056ca5db814faee2b76cc1c9de6232aa
2,1,forced,2.0,H,69.0,6,,
2,2,forced,2.0,H,50.0,6,,
2,3,forced,1.0,P,51.0,6,,
2,4,forced,2.0,H,64.0,6,,
2,5,free,,H,63.0,6,2.0,4eb8583f90838288358c345a6ea302056ef316a8f82707e3d8df0e8e40063089
2,6,free,,P,45.0,6,1.0,4eb8583f90838288358c345a6ea302056ef316a8f82707e3d8df0e8e40063089
2,7,free,,H,64.0,6,2.0,4eb8583f90838288358c345a6ea302056ef316a8f82707e3d8df0e8e40063089
2,8,free,,H,64.0,6,2.0,4eb8583f90838288358c345a6ea302056ef316a8f82707e3d8df0e8e40063089
2,9,free,,H,57.0,6,2.0,4eb8583f90838288358c345a6ea302056ef316a8f82707e3d8df0e8e40063089
2,10,free,,H,48.0,6,2.0,4eb8583f90838288358c345a6ea302056ef316a8f82707e3d8df0e8e40063089
3,1,forced,2.0,H,31.0,6,,
3,2,forced,1.0,P,43.0,6,,
3,3,forced,2.0,H,26.0,6,,
3,4,forced,1.0,P,36.0,6,,
3,5,free,,H,34.0,6,2.0,8ee0503b55aa680c1bd3b06d6f169d0de0618df8d75474368497c3952ebea582
3,6,free,,P,41.0,6,1.0,8ee0503b55aa680c1bd3b06d6f169d0de0618df8d75474368497c3952ebea582
3,7,free,,P,44.0,6,1.0,8ee0503b55aa680c1bd3b06d6f169d0de0618df8d75474368497c3952ebea582
3,8,free,,P,44.0,6,1.0,8ee0503b55aa680c1bd3b06d6f169d0de0618df8d75474368497c3952ebea582
3,9,free,,P,43.0,6,1.0,8ee0503b55aa680c1bd3b06d6f169d0de0618df8d75474368497c3952ebea582
3,10,free,,P,53.0,6,1.0,8ee0503b55aa680c1bd3b06d6f169d0de0618df8d75474368497c3952ebea582
4,1,forced,1.0,P,65.0,6,,
4,2,forced,2.0,H,77.0,6,,
4,3,forced,2.0,H,52.0,6,,
4,4,forced,1.0,P,73.0,6,,
4,5,free,,H,64.0,6,2.0,964131f3219e279db0114349ec691ce2df3464380f21cab94d4ff50ee5a3f8e7
4,6,free,,H,62.0,6,2.0,964131f3219e279db0114349ec691ce2df3464380f21cab94d4ff50ee5a3f8e7
4,7,free,,P,70.0,6,1.0,964131f3219e279db0114349ec691ce2df3464380f21cab94d4ff50ee5a3f8e7
4,8,free,,P,67.0,6,1.0,964131f3219e279db0114349ec691ce2df3464380f21cab94d4ff50ee5a3f8e7
4,9,free,,H,62.0,6,2.0,964131f3219e279db0114349ec691ce2df3464380f21cab94d4ff50ee5a3f8e7
4,10,free,,P,68.0,6,1.0,964131f3219e279db0114349ec691ce2df3464380f21cab94d4ff50ee5a3f8e7
5,1,forced,2.0,H,70.0,6,,
5,2,forced,1.0,P,19.0,6,,
5,3,forced,2.0,H,43.0,6,,
5,4,forced,1.0,P,41.0,6,,
5,5,free,,H,53.0,6,2.0,7081f7db044dd76f898d1c8fd43495daee68b4d1d25d233029d799572c5b8b75
5,6,free,,P,19.0,6,1.0,7081f7db044dd76f898d1c8fd43495daee68b4d1d25d233029d799572c5b8b75
5,7,free,,H,61.0,6,2.0,7081f7db044dd76f898d1c8fd43495daee68b4d1d25d233029d799572c5b8b75
5,8,free,,P,20.0,6,1.0,7081f7db044dd76f898d1c8fd43495daee68b4d1d25d233029d799572c5b8b75
5,9,free,,P,42.0,6,1.0,7081f7db044dd76f898d1c8fd43495daee68b4d1d25d233029d799572c5b8b75
5,10,free,,H,66.0,6,2.0,7081f7db044dd76f898d1c8fd43495daee68b4d1d25d233029d799572c5b8b75
6,1,forced,1.0,P,63.0,6,,
6,2,forced,2.0,H,44.0,6,,
6,3,forced,1.0,P,49.0,6,,
6,4,forced,1.0,P,47.0,6,,
6,5,free,,P,60.0,6,1.0,d2ee5c28bd6ba9bf7c89c9a7ed27ad9ecbd03dbf3264e96d7e60a59d59bbfb08
6,6,free,,P,53.0,6,1.0,d2ee5c28bd6ba9bf7c89c9a7ed27ad9ecbd03dbf3264e96d7e60a59d59bbfb08
6,7,free,,P,55.0,6,1.0,d2ee5c28bd6ba9bf7c89c9a7ed27ad9ecbd03dbf3264e96d7e60a59d59bbfb08
6,8,free,,P,48.0,6,1.0,d2ee5c28bd6ba9bf7c89c9a7ed27ad9ecbd03dbf3264e96d7e60a59d59bbfb08
6,9,free,,P,55.0,6,1.0,d2ee5c28bd6ba9bf7c89c9a7ed27ad9ecbd03dbf3264e96d7e60a59d59bbfb08
6,10,free,,P,56.0,6,1.0,d2ee5c28bd6ba9bf7c89c9a7ed27ad9ecbd03dbf3264e96d7e60a59d59bbfb08
7,1,forced,1.0,P,61.0,1,,
7,2,forced,2.0,H,44.0,1,,
7,3,forced,2.0,H,41.0,1,,
7,4,forced,2.0,H,47.0,1,,
7,5,free,,P,39.0,1,1.0,8b1e25ba45ecafe3ee63a6919fb2b700bd589bf35c7ea99ae371897c5a41ecf8
8,1,forced,1.0,P,51.0,1,,
8,2,forced,2.0,H,76.0,1,,
8,3,forced,1.0,P,54.0,1,,
8,4,forced,2.0,H,84.0,1,,
8,5,free,,H,67.0,1,2.0,b5c11b7d26d092d5d84da2ea7ad13e6c333130dd81008e18763cdeb87c4d8990
9,1,forced,1.0,P,54.0,6,,
9,2,forced,2.0,H,14.0,6,,
9,3,forced,2.0,H,15.0,6,,
9,4,forced,1.0,P,46.0,6,,
9,5,free,,P,44.0,6,1.0,76c31a6656a89f964a64298bc95db570ada074ad2636aed46eea01e66e1426e7
9,6,free,,P,44.0,6,1.0,76c31a6656a89f964a64298bc95db570ada074ad2636aed46eea01e66e1426e7
9,7,free,,P,40.0,6,1.0,76c31a6656a89f964a64298bc95db570ada074ad2636aed46eea01e66e1426e7
9,8,free,,P,46.0,6,1.0,76c31a6656a89f964a64298bc95db570ada074ad2636aed46eea01e66e1426e7
9,9,free,,P,34.0,6,1.0,76c31a6656a89f964a64298bc95db570ada074ad2636aed46eea01e66e1426e7
9,10,free,,P,25.0,6,1.0,76c31a6656a89f964a64298bc95db570ada074ad2636aed46eea01e66e1426e7
10,1,forced,1.0,P,9.0,6,,
10,2,forced,1.0,P,17.0,6,,
10,3,forced,2.0,H,40.0,6,,
10,4,forced,2.0,H,42.0,6,,
10,5,free,,H,48.0,6,2.0,784b3cf509f2450190e4bf4359f4a6e43b020f5cabf805c82aef3605a57bf37b
10,6,free,,H,33.0,6,2.0,784b3cf509f2450190e4bf4359f4a6e43b020f5cabf805c82aef3605a57bf37b
10,7,free,,H,34.0,6,2.0,784b3cf509f2450190e4bf4359f4a6e43b020f5cabf805c82aef3605a57bf37b
10,8,free,,H,43.0,6,2.0,784b3cf509f2450190e4bf4359f4a6e43b020f5cabf805c82aef3605a57bf37b
10,9,free,,H,39.0,6,2.0,784b3cf509f2450190e4bf4359f4a6e43b020f5cabf805c82aef3605a57bf37b
10,10,free,,H,49.0,6,2.0,784b3cf509f2450190e4bf4359f4a6e43b020f5cabf805c82aef3605a57bf37b
11,1,forced,2.0,H,61.0,6,,
11,2,forced,1.0,P,52.0,6,,
11,3,forced,1.0,P,48.0,6,,
11,4,forced,2.0,H,67.0,6,,
11,5,free,,H,42.0,6,2.0,1176f51d2cb5bf0cc79e340fde182d56e72e234d61c0e19d68eecf6a64f8032d
11,6,free,,H,56.0,6,2.0,1176f51d2cb5bf0cc79e340fde182d56e72e234d61c0e19d68eecf6a64f8032d
11,7,free,,H,58.0,6,2.0,1176f51d2cb5bf0cc79e340fde182d56e72e234d61c0e19d68eecf6a64f8032d
11,8,free,,H,66.0,6,2.0,1176f51d2cb5bf0cc79e340fde182d56e72e234d61c0e19d68eecf6a64f8032d
11,9,free,,H,51.0,6,2.0,1176f51d2cb5bf0cc79e340fde182d56e72e234d61c0e19d68eecf6a64f8032d
11,10,free,,H,70.0,6,2.0,1176f51d2cb5bf0cc79e340fde182d56e72e234d61c0e19d68eecf6a64f8032d
12,1,forced,2.0,H,32.0,6,,
12,2,forced,2.0,H,26.0,6,,
12,3,forced,2.0,H,33.0,6,,
12,4,forced,1.0,P,10.0,6,,
12,5,free,,H,51.0,6,2.0,e9ae025d1c5e8bd1b2a832bbccb1df769ebef6ca48784949f0c2031e6768c33c
12,6,free,,H,43.0,6,2.0,e9ae025d1c5e8bd1b2a832bbccb1df769ebef6ca48784949f0c2031e6768c33c
12,7,free,,H,38.0,6,2.0,e9ae025d1c5e8bd1b2a832bbccb1df769ebef6ca48784949f0c2031e6768c33c
12,8,free,,H,29.0,6,2.0,e9ae025d1c5e8bd1b2a832bbccb1df769ebef6ca48784949f0c2031e6768c33c
12,9,free,,H,43.0,6,2.0,e9ae025d1c5e8bd1b2a832bbccb1df769ebef6ca48784949f0c2031e6768c33c
12,10,free,,H,38.0,6,2.0,e9ae025d1c5e8bd1b2a832bbccb1df769ebef6ca48784949f0c2031e6768c33c
13,1,forced,1.0,P,66.0,1,,
13,2,forced,1.0,P,79.0,1,,
13,3,forced,2.0,H,62.0,1,,
13,4,forced,2.0,H,58.0,1,,
13,5,free,,P,88.0,1,1.0,aa46bf5306bffc8273171fe4de128ef0f591196c9556ed31d8d92fdee7240afc
14,1,forced,1.0,P,52.0,6,,
14,2,forced,1.0,P,60.0,6,,
14,3,forced,2.0,H,53.0,6,,
14,4,forced,2.0,H,54.0,6,,
