game,trial,type,choice,mapped_choice,reward,horizon,choice_numeric,prompt_hash
1,1,forced,2.0,Q,66.0,1,,
1,2,forced,2.0,Q,80.0,1,,
1,3,forced,1.0,M,29.0,1,,
1,4,forced,2.0,Q,75.0,1,,
1,5,free,,M,40.0,1,1.0,edf8cf65d6ac63a8ae5a985505d7384636fc25bdffe49886f2fdda723bb011d3
2,1,forced,2.0,Q,69.0,6,,
2,2,forced,2.0,Q,50.0,6,,
2,3,forced,1.0,M,51.0,6,,
2,4,forced,2.0,Q,64.0,6,,
2,5,free,,M,42.0,6,1.0,71feebee56ec532546f5be1c88d7d13e0019850aab3391f6ec6127ab26817912
2,6,free,,M,62.0,6,1.0,71feebee56ec532546f5be1c88d7d13e0019850aab3391f6ec6127ab26817912
2,7,free,,M,49.0,6,1.0,71feebee56ec532546f5be1c88d7d13e0019850aab3391f6ec6127ab26817912
2,8,free,,Q,64.0,6,2.0,71feebee56ec532546f5be1c88d7d13e0019850aab3391f6ec6127ab26817912
2,9,free,,M,50.0,6,1.0,71feebee56ec532546f5be1c88d7d13e0019850aab3391f6ec6127ab26817912
2,10,free,,M,55.0,6,1.0,71feebee56ec532546f5be1c88d7d13e0019850aab3391f6ec6127ab26817912
3,1,forced,2.0,Q,31.0,6,,
3,2,forced,1.0,M,43.0,6,,
3,3,forced,2.0,Q,26.0,6,,
3,4,forced,1.0,M,36.0,6,,
3,5,free,,Q,43.0,6,2.0,4c0682a4eee0bdd366b001695c3c6a6e0066b126dc09da70aa747f578cd7230a
3,6,free,,M,41.0,6,1.0,4c0682a4eee0bdd366b001695c3c6a6e0066b126dc09da70aa747f578cd7230a
3,7,free,,Q,42.0,6,2.0,4c0682a4eee0bdd366b001695c3c6a6e0066b126dc09da70aa747f578cd7230a
3,8,free,,M,44.0,6,1.0,4c0682a4eee0bdd366b001695c3c6a6e0066b126dc09da70aa747f578cd7230a
3,9,free,,Q,28.0,6,2.0,4c0682a4eee0bdd366b001695c3c6a6e0066b126dc09da70aa747f578cd7230a
3,10,free,,Q,24.0,6,2.0,4c0682a4eee0bdd366b001695c3c6a6e0066b126dc09da70aa747f578cd7230a
4,1,forced,1.0,M,65.0,6,,
4,2,forced,2.0,Q,77.0,6,,
4,3,forced,2.0,Q,52.0,6,,
4,4,forced,1.0,M,73.0,6,,
4,5,free,,M,61.0,6,1.0,92db8df15160429591dbf4ecea5b38aac142bdc06f24b95b9bd93a018fd9219d
4,6,free,,Q,46.0,6,2.0,92db8df15160429591dbf4ecea5b38aac142bdc06f24b95b9bd93a018fd9219d
4,7,free,,Q,61.0,6,2.0,92db8df15160429591dbf4ecea5b38aac142bdc06f24b95b9bd93a018fd9219d
4,8,free,,M,67.0,6,1.0,92db8df15160429591dbf4ecea5b38aac142bdc06f24b95b9bd93a018fd9219d
4,9,free,,M,70.0,6,1.0,92db8df15160429591dbf4ecea5b38aac142bdc06f24b95b9bd93a018fd9219d
4,10,free,,M,68.0,6,1.0,92db8df15160429591dbf4ecea5b38aac142bdc06f24b95b9bd93a018fd9219d
5,1,forced,2.0,Q,70.0,6,,
5,2,forced,1.0,M,19.0,6,,
5,3,forced,2.0,Q,43.0,6,,
5,4,forced,1.0,M,41.0,6,,
5,5,free,,Q,53.0,6,2.0,372a91bd62371a9f352005f1a1a6e2a00d06dbd20440efec3b7a77c09ed2cb48
5,6,free,,Q,43.0,6,2.0,372a91bd62371a9f352005f1a1a6e2a00d06dbd20440efec3b7a77c09ed2cb48
5,7,free,,Q,61.0,6,2.0,372a91bd62371a9f352005f1a1a6e2a00d06dbd20440efec3b7a77c09ed2cb48
5,8,free,,Q,68.0,6,2.0,372a91bd62371a9f352005f1a1a6e2a00d06dbd20440efec3b7a77c09ed2cb48
5,9,free,,M,33.0,6,1.0,372a91bd62371a9f352005f1a1a6e2a00d06dbd20440efec3b7a77c09ed2cb48
5,10,free,,Q,45.0,6,2.0,372a91bd62371a9f352005f1a1a6e2a00d06dbd20440efec3b7a77c09ed2cb48
6,1,forced,1.0,M,63.0,6,,
6,2,forced,2.0,Q,44.0,6,,
6,3,forced,1.0,M,49.0,6,,
6,4,forced,1.0,M,47.0,6,,
6,5,free,,M,48.0,6,1.0,7d65a3711fb529580e3b98f3eaef11b50a5fa8cbb00a5778a571d01e8386cfd5
6,6,free,,M,31.0,6,1.0,7d65a3711fb529580e3b98f3eaef11b50a5fa8cbb00a5778a571d01e8386cfd5
6,7,free,,M,55.0,6,1.0,7d65a3711fb529580e3b98f3eaef11b50a5fa8cbb00a5778a571d01e8386cfd5
6,8,free,,M,49.0,6,1.0,7d65a3711fb529580e3b98f3eaef11b50a5fa8cbb00a5778a571d01e8386cfd5
6,9,free,,M,48.0,6,1.0,7d65a3711fb529580e3b98f3eaef11b50a5fa8cbb00a5778a571d01e8386cfd5
6,10,free,,M,56.0,6,1.0,7d65a3711fb529580e3b98f3eaef11b50a5fa8cbb00a5778a571d01e8386cfd5
7,1,forced,1.0,M,61.0,1,,
7,2,forced,2.0,Q,44.0,1,,
7,3,forced,2.0,Q,41.0,1,,
7,4,forced,2.0,Q,47.0,1,,
7,5,free,,M,55.0,1,1.0,1f5ae4b5c657975450fbb6a63f588f6cb4b39a97b708d4f696d42f69d8e4028a
8,1,forced,1.0,M,51.0,1,,
8,2,forced,2.0,Q,76.0,1,,
8,3,forced,1.0,M,54.0,1,,
8,4,forced,2.0,Q,84.0,1,,
8,5,free,,Q,71.0,1,2.0,be07905e441b31738005d9261ad46effd17f014f172a86fa5d5429eab7032786
9,1,forced,1.0,M,54.0,6,,
9,2,forced,2.0,Q,14.0,6,,
9,3,forced,2.0,Q,15.0,6,,
9,4,forced,1.0,M,46.0,6,,
9,5,free,,M,50.0,6,1.0,98f35fd017459343de7d56f6583641363fc84a1f4e76a74500e723e7f1648f61
9,6,free,,M,44.0,6,1.0,98f35fd017459343de7d56f6583641363fc84a1f4e76a74500e723e7f1648f61
9,7,free,,M,57.0,6,1.0,98f35fd017459343de7d56f6583641363fc84a1f4e76a74500e723e7f1648f61
9,8,free,,M,46.0,6,1.0,98f35fd017459343de7d56f6583641363fc84a1f4e76a74500e723e7f1648f61
9,9,free,,M,34.0,6,1.0,98f35fd017459343de7d56f6583641363fc84a1f4e76a74500e723e7f1648f61
9,10,free,,M,25.0,6,1.0,98f35fd017459343de7d56f6583641363fc84a1f4e76a74500e723e7f1648f61
10,1,forced,1.0,M,9.0,6,,
10,2,forced,1.0,M,17.0,6,,
10,3,forced,2.0,Q,40.0,6,,
10,4,forced,2.0,Q,42.0,6,,
10,5,free,,Q,30.0,6,2.0,6cca70c94b91ad53bb77f0f3b435d59c2d35ce9e632f1072d214662c94466c8e
10,6,free,,Q,33.0,6,2.0,6cca70c94b91ad53bb77f0f3b435d59c2d35ce9e632f1072d214662c94466c8e
10,7,free,,Q,34.0,6,2.0,6cca70c94b91ad53bb77f0f3b435d59c2d35ce9e632f1072d214662c94466c8e
10,8,free,,Q,43.0,6,2.0,6cca70c94b91ad53bb77f0f3b435d59c2d35ce9e632f1072d214662c94466c8e
10,9,free,,Q,45.0,6,2.0,6cca70c94b91ad53bb77f0f3b435d59c2d35ce9e632f1072d214662c94466c8e
10,10,free,,Q,49.0,6,2.0,6cca70c94b91ad53bb77f0f3b435d59c2d35ce9e632f1072d214662c94466c8e
11,1,forced,2.0,Q,61.0,6,,
11,2,forced,1.0,M,52.0,6,,
11,3,forced,1.0,M,48.0,6,,
11,4,forced,2.0,Q,67.0,6,,
11,5,free,,Q,42.0,6,2.0,1985dffac7aae73c483c4536f771194b6303be1cc9e1c4006d8b77991faa2408
11,6,free,,Q,56.0,6,2.0,1985dffac7aae73c483c4536f771194b6303be1cc9e1c4006d8b77991faa2408
11,7,free,,Q,58.0,6,2.0,1985dffac7aae73c483c4536f771194b6303be1cc9e1c4006d8b77991faa2408
11,8,free,,Q,66.0,6,2.0,1985dffac7aae73c483c4536f771194b6303be1cc9e1c4006d8b77991faa2408
11,9,free,,Q,51.0,6,2.0,1985dffac7aae73c483c4536f771194b6303be1cc9e1c4006d8b77991faa2408
11,10,free,,Q,70.0,6,2.0,1985dffac7aae73c483c4536f771194b6303be1cc9e1c4006d8b77991faa2408
12,1,forced,2.0,Q,32.0,6,,
12,2,forced,2.0,Q,26.0,6,,
12,3,forced,2.0,Q,33.0,6,,
12,4,forced,1.0,M,10.0,6,,
12,5,free,,M,0.0,6,1.0,0073e533c5f1f0dee5da2e02909983509caf1fead780a0e28a2947aa77a7599f
12,6,free,,Q,43.0,6,2.0,0073e533c5f1f0dee5da2e02909983509caf1fead780a0e28a2947aa77a7599f
12,7,free,,Q,29.0,6,2.0,0073e533c5f1f0dee5da2e02909983509caf1fead780a0e28a2947aa77a7599f
12,8,free,,Q,29.0,6,2.0,0073e533c5f1f0dee5da2e02909983509caf1fead780a0e28a2947aa77a7599f
