game,trial,type,choice,mapped_choice,reward,horizon,choice_numeric,prompt_hash
1,1,forced,2.0,U,66.0,1,,
1,2,forced,2.0,U,80.0,1,,
1,3,forced,1.0,C,29.0,1,,
1,4,forced,2.0,U,75.0,1,,
1,5,free,,C,37.0,1,1.0,a9fc95907671fcb3059a7b9f8cf4738e10f9e014bb2d47f7f538fde4c15ba45e
2,1,forced,2.0,U,69.0,6,,
2,2,forced,2.0,U,50.0,6,,
2,3,forced,1.0,C,51.0,6,,
2,4,forced,2.0,U,64.0,6,,
2,5,free,,C,42.0,6,1.0,663e73d750afeae921b5650429ab3870b11e78a498a6723bf9809044d5f7f8ce
2,6,free,,U,54.0,6,2.0,663e73d750afeae921b5650429ab3870b11e78a498a6723bf9809044d5f7f8ce
2,7,free,,C,48.0,6,1.0,663e73d750afeae921b5650429ab3870b11e78a498a6723bf9809044d5f7f8ce
2,8,free,,U,64.0,6,2.0,663e73d750afeae921b5650429ab3870b11e78a498a6723bf9809044d5f7f8ce
2,9,free,,U,57.0,6,2.0,663e73d750afeae921b5650429ab3870b11e78a498a6723bf9809044d5f7f8ce
2,10,free,,C,55.0,6,1.0,663e73d750afeae921b5650429ab3870b11e78a498a6723bf9809044d5f7f8ce
3,1,forced,2.0,U,31.0,6,,
3,2,forced,1.0,C,43.0,6,,
3,3,forced,2.0,U,26.0,6,,
3,4,forced,1.0,C,36.0,6,,
3,5,free,,C,26.0,6,1.0,0c9c4618d25c9ad6ed415b888eeeec38876a680343332a8b0236a4cc7c45c6ed
3,6,free,,U,30.0,6,2.0,0c9c4618d25c9ad6ed415b888eeeec38876a680343332a8b0236a4cc7c45c6ed
3,7,free,,U,32.0,6,2.0,0c9c4618d25c9ad6ed415b888eeeec38876a680343332a8b0236a4cc7c45c6ed
3,8,free,,U,38.0,6,2.0,0c9c4618d25c9ad6ed415b888eeeec38876a680343332a8b0236a4cc7c45c6ed
3,9,free,,C,43.0,6,1.0,0c9c4618d25c9ad6ed415b888eeeec38876a680343332a8b0236a4cc7c45c6ed
3,10,free,,C,53.0,6,1.0,0c9c4618d25c9ad6ed415b888eeeec38876a680343332a8b0236a4cc7c45c6ed
4,1,forced,1.0,C,65.0,6,,
4,2,forced,2.0,U,77.0,6,,
4,3,forced,2.0,U,52.0,6,,
4,4,forced,1.0,C,73.0,6,,
4,5,free,,U,55.0,6,2.0,09f257cd8053e96c6bb67e481494710cc07d04b307a217a47f6e3a3558f8a7e1
4,6,free,,U,55.0,6,2.0,09f257cd8053e96c6bb67e481494710cc07d04b307a217a47f6e3a3558f8a7e1
4,7,free,,C,70.0,6,1.0,09f257cd8053e96c6bb67e481494710cc07d04b307a217a47f6e3a3558f8a7e1
4,8,free,,C,67.0,6,1.0,09f257cd8053e96c6bb67e481494710cc07d04b307a217a47f6e3a3558f8a7e1
4,9,free,,C,49.0,6,1.0,09f257cd8053e96c6bb67e481494710cc07d04b307a217a47f6e3a3558f8a7e1
