trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash,seed,initial_correct_bandit
1,K,1,K,M,0,0,a24c33c2bc3d980ecdecc2aa988f584313d333e6a415d6a7bfc4b39ea7b14ef4,1906728918,2
2,M,2,K,M,1,1,4712f5afcda660c580fc462909045eec811b79ee043b3b4c7164c9fd4abb20d4,1906728918,2
3,M,2,K,M,1,2,30bce43fa144dcd6225fba5f22a79559155886bab4a614f14aceff80602212ea,1906728918,2
4,M,2,K,M,1,3,ca72ea7ca3bd3a68f84b240c25f8c6c615e7fc5a8b71ce804e6f8f3a4bff637d,1906728918,2
5,M,2,K,M,1,4,97c98228de585b8d21b5fbbf1244cee5fbdb7684e894f6b71cdc544a87ecf106,1906728918,2
6,M,2,K,M,1,5,cd614c287176b96153eb3e2aca1f679f7b7b863cfb4895676658f74aee7d18b6,1906728918,2
7,M,2,K,M,1,6,15ade5b76404821ebed7f1ea4e48f41e00efcabc7ef226ba41512cbcf116695c,1906728918,2
8,M,2,K,M,1,7,95b8ff7871a6f99feb2ea8bc46019d5fbf8a80ae737e591ec240921e24f98677,1906728918,2
9,M,2,K,M,1,8,d3de15f79b865887c80ce8581f23b218178a8d4579e5419a7b663b971f124be4,1906728918,2
10,M,2,K,M,1,9,ee6d4c6229eed5110a153c996895da5d2fa162a3b244bb92a53a88b4b9ab2eac,1906728918,2
11,M,2,K,M,0,9,5b5d542e48e30be196d5e338fa8bac9b3f096f5bb6aef66fd75ff493bd17ca3a,1906728918,2
12,K,1,K,M,1,10,398d90703bb65ebeac9c35608694054bc22431d2d8da18a9393f92a8595cd67f,1906728918,2
13,K,1,K,M,0,10,1e15fa277fddc73ed9becda39d40683e4dc6d1672dd56584f521d57228803498,1906728918,2
14,M,2,K,M,0,10,8598ac3821ca34a9f15cb09d1755706408081885b63e8865d9b042cd0d2bb5b7,1906728918,2
15,K,1,K,M,1,11,b0e910fb90ce9b82421ba3a505b72e89e8367fe935305770114c1abb55a29115,1906728918,2
16,K,1,K,M,0,11,16fa49b673754bd9f5f3d45f5f8185436dac7824d2cdfe4bfee0363cd9dbe8f3,1906728918,2
17,M,2,K,M,1,12,43846a6562c62c289fe381a638c36c0bcdd09ee01c71d1a76efd7ebdcec95f4a,1906728918,2
18,M,2,K,M,1,13,47cc5253bf080a9eec47b1009c1a81f9d6808d3fc1a3bcef94af4c975d1b0c49,1906728918,2
19,M,2,K,M,0,13,bf5cd587fcd6fa51c6c58b669591fec312ed1740b59c425fd1fd8781cf6f0f63,1906728918,2
20,K,1,K,M,0,13,2e14b2f2f1ab4dab421eb9d706ef516e71eab52307754621030c33f4d6d8a562,1906728918,2
21,M,2,K,M,1,14,4157b8d7df61638c58ecf5d83c665dc24ebcd03c55df31e3ea661cd52814e4ac,1906728918,2
22,M,2,K,M,1,15,33ea8ad64297c4535671a299bc5fc02baf036c17148505c1a7900f6357a19477,1906728918,2
23,M,2,K,M,1,16,22740e58b22ee0d97018a0aa16b5a290b9b3277226b594e92a20b5a63b51c02a,1906728918,2
24,M,2,K,M,0,16,9b3c9877c317e1a946cf417691b759aaba44cacfe04bf7df87301920d1dbcc98,1906728918,2
25,K,1,K,M,0,16,7d0ecc82a78a3147fc61a9446a86f8a727909f2e52ccd07d7d3139c8b55e0771,1906728918,2
26,M,2,K,M,1,17,67d5f354f256948cdf4273216b06fd538e7cc8860851f060ee31f4c6d96f40fc,1906728918,2
27,M,2,K,M,1,18,6165e1c3f3d27dc6390c6e2ef78698cbad324361db605c466e7123373030769b,1906728918,2
28,M,2,K,M,1,19,c54379fad0642e9e1168a49ce7b3395004cec3b2f47caa7c8f33dd7e9957b1ed,1906728918,2
29,M,2,K,M,1,20,1ac368915c516e01561a6d9cc3b6f29c371fee3b1afb1a0af50f618e57d41208,1906728918,2
30,M,2,K,M,1,21,33e180798edb5f1cfb1264bc6bab13f190e3d31221bbff452db1081b27d92269,1906728918,2
31,M,2,K,M,0,21,3d89997864ff74d4cc9036aa3f9bd55a1215feb5358e2741cad213383e329cb1,1906728918,2
32,K,1,K,M,0,21,5db5b8739cdbeb23596737837c34afe7ed1815873b4bf9a5909076116b8d7d05,1906728918,2
33,M,2,K,M,1,22,f4c8219c9ea207dde45d6c76c5f985b6fb109f5341b9b285174e6edc4a860e13,1906728918,2
34,M,2,K,M,1,23,66d5e035c1c9c00e097c61b87e606fe9728ff573e2250ba14580b44752cc40e5,1906728918,2
35,M,2,K,M,1,24,ce211f30d83cc88f38d7fa2fa5f395ba711e90a2181344aabbf488e4634929f1,1906728918,2
36,M,2,K,M,0,24,c072edc51f02644dc0f0bd2b1f5becd386d89f422201d7dc83b6b4d911bd9d94,1906728918,2
37,K,1,K,M,0,24,72f596e104edc3500ced3891920cb8868c08f9970527017a39dfa8e319025344,1906728918,2
38,M,2,K,M,0,24,07807a100be4aacced91636ad519b3638087e9e42cc5ba8761d3df37a5a918e3,1906728918,2
39,K,1,K,M,1,25,136b9bdfce699a4f939b3518ce3fa6144c2920b57c03753e087003714d465cbf,1906728918,2
40,K,1,K,M,1,26,657f1c3a0e38820029563b0e92ab0617fe18bd3c80e03297936faf2a6b8331a4,1906728918,2
41,K,1,K,M,1,27,a8d806eff8ff102bf2dd3be33e874ce57058feb5bc6d389b927f9789fa8c7a81,1906728918,2
42,K,1,K,M,1,28,edab507170d0e3f306f8a0f89353a411c073aefac9c37a3499cbe271c5929acf,1906728918,2
43,K,1,K,M,1,29,2138bf2f54bdd6b081285b94b41fa0882366ba34a3f795acfb1d2e774bd8e79c,1906728918,2
44,K,1,K,M,0,29,d9798cfbfaddb589c5e0f94811bbbd3f1c06256471cbcf453660b262e7cbf7a1,1906728918,2
45,M,2,K,M,0,29,e30d877e1c37155d02db40416b1c1542c9c328babc4f5f772bd23c737e646cb2,1906728918,2
46,K,1,K,M,1,30,e66e6e9c197641376206161b9a02275420cd84c413b7fd8014ed6c883160b0e6,1906728918,2
47,K,1,K,M,0,30,0478099c0126c0fa9601794cab156f4e1fe393bf6ae9570fce06157462718fbc,1906728918,2
48,M,2,K,M,1,31,0232ba7709d40d66ea66e3187fa850dddc4c3fc0ec0863724ba6bcd5df6e8179,1906728918,2
49,M,2,K,M,0,31,23a1cc7b88cadec262865e467032615eeb0d29c4c56840cd4a95a5a6a2c2ae8a,1906728918,2
50,K,1,K,M,1,32,849af5c494735c24f81dfbe7355fa2a0cc069dc6710d7092c75d4651ae6d59d1,1906728918,2
51,K,1,K,M,1,33,b28dc818f01a2bd331d18d032ef2660ad70b2cb7982a64938c6398b8f4223d52,1906728918,2
52,K,1,K,M,1,34,b03aa297c4ab7e4612a950a76583470379b83ca4d7e3715ba943652071bdf050,1906728918,2
53,K,1,K,M,1,35,62a8600c81145974bc019d85d9f144e920716f5caa4c33816117b6ff1209975c,1906728918,2
54,K,1,K,M,1,36,8235ed8032dc732d211d436ccbb5bb6a355a9c552a14f2a38b44e991d93f54e3,1906728918,2
55,K,1,K,M,1,37,22380108ca8b88988a941fe0b01ddad5fe52aca8970a928e806e25ee00d7472f,1906728918,2
56,K,1,K,M,0,37,9319155194f403d08db1a29369d185800a88824ad1bf105904f394ad59e45562,1906728918,2
57,K,1,K,M,0,37,c57294876b515ab9d77ac1e9afd2139ffa1f065701e1991b6a3e8e91c1e4075d,1906728918,2
58,M,2,K,M,1,38,6670673c5a63421b26c77f331450de7674338b62a1f11845415915f33c984c28,1906728918,2
59,M,2,K,M,1,39,7595091f23226cbe6c250ecda7459f5bc12572289bb176d34974859d9cca497c,1906728918,2
60,M,2,K,M,1,40,ed0638db5ccedd07f6c07dc005c2c9078f0ad819757a5bd6aa392849c4646ee4,1906728918,2
61,M,2,K,M,1,41,28ec793f2c385f042542f6da47e014e04d623765ab09fd5ceba531a463481eb6,1906728918,2
62,M,2,K,M,1,42,2932592ca33ab3cb389490429488203ae7896f00ef517c744b9c16d8fe1955a2,1906728918,2
63,M,2,K,M,1,43,c0948763ed3941ce76d44a3b7645c58a0fe627416cfbf39358909b10bc981147,1906728918,2
64,M,2,K,M,1,44,74d6c52b744f0b7ac76d505d6b614ca95938ae638c822a9363766273a5f482ba,1906728918,2
65,M,2,K,M,0,44,c272e8d1c23a6f8fffdd4f12d1d7414a04454f50610786fc1581f789f6d31c78,1906728918,2
66,M,2,K,M,1,45,56ab6560645c1825a4228e1976c1c2a7a912e3bd8f6983848f963ff1cd85e6bc,1906728918,2
67,M,2,K,M,0,45,aafa2352455fbc01b567a896203786d24365c84e3c58ecbd062830b6a605b61c,1906728918,2
68,M,2,K,M,1,46,2acd3772b81c29ba9f9a80bb8fb04580b27227b4172c001be38b76934e27f02f,1906728918,2
