trial_index,ground_truth,nll,top2
0,P,0.828125,"[('U', 0.5625), ('P', 0.4375)]"
1,U,1.3125,"[('P', 0.73046875), ('U', 0.26953125)]"
2,U,1.140625,"[('P', 0.6796875), ('U', 0.3203125)]"
3,U,0.82421875,"[('P', 0.5625), ('U', 0.439453125)]"
4,P,0.38671875,"[('P', 0.6796875), ('U', 0.3203125)]"
5,P,0.3125,"[('P', 0.73046875), ('U', 0.26953125)]"
6,P,0.97265625,"[('U', 0.62109375), ('P', 0.37890625)]"
7,P,0.4296875,"[('P', 0.65234375), ('U', 0.34765625)]"
8,P,0.7578125,"[('U', 0.53125), ('P', 0.46875)]"
9,P,0.7578125,"[('U', 0.53125), ('P', 0.46875)]"
10,P,0.34765625,"[('P', 0.70703125), ('U', 0.29296875)]"
11,U,1.703125,"[('P', 0.81640625), ('U', 0.181640625)]"
12,P,1.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
13,U,0.7578125,"[('P', 0.53125), ('U', 0.46875)]"
14,U,0.5234375,"[('U', 0.59375), ('P', 0.40625)]"
15,P,1.140625,"[('U', 0.6796875), ('P', 0.3203125)]"
16,U,0.474609375,"[('U', 0.62109375), ('P', 0.37890625)]"
17,U,0.4296875,"[('U', 0.65234375), ('P', 0.34765625)]"
18,U,0.4296875,"[('U', 0.65234375), ('P', 0.34765625)]"
19,P,1.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
20,U,0.38671875,"[('U', 0.6796875), ('P', 0.3203125)]"
21,U,0.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
22,U,0.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
23,U,0.38671875,"[('U', 0.6796875), ('P', 0.3203125)]"
24,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
25,P,1.703125,"[('U', 0.81640625), ('P', 0.181640625)]"
26,U,0.6328125,"[('U', 0.53125), ('P', 0.46875)]"
27,P,1.140625,"[('U', 0.6796875), ('P', 0.3203125)]"
28,U,0.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
29,U,0.38671875,"[('U', 0.6796875), ('P', 0.3203125)]"
30,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
31,P,1.5,"[('U', 0.77734375), ('P', 0.22265625)]"
32,P,1.703125,"[('U', 0.81640625), ('P', 0.181640625)]"
33,U,0.6328125,"[('U', 0.53125), ('P', 0.46875)]"
34,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
35,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
36,U,0.34765625,"[('U', 0.70703125), ('P', 0.29296875)]"
37,U,0.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
38,U,0.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
39,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
40,U,0.201171875,"[('U', 0.81640625), ('P', 0.181640625)]"
41,U,0.16015625,"[('U', 0.8515625), ('P', 0.1474609375)]"
42,U,0.201171875,"[('U', 0.81640625), ('P', 0.181640625)]"
43,P,1.9140625,"[('U', 0.8515625), ('P', 0.1474609375)]"
44,U,0.4296875,"[('U', 0.65234375), ('P', 0.34765625)]"
45,U,0.126953125,"[('U', 0.87890625), ('P', 0.11962890625)]"
46,U,0.10009765625,"[('U', 0.90625), ('P', 0.09619140625)]"
47,P,2.125,"[('U', 0.87890625), ('P', 0.11962890625)]"
48,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
49,U,0.126953125,"[('U', 0.87890625), ('P', 0.11962890625)]"
50,U,0.16015625,"[('U', 0.8515625), ('P', 0.1474609375)]"
51,U,0.201171875,"[('U', 0.81640625), ('P', 0.181640625)]"
52,U,0.201171875,"[('U', 0.81640625), ('P', 0.181640625)]"
53,U,0.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
54,P,1.0546875,"[('U', 0.65234375), ('P', 0.34765625)]"
55,P,0.34765625,"[('P', 0.70703125), ('U', 0.29296875)]"
56,P,0.16015625,"[('P', 0.8515625), ('U', 0.1474609375)]"
57,P,0.126953125,"[('P', 0.87890625), ('U', 0.11962890625)]"
58,P,0.10009765625,"[('P', 0.90625), ('U', 0.09619140625)]"
59,P,0.10009765625,"[('P', 0.90625), ('U', 0.09619140625)]"
60,P,0.10009765625,"[('P', 0.90625), ('U', 0.09619140625)]"
61,P,0.0791015625,"[('P', 0.92578125), ('U', 0.07568359375)]"
62,P,0.0791015625,"[('P', 0.92578125), ('U', 0.07568359375)]"
63,P,0.06201171875,"[('P', 0.94140625), ('U', 0.06005859375)]"
64,P,0.126953125,"[('P', 0.87890625), ('U', 0.11962890625)]"
65,U,2.125,"[('P', 0.87890625), ('U', 0.11962890625)]"
66,U,1.9140625,"[('P', 0.8515625), ('U', 0.1474609375)]"
67,P,0.28125,"[('P', 0.75390625), ('U', 0.2451171875)]"
68,P,0.0791015625,"[('P', 0.92578125), ('U', 0.07568359375)]"
69,P,0.0380859375,"[('P', 0.9609375), ('U', 0.03759765625)]"
70,P,0.048583984375,"[('P', 0.953125), ('U', 0.047607421875)]"
71,P,0.0380859375,"[('P', 0.9609375), ('U', 0.03759765625)]"
72,P,0.048583984375,"[('P', 0.953125), ('U', 0.047607421875)]"
73,U,3.046875,"[('P', 0.953125), ('U', 0.047607421875)]"
74,P,0.34765625,"[('P', 0.70703125), ('U', 0.29296875)]"
75,P,0.10009765625,"[('P', 0.90625), ('U', 0.09619140625)]"
76,P,0.0791015625,"[('P', 0.92578125), ('U', 0.07568359375)]"
77,U,2.578125,"[('P', 0.92578125), ('U', 0.07568359375)]"
78,P,0.201171875,"[('P', 0.81640625), ('U', 0.181640625)]"
79,U,2.34375,"[('P', 0.90625), ('U', 0.09619140625)]"
80,P,0.16015625,"[('P', 0.8515625), ('U', 0.1474609375)]"
81,U,1.3125,"[('P', 0.73046875), ('U', 0.26953125)]"
82,P,0.16015625,"[('P', 0.8515625), ('U', 0.1474609375)]"
83,P,0.69140625,"[('U', 0.5), ('P', 0.5)]"
84,P,0.251953125,"[('P', 0.77734375), ('U', 0.22265625)]"
85,P,0.201171875,"[('P', 0.81640625), ('U', 0.181640625)]"
86,P,0.16015625,"[('P', 0.8515625), ('U', 0.1474609375)]"
87,P,0.16015625,"[('P', 0.8515625), ('U', 0.1474609375)]"
88,P,0.126953125,"[('P', 0.87890625), ('U', 0.11962890625)]"
89,U,1.40625,"[('P', 0.75390625), ('U', 0.2451171875)]"
90,U,0.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
91,P,0.57421875,"[('P', 0.5625), ('U', 0.439453125)]"
92,P,0.34765625,"[('P', 0.70703125), ('U', 0.29296875)]"
93,P,0.201171875,"[('P', 0.81640625), ('U', 0.181640625)]"
94,P,0.201171875,"[('P', 0.81640625), ('U', 0.181640625)]"
95,P,0.126953125,"[('P', 0.87890625), ('U', 0.11962890625)]"
96,U,1.9140625,"[('P', 0.8515625), ('U', 0.1474609375)]"
97,P,0.201171875,"[('P', 0.81640625), ('U', 0.181640625)]"
98,P,0.16015625,"[('P', 0.8515625), ('U', 0.1474609375)]"
99,P,0.126953125,"[('P', 0.87890625), ('U', 0.11962890625)]"
