trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash
1,W,1,W,K,1,1,1d2e1d1cccb68a2a6b920d224a1a5c477cb952cc478554789d8ed30eb240fe79
2,W,1,W,K,1,2,a67d42bbf7fb268c348c579702239eef0e1fdb5e581eb1f7f32cf1ac5dcc4386
3,K,2,W,K,0,2,ea2b7af413e12cfb6ed176fe5183c96710f36620e329bc30fbd31049fa07dc62
4,K,2,W,K,1,3,7731a124efc58785f45aaf872c3785c1724291e7dc9c05d7e355fa95868a4260
5,W,1,W,K,1,4,988c224d9c34c6a1e6de2e6c69ceb7d8dd68b91563b37f27f5a4e4ba00cd15b5
6,K,2,W,K,0,4,1b33da59854a091f32d22da266586b6c7fc81990dd78ae22c49f70bf59c2f6ad
7,W,1,W,K,1,5,b698991e6905d58d1ce455310cf713fd6268320d071a5f644347a8f85f340a27
8,W,1,W,K,1,6,c1478b303070f3e25d42ddcae8b0a5869a97bb72c800b4d3e13a23442daf665d
9,K,2,W,K,0,6,4d6b633ac984ea876f9a1fa6de4b6fffc27198a6089242000491f12bf3563dab
10,K,2,W,K,1,7,1bf344aee925728277543dfed3671f4ec6225626390bf5777b6ced715d555786
11,W,1,W,K,1,8,8d345f8fd8afaed98f04eb1f389df75fdfa0bb47ebaa55f6be0ec1bf62cd80b4
12,K,2,W,K,1,9,670c6819f960a7e2f3e5796a49847ec52c64b8528bcf93caed2e6b264ede25a9
13,W,1,W,K,1,10,1ce13f49f5cd741bed99cadafb8062047318b730774ff435f75da60064e0b7db
14,W,1,W,K,1,11,ce241b93beebf02a0199d30ab2a528019c44e13f340fae1e853319086d1a3ec7
15,K,2,W,K,1,12,8f17da30cfbd671e9d9e5bf9297ff1444eced0068d0749c017ca92dca2b5f1d8
16,W,1,W,K,1,13,155a1e236aa978b3808b43fb3f840da8840e1d90d792ddf039dcc9f3837c80a0
17,K,2,W,K,0,13,c533b4b58539b3d1e0c04d7be8391496df2a4b389ba0dcedfae469d4e0b08c12
18,W,1,W,K,1,14,73781133b94b924d12e7e5600237abd77f0f9f6029c0ebf16608d88c7ba18fb7
19,K,2,W,K,0,14,caba5ae0eca7e5cac0ff4ad2b53e88c08679b796acec9f42b1d3cb750d5e0967
20,K,2,W,K,0,14,1963809ee1cf68cb52b7ffbba3f27b211d7aa894225792a03fa5f442a393ed05
21,W,1,W,K,1,15,38a81109ab92258b642ddb628d917e758769d36361a45989c00e82e26a696ff6
22,W,1,W,K,1,16,77f13c461d4341094574224ee062bbb4ee3a5e111d2d309a22f3d49ae049164c
23,W,1,W,K,1,17,a67cd61a350cb44b6a175103a59e111f5927537152cd86bf127b21085afa2b44
24,K,2,W,K,0,17,1e8533e5a1d50a5caee42dd6c1f3ee71a6f2ca99a090001774ae85f55792b280
25,K,2,W,K,0,17,276f12504b190f49ca37b4e73882f9379ea197895ec13bd062e79a59a20a3b5f
26,W,1,W,K,1,18,0c1911643016859049391d3f81377683113dd91b74803bf80d33dab97364944d
27,K,2,W,K,0,18,c824ba973f843d2044070fded244b3009a9aef1a591ecd6e77add0eb85b7f1dc
28,W,1,W,K,1,19,0e22b8a495049c7d3881603dc7f35a64654aa9beff7c9bd8d10a612513b12b80
29,W,1,W,K,1,20,2f07b8878af898357489ed45cc5b07d8268e493438fdfd00834dcdd1f916edbe
30,K,2,W,K,0,20,72854db288152161b3f08ec0abf3d2a442bb966cf4e1cdb40fac5d15592b271e
31,K,2,W,K,0,20,2cbff06476f90f740679cc14e8337d998af94a27c809f445555810e53c8a7424
32,W,1,W,K,1,21,832ad12840644df7da1f5c9a86c44b27b9371eb43d1d3b3c8c080e510d56482a
