trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash
1,G,1,G,V,1,1,51c3257d1c40ea6f8b15c8f72f95ae27f3b0ed075d5b6625487c4875558169d0
2,G,1,G,V,1,2,c4d282ea1df5988100cc14ed12ff94645463add35f1f7d9ce0cce6db612cab10
3,V,2,G,V,0,2,ea35607f37fae65f4bcdbec068865a074b929a5d344dc2c17a3e7ebc50c214c9
4,V,2,G,V,1,3,1e7b97754d16fafad410e85213768d73bfc104d87e280e9fd79b6b7887a97b83
5,G,1,G,V,1,4,b2d5fe141a0f0d9dc6acce9ef1cc7ba7146cd1467ed925eb8915c27020f0d680
6,V,2,G,V,0,4,5531711e7a71ff6b6a932b94fc1d6c3cbc4602aaab5ec7c3623bdfaf879fa191
7,G,1,G,V,1,5,7c1af4019eb6569295d1d3563ea2c32baa76c8f6bc9138b62dec2e33873c9478
8,V,2,G,V,0,5,bec3bdf6dc75cd404e848f968934c7c3ff7305d5267abefb58f34b0b66a456bf
9,G,1,G,V,1,6,fef9a1fac6e6529e7d9fb01d6502ea8238e772c1e778fe2bf881ea4292bc5af3
10,G,1,G,V,0,6,fced3ed686c0787f9d30e626bf8bef1af9cc5b20fb58c35de2280a76ae78a68c
11,V,2,G,V,1,7,1c7913c770c1c49411f02de14317bfb5622db3bb8aaede68c5c5c0abf8159dc0
12,V,2,G,V,1,8,e77a7699a122fb3d4544d8064287338f654aab20c515171e1672336b3f14e6a6
13,G,1,G,V,1,9,3bbb74da1edaf0d347ba1e67df5cecfa456c5adb72eab098eb7a778bca0b9847
14,G,1,G,V,1,10,3d79f4c93e7e5df6c89dd8407051c05800348b9f4a2db359e4c04dbfa367e744
15,V,2,G,V,1,11,73176ee7f3946bcae4e580d3abcbbe934cca6110129ffdf1f4717dd42e0225a1
16,V,2,G,V,0,11,097c1211ffa6a3e01c2b45f41dc1c9cc0960361275d93a4f8822b946e2ef2fc0
17,G,1,G,V,1,12,d2ad07b5f5fdc5f3dcc51901e9911ee6a957914d4a78594c716633de1c1ecf8a
18,G,1,G,V,1,13,f67837c979c6c82a53a2ce34c26972d2302838437d046ef4dd690784cd266607
19,V,2,G,V,0,13,d41ad9fc01ac63b321f166757fb0dfd23e8588b5d7a7653994ae02c6664358bf
20,V,2,G,V,0,13,e8d42ceb2a9c711685f69cef287c5a13872e59ecea926c413991c608de66b5d8
21,G,1,G,V,1,14,df837a678d7ac70ceea8f66f05ae57f29efef5e6459e2060807bbe70f0ea6f8f
22,G,1,G,V,1,15,d42de3d9288c7476cf5a988a815d96db4707d8fc02431a6ee03f1cdca89a7438
23,G,1,G,V,1,16,d4efe78575a39a198d153d79000f1bfc4cbf0cf3aa0ca86d26ed4b26d4814a6a
24,V,2,G,V,0,16,376646a3446f7627398e7ccf286e7886e9b23f620592733cb9abbfe56ded7d83
25,V,2,G,V,0,16,0e7524ec3bae20e23146c8c6929716ccc5775ecfe56e055dd5237fb03bb9fa53
26,V,2,G,V,1,17,0b7ddb820f9f9f65531eaa0192b8f0d6ba00842f3fdbecc1719b8af27b0e0037
27,G,1,G,V,1,18,a7550291048d4dc04f61cc735181889d3ffb6f2bd5811ae7512ff32942397896
28,V,2,G,V,0,18,5a038832f31fc77c9402ccce54f002ffbed9ce364c73d761b08827ff75749764
29,G,1,G,V,1,19,430b1e3f8438ea11f760f272f43b60b4831c7ca6e1e4c01544f5f5fad0b517b3
30,V,2,G,V,0,19,89148383f64e581bb877b688d5db298a1f5620b0a60f3d5052033fdf0e2393bf
31,V,2,G,V,0,19,4d1510b652dca3bafce983f339c8f7e2357d39d8fdcf1f7fb19da64c71471861
32,G,1,G,V,1,20,c83f34fbb905eb1f02161cfdabd6c9984b758d62ff2d39c59dd9acb17b8ad16e
33,G,1,G,V,1,21,67049846d67b2ebcbc536332c787a3e8cf4094600d6e0bae56d33bd14d3070ae
34,V,2,G,V,1,22,38a3a43e1fe5e90106ea47d522f5339286e0c0b45ef9707e15ee11da055f575a
35,G,1,G,V,1,23,77f6c5c1b35e7dabea1947ab3ad7de0d468a643042a10684adee5592d9ba396a
36,V,2,G,V,0,23,b8e11e9c2e822aa3faad5b3593de8c440ab4734400a72899f2b2633cfed10418
37,V,2,G,V,0,23,82563af6a7def58eed913499d00e862c03ff0b8a6a64c87c3c279441d8d6bafa
38,G,1,G,V,1,24,4b0e3c54fa29b21ea3e3d3c30fab93d12ce0f7eeed8e8f9c8a36e860e1692171
