trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash
1,A,1,A,V,1,1,48f3563d318729a77d65b2a9eb0685cc70e5bf7c8bc5fa687e78e6cdcdb5bc62
2,V,2,A,V,0,1,ef0f6755c51735c4155e7a072baf6b914c787a0a6110a191663d077785c7cd5b
3,A,1,A,V,1,2,6ac39151590d1a9978d00048562832a43cef223a9885a4653f506fd2b9ee3ba5
4,V,2,A,V,1,3,d3dd55ab8f576a14a3d57b1c8bed2dd069c8c72ca4e13bb78009dfb0a4dd3409
5,A,1,A,V,1,4,ef3e9bb3855b43a49fb5e354c3047e081db6fbc6d2a6b71d1ffd30ca3b406aab
6,V,2,A,V,0,4,0211dc030c254b70a74997a1fed54e5ddfa7c55cba734b35d7e84573d524f5ab
7,A,1,A,V,1,5,de4fb305d10ffc0a002e0bf0a8566b1d08ce4e211bccb2e6ed68f751e0e844d5
8,V,2,A,V,0,5,1914eb83a48371839324432fca7e865f02a262b9c48965446210058823802935
9,A,1,A,V,1,6,82a6530b243345fb9a0c3d5cf874b22d7d0c5190213d9231ef9a48affdd33138
10,V,2,A,V,1,7,1e328aee07dfb2c0dc60074e7e1890db4aee99718ce86c1dffc013f9c5ca2c1f
11,A,1,A,V,1,8,166f4c453df0c7ccf344b23260c6bc85e67175c173d3f7c9a3bff62e7e13bad6
12,V,2,A,V,1,9,5eb00ae2985b413a28b3e7e818f544d5fa238187f60dc7bd96fcff088e2b8ebd
13,A,1,A,V,1,10,018408ea05b9e9f2355452bf62db79d5892cb2d780500d5786ac7e229d1a6333
14,V,2,A,V,0,10,6087c72c7dc4903cba438be4e0d97062c4f2a618c5ba5d8ddea99074e9433e5b
15,A,1,A,V,1,11,139973dd25faee68e98f38b1735dd0c1629a34b812af5f3141863227ff1b6093
16,V,2,A,V,0,11,0051d2a320f6c065b73288701af1afad049ccbf2edaa28c24b9f71ba5dbe2352
17,A,1,A,V,1,12,c643e4bd029aa71179075511fab69dfc90923b28f531865178e3d82f6bc263b3
18,V,2,A,V,0,12,f2112e8693787d210bf11d3566a97ceb61cc36ca05c8a6d31cd4662d0f46d047
19,A,1,A,V,1,13,d7e14d40ecf63e2acc0bc02c697700100976500b6cf398e7c7060c6c48616983
20,V,2,A,V,0,13,8806606fa398790eef6b005aa8cedc347e9a454391552565053ba6482f54540a
21,A,1,A,V,1,14,ef748125dd49eb954ef52399cec17ae636556fd5a59e63be53231fae855963d5
22,V,2,A,V,0,14,5c3e09f85e8e730ffa6099a0848491181556433258c36670071e83bf86f5907c
23,A,1,A,V,1,15,2c64b9d4498c796658c983aaef09bf7a536100439cadc96d248171eaf5eaaf58
24,V,2,A,V,0,15,021a02ea1f18e514a8dd4046b8ecf0284ca4734b257560c8363a26f8ad88a90a
25,A,1,A,V,1,16,ecc3a3fefebe57a875841f59ab9e695e536dcd62133291896da22a36ef83b683
26,V,2,A,V,1,17,aff4a1071020dad59b87947e3963f545dc4008b220f894235dd430ea54fa98b7
27,A,1,A,V,1,18,51d795de4596d0dc9188cfb48d27d1e310215d21296e47f07fe34e147bddcf7b
28,V,2,A,V,0,18,fc0cd6e82ba8671e9617534f42c455f6b79543cabff2dfdb3630739163461d96
29,A,1,A,V,1,19,d8457c59e5ea7d5ba9df4066cf4034fb77f86f59b7fcb4035dd52c88bb79b5e1
30,V,2,A,V,0,19,91d5e0bbfcb27e8fe151c5ee9b5cc2e90ae73400418f7981ba5d355b6f2d9630
31,A,1,A,V,1,20,3ab9ac7a629aef1bbadef6b159612c6c7a5763232a3458d3a8ce6ada69386d49
32,V,2,A,V,0,20,d7293a4880c1a762c5ff38691fb088d05f8fdfc1c051ab6b75f39dbea363100d
33,A,1,A,V,1,21,d7bc752f294ef7120ce56fcd2f1dfbe93992ed57cab454ec58b87d2cc54f080f
34,V,2,A,V,1,22,04d305284b6b058d971fcbfe6d4ec45f7a9275f278a4224ab2a486912bf7844f
35,A,1,A,V,1,23,7a7efa50dd8f586870f2c7d21499c4aafd90ab1ca408f5b9962aad75cd81b9a2
36,V,2,A,V,0,23,9c5d68a0830584c8f46f400a84d709572fe3c121141c437216d1de5fab8b332b
37,A,1,A,V,1,24,6d03f94160061dd008e2389f90a92a3c89b3126e4434b18240b937d437ac4282
38,V,2,A,V,0,24,20a7037a93c2560991248dc2829dd7ed9dd5198723aed0fee4deaed3a5e2e18b
39,A,1,A,V,1,25,293f9b4a38264ab4fa33d5c7e2d1015607a27facec5b42fe4981fba3816985d4
40,V,2,A,V,0,25,5dc46d02cc445d4b2869ce501bf8356568021a5e55291112965cf9b6278b7807
41,A,1,A,V,1,26,64ca126d03d278163a0ca7800392a9e64b6193aadf8aa23d9ae6bb145827b17d
42,V,2,A,V,0,26,e783356296c0c0109c1a3dfa0a16d36b02b1c370c8b9ddf70fb378c8cb0f1d6d
43,A,1,A,V,1,27,5ebf3b65e0b8a607d02d9b9ba85f9bd99466e194aa6b2d7edb22efee6d65b2e2
44,V,2,A,V,0,27,d97f7112f5adee05cb7ddd0e3844e5048df71a7d0bd6707fa2b28d48d29d10d0
45,A,1,A,V,1,28,77cbd1055b8a5c29dd47161f6120377ffc357dfe84563f38855d88cee0e22ea1
46,V,2,A,V,0,28,c4e77cd3ae0eff8cd5241e9ec366da86f72e6a482158b733fa41a2d95a44b123
47,A,1,A,V,1,29,9cec618b3865ef30eead812a190f331294970ce0adb525ddb8e996d70c2a4d16
48,V,2,A,V,0,29,c04ed20ec6c209cbcff7422bf3aeaab8e52d31ae57de12ba378bc1f716e20876
49,A,1,A,V,1,30,690ab5e863323e904ca59f7fd723993b4c50b6972f33011dfd8bbf24e42d46a7
50,V,2,A,V,1,31,f6c5ba8b077ad730a16b585cd6a9e5c28009f806c9ad82cd2356460d52736c5b
51,A,1,A,V,1,32,aff2e47b39a188cc5a01a6eb9efb78f1019f67a33a8f8eeb66c37c2b57a5bf13
52,V,2,A,V,1,33,3fe744a6528d12769a0fc0d604e1a661d07f25ef83113b2ba8f51e82422c41b6
53,A,1,A,V,0,33,6f5c19b403632c0bb4a56ce294a70cb9911de219b38fc98c2f32cf6f1274220e
54,V,2,A,V,1,34,172571c0cc16e2d8a2fc666e88450f9b963ef067a68cfa98ebe1a3467a33b01a
55,A,1,A,V,0,34,9146239fd4eaefdf102c23558b708dcd1e954cfb33262e27f1bd248459385dbb
56,V,2,A,V,1,35,436a0a19cef9cb59d666fba23b1434d0085f84410ebd5ae9fe21c7416b8bc36f
57,A,1,A,V,0,35,3ee6c2fa3a45c9a1a33639b4e06df31f487936af17d4db1d709a6193aeab5606
58,V,2,A,V,1,36,6623a831cfbd8703e2f4de8f268ce552dfd011fcb7f97cd7bdd94d7cf1806012
59,A,1,A,V,0,36,ab5bcf7cbdc3209e7676eba61be0e9217b9ba8e20229e05592f2c27689070a7b
60,V,2,A,V,1,37,4f2d820bec5a449500ceabb908fe53201fb781cac5a6db1f2437c70824728d73
61,A,1,A,V,0,37,5ff3c4862e3855e71276fc6c9d49758eb14d68f7e53dc767b50cbe8cee356468
62,V,2,A,V,1,38,9311a5d8c2546b163d43fa9e5cc7f9617d5ceaa60e86705da8b1732922f10beb
63,A,1,A,V,1,39,6df75e4fd6ae69520c974069d18ecdb9ff20bc72e051d137b8097a3b4035e278
64,V,2,A,V,1,40,3534a782031980f94a8f6abd1ded71e97c6b882f5a500b460a7133cf3171430f
65,A,1,A,V,0,40,6155c56aaa9592e160bb036989ab80ba95ff7c879430c66d871bf8c7ec88ab82
66,V,2,A,V,1,41,56c4428858bdaa780ff0f8c6308443655870b204afeece49fb719c98c81ad94e
67,A,1,A,V,0,41,33df369e8f20d8a250a1a98a090371a216493d41259b05c7fb30e7085b60b4b2
68,V,2,A,V,1,42,4fcafde77474b2465e870e023d9fa0741624be581a9b636521ace7f3867c530e
69,A,1,A,V,0,42,5265e935534b18198324de30e04f714a8d49880b66997f084a2d3c02eb416f1b
70,V,2,A,V,1,43,8b9129a1bfefd66120dacc712c3cf1ce2c168435b23106998ccc744bc72bac2b
71,A,1,A,V,0,43,1fbc2840a14ef7bba3c36141451d1e89be3fe56119ceef5fde22fcb8f7be6592
72,V,2,A,V,1,44,cfee2ed9816fc78420ad292eaec7b397a48a25d79a873c7abede6401435eecec
73,A,1,A,V,0,44,a1b08d416f2e4c4823d536462f8192358ec2cbd29f675782ecb86bc0712fbd25
74,V,2,A,V,1,45,29cc9d3f895d7f550e910d6694092d5a78fc95b0385e4f3c440e3ad711f67128
75,A,1,A,V,0,45,eab7705f9a84f7c4c515927b212404180a6c6cdb89274e3cabbcec44c10a26f8
76,V,2,A,V,1,46,3ff41fe6343332c82a2d9f35383339c596adc92217899c0fc387ea8538bf3482
77,A,1,A,V,0,46,2e515a7636737950a742d8646141f79025b8f3adf1269043666040f01c6457d5
78,V,2,A,V,1,47,b09795e553524c0dfb4b3dc842a801114febd40fa8a3ba68ea3b541db6511ebf
79,A,1,A,V,0,47,d403f3ca53d116948c62ad60be414669eff54fc0a354881426e9a45bcf6d7789
80,V,2,A,V,1,48,1a273b17a95bda77098c0f0b969ba78d98fa2412ba5fd4f1b82276f80a592e23
81,A,1,A,V,0,48,ef107a8444348d35de72a315c9fbd5cfa4163409f93948bf54d7552d1ec42d43
82,V,2,A,V,1,49,158be3c5014fb95156fe56ae4a3d6b28a619ed73256bbe12e80a83c4589d1a63
83,A,1,A,V,0,49,1ebaacedf92639d9da3b80902940ba314c8fa378fd6afbef2e2d808cca1099d0
84,V,2,A,V,1,50,5271b2aad26ee8d26b8acbad2dc397fd5bde7b5bdf9acdb3eb63497eb78ff587
85,A,1,A,V,1,51,ba9579c48a564dd69a211dfb671e0163ff86104f08579fb475a9ad11c1ab6733
86,V,2,A,V,1,52,f784e5ec0c45b3d14855be4c69a0c478383da57ca54678adec6c82cd8b7e3158
87,A,1,A,V,0,52,1ffcb99ee8f89025133073090076125a5e6a242ce3a17cb7da7c046900f82dc0
88,V,2,A,V,1,53,2c71bce89d87a4c0e59cd12bd1858cd52da376829d31130f6f6122d04b398eda
89,A,1,A,V,1,54,b2d8ccc85c80ddd331798ce66eac98f4cff26a3aee34db3d3e36a034a9d5ea99
90,V,2,A,V,1,55,2e390ccc4cfb2f707637ab0d64d2420c54c29ea0d8c868934aa279c346516896
91,A,1,A,V,0,55,22b9a93b831507527505e70b40dd6199f3c21dbc583b7b5d0d3e6fcbde07f046
92,V,2,A,V,1,56,a7a5d6fe9f4ec5c738e9151567e9777199fa1bd493a92edc886192b1b18004b3
93,A,1,A,V,0,56,1c29d027c2dc4f9010a0052d47eb7f954c3cd06839af1951eebb01ae2a07e964
94,V,2,A,V,1,57,28d7f8a8b96610d5032d3fde03b3cc1dfd6fcf770903565bc2b1437d918029a1
95,A,1,A,V,0,57,89778f589507bd2bd0121f8246ea67a1aea41a5c3fb2b3e2aed5428c2f254fcb
