trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash
1,N,1,N,I,1,1,16aa242ab40d9cb3cd38f2ef46bcf0e6e57c3fb7ef9b4d49b4b01ae1fad24a0b
2,N,1,N,I,1,2,23f72d43475efa7f2dd27b0ae8e70a5e618b84b6afe7a26337bd2758da8e95a4
3,N,1,N,I,1,3,4826046c9bd70eed63a19cddf86b375435bdcd2b35eb1758b3e6f37070abef50
4,N,1,N,I,0,3,4adba3420f211e3c7444d224654bd89bb41dae5046627d83e613de45b58a0734
5,I,2,N,I,1,4,c47cfbff4cf5b7494ee3bdc21fd2fa1eb2fdbc70580396a993c0625419268466
6,I,2,N,I,0,4,f2747bb9bf1d079141531e1ae61839519ec8763bf4d4b262ccf6f22d458b2936
7,N,1,N,I,1,5,3f974a86663e503477f1fe740392ec10712af27db9c9b460200b077f53360cc6
8,N,1,N,I,1,6,267f2d95774d5ea0672f9a1aafef82c035592461cb1e27ec0a4223d5cf437e63
9,N,1,N,I,1,7,da5c9b2b2b2a69c2d03a76d3ce435235f754f6cf338d123a9068357b10681c27
10,N,1,N,I,0,7,3e101433420f648a6edc482c9d3dcddf9825dda0ceb4e9a25cd50ee4b9aad731
11,I,2,N,I,1,8,f7f680fb1cd98c315b3b59445b72f3e0daa3bf87c6e0f9cdf5054c6b01e6ec63
12,I,2,N,I,1,9,b95d1bed720fff328427d57346798ad3a654b683670c962c75eb90c538627e5a
13,I,2,N,I,0,9,643f0b1cc3324ee3e1d651cb7b94b47ed703db3b51d65abef2fcd24ae12f54ac
14,N,1,N,I,1,10,2d98bd60f812be9ce48586cd60a07d42037ac5363da35488cc1a6bed50f43edc
15,N,1,N,I,1,11,e1f9a61608f96480957ca506f4e0c1d3a1f1257b750a5f943ba75cd0c9631437
16,N,1,N,I,1,12,78f7a46f7e6700bb54ab1c9c563aee2caa60f0b31df89e8b0ef7a5bf01d417ed
17,N,1,N,I,1,13,f2d2fcedc63bf3fd67c7e51911d30c420860d4874a8cf9120dafb3f6b4202176
18,N,1,N,I,1,14,2b4fe020bef8fb47d733a733a554ecd4c567aba12989b70c553e4dc3d0984389
19,N,1,N,I,1,15,7bcb016dda347d2fc140a1ec1b152146e96d73fcfbe0128982b536ef3b98e7d4
20,N,1,N,I,1,16,3fc7e59cebde107f08da51a62ccc0e7adcd79d0e705eba890f6dfa77f4f35cb0
21,N,1,N,I,1,17,22a387c9cc201ce9b9bac5e52fd5c18de75c7011373843bfd2838536da09f94e
22,N,1,N,I,1,18,a87b33bfe78ad9c2bf574bc0765bc4bb973bfc71b71d4516bf1ae231b7ea7c41
23,N,1,N,I,1,19,c74fb3b57d06c2bce19193020133d36eb7d7facc3fd7e36187517f00d400cdb2
24,N,1,N,I,1,20,0d12dd91a8a48a59d39e5a49020b936330ed26b680b75c8297660c44e77f701a
25,N,1,N,I,1,21,688a6e47ed355b3205ee8d2d1b55cd91020f541b235a0f7d526aeae1f8a4eb0c
26,N,1,N,I,1,22,0b119a84d3ad54407948aace705c053c5df3c75af25a0b583fdf3bafd8ec5c75
27,N,1,N,I,1,23,7014f6f08ef5f45ef7c441180e0f3a94e321c118a70c2aeacbfc621173ec3156
28,N,1,N,I,1,24,e6dfcc6c87f22db82b6f0bff892ae3cbabb57189612a69c0ce4628117d26053e
29,N,1,N,I,1,25,d8248272a4e6805a95a5b718e49ff6d7cd4417f1a3ca76c37cc7aa498897568d
30,N,1,N,I,1,26,8b3012a9b7c8b8a1f7d88e9fb14e09381d618f6da298f06ef3d90c9feffdcf69
31,N,1,N,I,1,27,2bccb7ac863b196ed2ca4e19de46a92bbe55d02191283381a0bb65414a44db10
32,N,1,N,I,1,28,962d6352221fd2b1774a25fbcbb9add588038cd352e72b18583c8126617d3e08
33,N,1,N,I,1,29,1703e18aa296f177665e237917e4922cd1cef4d99fb5a71f5f6ae513c2a85d4d
34,N,1,N,I,1,30,ec4226e615d9490a8c97d58e0cd2ed8f85d271916b8c0f44f994033f59ad5ae8
35,N,1,N,I,1,31,fbee34d12a918a1800039120eee66002d2635902c09cb38968f2fb848ba865e3
36,N,1,N,I,1,32,430c005d5214c44676e206c030bee24378a7df0c043251aca9af43629ee374fc
37,N,1,N,I,1,33,04602eb475614198c8e7fb208911bbfdbb8aea806faaed07d75cc28eafe1f267
38,N,1,N,I,1,34,104483aa52e70e7b369f4e889ff20a5ec16fd86c7f049bcfa6ce66e2a912b3e7
39,N,1,N,I,1,35,b8744c97d3078e13f9cf7d01a370c18f0b34945a0878762318ced0451d0f098c
40,N,1,N,I,1,36,c181090a4291c15bb32847530584d7bd2aafc6e4cb86bbb88dc2f9daa08dd4f9
41,N,1,N,I,1,37,eb7cb09fe91a099d240fef784d285045a0ff5b15e19da1a391ae2c24622ba04f
42,N,1,N,I,1,38,9f9cf8f096d4fdf2aead402eb38767e62aba9d30e6ded1b473f175c41b956e91
43,N,1,N,I,1,39,2c5ff5f61f6c308ecf0d7b81c2b02a2de705ee4df80a4edb47c8f90fdeddfe00
44,N,1,N,I,1,40,73ce32de4d6cab84565c42b6afb67b1e012fef1a7db788e849fb662c886d5836
45,N,1,N,I,1,41,3508e9019e6f5cadb877eddeb2e6074c370d30f4ac272bd6a456015bb3847652
46,N,1,N,I,1,42,b7ee5dbd872ff9f81c2f8e8cdf927db0bb886be8e677c8893b9ef88e39227b38
47,N,1,N,I,1,43,b4b1c1999e78e2627425dc3bb7926248e8ed248a4a95e777192dd15d35e7b8c7
48,N,1,N,I,1,44,19f9b0185357fbc8266452c4b7eae128018014e1a2fdd2e02977a7e893db4d27
49,N,1,N,I,1,45,5984172836cdd6ec3ade4feb255f2484043314cd14c612f8a2dd3ead1a8d4387
50,N,1,N,I,1,46,824544cc885d1b5093ee6f6ffebb35b2885204c32f56739bd280e0ce187e2e29
51,N,1,N,I,1,47,1fe96e8a1d640c63b05dccd673dd7e437fa968ae95507e2eeb4751cb220f0ef5
52,N,1,N,I,1,48,75816b25a42a17efe48ec1d11aff1bc76086cd65695f1b7cd1caa6f7c64a36b6
53,N,1,N,I,0,48,a529db971ed0b477c7d950645304229d46f14b9eef975afefb1b7ae19b15dbfd
54,N,1,N,I,0,48,cf02fa693a2b7458fda2f7f8cd6d81889f34a6f5972e65fc54bf9d03f6d4cbac
55,I,2,N,I,1,49,e0635fcecfd3b6c719ff76217f938cecd9796080c86264854fd1088ed36c54dc
56,I,2,N,I,1,50,7d0910f902b92ce1e5cb0fd40f320c13f3dc6695c64453f476e5d60c12d62d19
57,I,2,N,I,1,51,c17cac0486276d9364fa33c0326c7e8416c77a47cde737c263c8e6a5889798c0
58,I,2,N,I,1,52,2e1a998b19eda8820a827c69999b1a280d82530da4c55776605e2b2624b32931
59,I,2,N,I,1,53,6ce5c858e39cea18f3bb6fc1fd779d715487605661b193e4aa165886388d817b
60,I,2,N,I,1,54,6b8aabc5d82ee3fe4ea55660f5a002a638143e73c3863a12ec7b115f5da043ec
61,I,2,N,I,1,55,0018867bbf027c8da05fb107386370c6fb051042c48717bab86cff85f357bf56
62,I,2,N,I,1,56,ec8516c3ef8d1d118aebb4fa6e4b6c4331fc0553f0174088ce0ed87b0762ddcc
63,I,2,N,I,1,57,8a627dd30c1225fb0c1e1ca705851afd02e5d9d0038a2f50ce8e6c4c541f0cd0
64,I,2,N,I,1,58,d33d4fe6cf87cf1a793d23ae20caf84cf12174b79a1d1244476304bbf047f918
65,I,2,N,I,1,59,616da9517c639e5bf6ac6434fe42d20000f2248815947943da9de8e12c36b165
66,I,2,N,I,1,60,3428596b26b82a96fabde7bc2d276cd6cb6be47b8f4ba98e003038dbcb9912c4
67,I,2,N,I,1,61,c3604fe6d86e4137f22578ddb35026cce78331f3135547d1f03b2c2888230389
68,I,2,N,I,1,62,105b71f057e94667fa5cc7ed75b90e0ee2ba9d890b1e8685ea80d595c9bf615a
69,I,2,N,I,1,63,6566430939e591d1ca65f3555d2f073e26f00da8c6d9cb59928e07b945400ed9
70,I,2,N,I,1,64,2f3c36611b0b558d77711894e0aa5118c1b003e469c8c4d92a7abe5eb5d75655
71,I,2,N,I,1,65,64071b64f6304a353155530ef92b421e0c4ced173e1d2738ecc917e0f16e66b8
72,I,2,N,I,1,66,42483cced1c9cb5fce41465ea0792f7f0c80222f279a466b0fc9d8d978821da2
73,I,2,N,I,1,67,df46619757a9f477bb319a46566375770b767b44acf7ca3b1406ef7e5fc4b0aa
74,I,2,N,I,1,68,c57d6203852fcb6af218eb3a64745ddece144f5dbf4334627109b4da8f78c43d
75,I,2,N,I,1,69,6413135023af2fd4cae53075c11a69fd265e2c310a02b08ebab10e57b548a15c
76,I,2,N,I,1,70,df3559b293ac3d9023ba462b0437871746658a522d676cb9cdf0f7a2e5b25032
77,I,2,N,I,1,71,cb0837f610a9aa3bc1f368b4536582a25d88f411e0e6ee8cdb57128b8af14cb9
78,I,2,N,I,1,72,1ddcaa1d3b7dbf6474d7887ed05937e9d5de81dbbdb87fa931eddfb506dec499
79,I,2,N,I,1,73,a5c981b7073a98526e6bc79060bfc29ac336ad0b1d8a1671826d991d766f3a7f
80,I,2,N,I,1,74,40faa8af0a6127fadeece5ebb81b6b15146fa3bf1742749c1c37fa916c8364fb
81,I,2,N,I,1,75,4261ca2ee94cc0782157680660058f361f61dd4cce5e8e49c8bef8b9f6eeab2b
82,I,2,N,I,1,76,2ed1c0e197f5f7edd604f4234005294001e2cca114af2848fbfbb4258220ab9c
83,I,2,N,I,1,77,0755fc28b06db337f8fcea7b0ebab5bef1f18a3b71f006d3adf2c7c342a6ef95
84,I,2,N,I,1,78,53f7e7a743e498cca75ead7d78a33622a2bcc74376d6c6a69f35353a884d4383
85,I,2,N,I,1,79,70b1df8285aa82473187938dc5c89427c78323be4fb90a3bb0657625d808d82b
86,I,2,N,I,1,80,cb462b7ffd3f3d39caa4b6bd87414ccccb57b6b559fa61305c6c4e24de83e565
87,I,2,N,I,1,81,15df8634aa73ad353d292596f6ddbd880020f0b374616f26f8045aa53ce71a25
88,I,2,N,I,1,82,4a644813bd932f77cde2c22a8c1b8472f2bb27ca725f76d562f49074a3476029
89,I,2,N,I,0,82,b942bc0b772bd506f1c78893f2ef5b44360a10adb70b743cbb25894c2fbf1b20
90,N,1,N,I,1,83,880a1d0a1f8e1b21200a4627e0f1885b44afe85bb292441c3ff7e00b1a7dfee2
91,N,1,N,I,0,83,17e01a55980ebbe3b34f02ea7c7adac41c8f8c35d9069ab0fd9a87ee1a78060e
92,I,2,N,I,1,84,72023a00ce1f961aa620093283bcc3b12381b4f96a535f01bea84e87e086d7b7
93,I,2,N,I,1,85,3d03fc09554308507d1497185aa181bfb252725fefe427b77815c97a987c34fc
94,I,2,N,I,1,86,86a9b67f7cc1c6816345df4e01b87a1e4f8956b54eb0dc69e050cbf51f07b05f
95,I,2,N,I,1,87,47795eb656f1aa71758fa6771584e198f13bf522f7b13a695aef3ed47b4f8085
96,I,2,N,I,1,88,de65030b70fe4f5c087fc5f6d565d4e5fed2559ef7a97234220b5cf2bff5c90b
97,I,2,N,I,1,89,ac40409c09ea5fabe1927cda378123848838c0e93e8d745ace868b60f55791fb
98,I,2,N,I,1,90,5e91505ed37ba51576b16012725f20f7d3110764842588d23827281eb3e18d20
99,I,2,N,I,1,91,015db20640d63a9b8d3712eb56582a7d4eecf640f5c53524047e5b998dec4cb2
100,I,2,N,I,1,92,8eb522c988ee0676bcba8b09e8695f4170711278593cb63f8538ba735ab86eb7
