trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash
1,U,1,U,I,1,1,167c1ecbf95336ff5830c28f14dc39715de5605bbc5964c68d501eaed1aa0eeb
2,U,1,U,I,1,2,1bd448c1b4f2255b9a57c6b5dc4e10a2d4063dad01c74be01dee3bfe23d50462
3,U,1,U,I,1,3,542eb53c29d5d463c8b318e24df11fa7af3bc4cd898aa39eb3cb82b748c01b78
4,U,1,U,I,0,3,8bca7359b96bc4ad5e654c8805f1ec754775d3c5567acb6c54ab1358fe385fc7
5,I,2,U,I,1,4,e4c7eeb3a6c2895114c4a29fb3da0910e91049bbbf3ba441b018fbc92ed9b610
6,I,2,U,I,0,4,d04ed6f3603e694ba4ca3bf66c35d5df25c53f7b0a71819c4b26e261973ba918
7,U,1,U,I,1,5,2c80a1acfb557f8899ddc606fcbab70beb7485c74592c0db1c858982b05756fa
8,U,1,U,I,1,6,e00a605e310e7e4e8e37495e8e6eb0a0399970ce4fb42d9b897ccb085638a79a
9,U,1,U,I,1,7,6b8e2510f90005870c8cf0ab86216622f9ed4708d23e6a3213cb707fa4d0da03
10,U,1,U,I,0,7,af540135aa8ca4a793c78b64a77ee06628658b7337a95251eaa29faad3ed74ef
11,I,2,U,I,1,8,9395e460e463fdd64eefcd62d778c43e40732553100af41ea9e034651be6b69a
12,I,2,U,I,1,9,067c425793f70518f6caf29461f6006e28aaf36b595bb921900f973032bca046
13,I,2,U,I,0,9,d6f8909d415dc2ef1681522a924c2c2a1c8d8459ecb5925c64ade3d90f546591
14,U,1,U,I,1,10,90b819867f5be467c0f054bacc1d827de54a0c573f22d7b78afb5918fb924a0d
15,U,1,U,I,1,11,dee3098fa1bf19b830075f6d0f8aa8ff8767904f219dc972487296e5520d8334
16,U,1,U,I,1,12,5d0a7392217b52aa4c1d31f65793ee46a966631bdaf9c26c847a097c68c64a0c
17,U,1,U,I,1,13,7bac0a81034073ad5761b36df2742f1a062a78ac969c2dc0d8c983d6581e3b47
18,U,1,U,I,1,14,7c0977ace64805b72bc6bb674ba5d58395d885315069ee9d27d603602b9de6b8
19,U,1,U,I,1,15,adb9aa59517b86a7802965e410112c2fee98c0b9887b1aa40e0d7c4d9e2b2df1
20,U,1,U,I,1,16,12d75116737de23d38765602b287fbfd608289b42a50b49446fb6484b90075a4
21,U,1,U,I,1,17,dbe99c0c78ed5c3c85246716091d200ceb4c56d675e1192b25c3657b21513c81
22,U,1,U,I,1,18,da1e0e2988eec013facca8c0120b58b01b9f0ba82997f87774cabdf3dacaa1ca
23,U,1,U,I,1,19,b4029a3b53ac5fea78a8a40a2c200d327a39b4255b5a4e2d9b2f3389dc7efb26
24,U,1,U,I,1,20,bb02466cbf5d23b4d2c0f4a2b92562d730c40ba68f040b4291c13811d99d85f1
25,U,1,U,I,1,21,a5d0e9fc167e7573cc5145b25dfda75e19493c42e5eb636fcef36b9178d81187
26,U,1,U,I,1,22,bf110c028b1a77824b00b9d1f2f61abb7dcf26181fab6a8ea038404d854417d6
27,U,1,U,I,1,23,8b29489211a64f09d3a8d609438985d5df19f68411b1a9a89af7d7c7de9ce70d
28,U,1,U,I,1,24,6c6fc4d83d7762edab13ea5b5098ba74ed7d74e8bf63c03dbc9fe7138bf387ef
29,U,1,U,I,1,25,a68feab67b049cf0c4d29bff205e6cd3a7c4b171ea817264538dc2ac4cc199ae
30,U,1,U,I,1,26,fcf774398dbaae0d2692d58f46d3276b5b14c2aec702027053ab6f859db4d056
31,U,1,U,I,1,27,fe60a0108235b812a1b1b7137ab9f03682586cfc3a2346bacbf83969d313501d
32,U,1,U,I,1,28,ea25803a73ad000e099d007541da1d608ae4ffa513b3a21e7111801b337f17ed
33,U,1,U,I,1,29,75ff1f73d9706417a549b7131c6a7969c6512c0d094993d27a1459149f11014a
34,U,1,U,I,1,30,fea1bb9709aa8ea185e9f7a17438e0bc3e77e9336d2d4fdf711c5c6c2219d95b
35,U,1,U,I,1,31,4511f85758945522c4beeaa910308cd414eab4815c35b45bcbec7e41ee7089e6
36,U,1,U,I,1,32,7bab74880b5ea90996a649bac73cf10c7c5358650794e12ba0ee223fadad3550
37,U,1,U,I,1,33,87d5f74642dbae3ffb1849cd0f74fb3ea0ce4cb21d9622347d515c1ba95819f6
38,U,1,U,I,1,34,98d1e53a22a9c1ae72af7d0b3fc3d386a79ebd822e74764410431b55eb1396b2
39,U,1,U,I,1,35,7223e9b580b94517cc67541a30a9ef0b6773e0859a5d831f41a1505ba132bad8
40,U,1,U,I,1,36,c90a2a8f852bb86f58dcd5ad884b08b750ae3d3d629c7effcb1f07ea2c2e9aa0
41,U,1,U,I,1,37,9cc195d9f6e829513d51e29c27cea1cbda94acc4d38d1d9ee7ae1363a747376c
42,U,1,U,I,1,38,473ab11b05873364bed701ed167e3d145511b7a108b8116b8b4417a69b3f1218
43,U,1,U,I,1,39,b7e4ba7481786369d3d0f9ba3dc2d310a9ec36f3651bf3abcf0572fba0ce660d
44,U,1,U,I,1,40,ea003f1c4c50f31fd4f0ba8aa57184b265a4023dd4e3d907883264901ef31f53
45,U,1,U,I,1,41,c9a7ab17c7a493b79de52a35cd1efc5f43899effa4ba2d268c1e0d0158182dbd
46,U,1,U,I,1,42,b15062d33d5b9f75d36a02af31e740782048ef4c7a22ac1ea3bba6841d59ce63
47,U,1,U,I,1,43,7dace17f2da4206478a9ed8c7c859bb9cf9821d80162ff4ad32a6535247b78f5
48,U,1,U,I,1,44,6455d0c2606cc1ccbc06b91ea7da0bbcb503d4bf2b6ba6b10e2b8a22e9921dae
49,U,1,U,I,1,45,56a01d0b711da41c63f4ecc50288bee9d5fc3df9a22ebe22fa300031cf4defcd
50,U,1,U,I,1,46,a3a93a025685e8cf01a5328ff1b6698c0fe03b9580a10cb3902ca226a383a6b9
51,U,1,U,I,1,47,548c5b0a7b05223062d5d0413d5c890edc36378d56e7efd81c1b6a625966e3c2
52,U,1,U,I,1,48,d45a5188d404894af38f66b82da664b5ed631335ff9c796b5350c57d489c5b12
53,U,1,U,I,0,48,fb4648638d7bdb8410c1ee0b5fecc57fa82610ac90af6dcb3744429e3f35d087
