participant_id,trial_index,ground_truth,step,prefix,gt_prob,distribution
161,1,somewhat low,1,start,0.96484375,"[('som', 0.96484375), ('low', 0.0228271484375), ('very', 0.005767822265625), ('ext', 0.0025634765625), ('normal', 0.00225830078125), ('high', 0.00064849853515625)]"
161,1,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
161,1,somewhat low,3,"['som', 'ewhat']",0.953125,"[('Ġlow', 0.953125), ('Ġhigh', 0.047607421875)]"
161,2,extremely high,1,start,0.00396728515625,"[('high', 0.40234375), ('som', 0.3125), ('very', 0.2431640625), ('normal', 0.03759765625), ('ext', 0.00396728515625), ('low', 0.000148773193359375)]"
161,2,extremely high,2,['ext'],1.0,"[('remely', 1.0)]"
161,2,extremely high,3,"['ext', 'remely']",1.0,"[('Ġhigh', 1.0), ('Ġlow', 0.00150299072265625)]"
161,3,high,1,start,0.049072265625,"[('ext', 0.52734375), ('very', 0.412109375), ('high', 0.049072265625), ('som', 0.0086669921875), ('normal', 0.0013275146484375), ('low', 0.0001087188720703125)]"
161,4,somewhat low,1,start,0.333984375,"[('som', 0.333984375), ('normal', 0.26171875), ('very', 0.203125), ('high', 0.1796875), ('low', 0.0167236328125), ('ext', 0.0025634765625)]"
161,4,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
161,4,somewhat low,3,"['som', 'ewhat']",0.005950927734375,"[('Ġhigh', 0.9921875), ('Ġlow', 0.005950927734375)]"
161,5,somewhat high,1,start,0.08740234375,"[('very', 0.345703125), ('high', 0.3046875), ('normal', 0.2373046875), ('som', 0.08740234375), ('ext', 0.01953125), ('low', 0.00811767578125)]"
161,5,somewhat high,2,['som'],1.0,"[('ewhat', 1.0)]"
161,5,somewhat high,3,"['som', 'ewhat']",0.984375,"[('Ġhigh', 0.984375), ('Ġlow', 0.015625)]"
161,6,very low,1,start,0.09423828125,"[('low', 0.423828125), ('normal', 0.2265625), ('som', 0.15625), ('very', 0.09423828125), ('high', 0.09423828125), ('ext', 0.00421142578125)]"
161,6,very low,2,['very'],0.75390625,"[('Ġlow', 0.75390625), ('Ġhigh', 0.2451171875)]"
161,7,high,1,start,0.000804901123046875,"[('low', 0.53125), ('som', 0.28515625), ('normal', 0.10400390625), ('very', 0.0712890625), ('ext', 0.00762939453125), ('high', 0.000804901123046875)]"
161,8,high,1,start,0.2431640625,"[('very', 0.66015625), ('high', 0.2431640625), ('ext', 0.033203125), ('som', 0.033203125), ('normal', 0.029296875), ('low', 0.00011587142944335938)]"
161,9,very low,1,start,0.10888671875,"[('low', 0.490234375), ('som', 0.205078125), ('normal', 0.140625), ('very', 0.10888671875), ('high', 0.04541015625), ('ext', 0.0101318359375)]"
161,9,very low,2,['very'],0.53125,"[('Ġlow', 0.53125), ('Ġhigh', 0.46875)]"
161,10,very high,1,start,0.0301513671875,"[('som', 0.53515625), ('normal', 0.22265625), ('high', 0.1533203125), ('low', 0.056396484375), ('very', 0.0301513671875), ('ext', 0.0031890869140625)]"
161,10,very high,2,['very'],0.94140625,"[('Ġhigh', 0.94140625), ('Ġlow', 0.06005859375)]"
161,11,extremely low,1,start,0.01220703125,"[('low', 0.41015625), ('som', 0.2197265625), ('normal', 0.1513671875), ('very', 0.10400390625), ('high', 0.10400390625), ('ext', 0.01220703125)]"
161,11,extremely low,2,['ext'],1.0,"[('remely', 1.0)]"
161,11,extremely low,3,"['ext', 'remely']",0.59375,"[('Ġlow', 0.59375), ('Ġhigh', 0.40625)]"
