participant_id,trial_index,ground_truth,nll,prob_step_1
96,1,20,2.625,0.072265625
96,2,20,6.5,0.00150299072265625
96,3,20,6.84375,0.001068115234375
96,4,10,6.40625,0.00164794921875
96,5,90,4.125,0.01611328125
96,6,70,1.5234375,0.2177734375
96,7,40,3.921875,0.019775390625
96,8,40,2.609375,0.07373046875
96,9,90,5.5625,0.00384521484375
96,10,20,4.71875,0.0089111328125
96,11,70,3.3125,0.036376953125
96,12,50,0.91015625,0.40234375
96,13,40,0.99609375,0.369140625
96,14,30,1.3359375,0.263671875
96,15,80,1.4921875,0.224609375
96,16,70,4.0625,0.0172119140625
96,17,60,1.71875,0.1796875
96,18,70,4.0625,0.0172119140625
96,19,40,1.234375,0.291015625
96,20,50,2.0,0.1357421875
96,21,80,3.609375,0.027099609375
96,22,70,2.46875,0.08447265625
96,23,10,1.0078125,0.365234375
96,24,20,3.359375,0.03466796875
96,25,40,3.671875,0.025390625
96,26,20,2.796875,0.06103515625
96,27,80,6.53125,0.00145721435546875
96,28,20,4.0,0.018310546875
96,29,60,0.53515625,0.5859375
96,30,40,2.078125,0.125
96,31,30,4.53125,0.0107421875
96,32,40,2.640625,0.0712890625
96,33,70,3.125,0.0439453125
96,34,40,2.34375,0.09619140625
96,35,60,2.9375,0.052978515625
96,36,50,0.72265625,0.486328125
96,37,50,1.453125,0.2333984375
96,38,80,2.515625,0.0810546875
96,39,40,1.4765625,0.228515625
96,40,60,1.6484375,0.1923828125
96,41,50,1.1640625,0.3125
96,42,70,0.7109375,0.490234375
96,43,40,1.359375,0.255859375
96,44,70,2.453125,0.0859375
96,45,60,1.5703125,0.2080078125
96,46,40,3.640625,0.0262451171875
96,47,20,2.046875,0.12890625
96,48,30,2.890625,0.055419921875
96,49,20,1.2421875,0.2890625
96,50,20,2.0,0.1357421875
96,51,50,2.34375,0.09619140625
96,52,40,1.75,0.173828125
96,53,30,3.03125,0.04833984375
96,54,40,1.0,0.3671875
96,55,40,1.3828125,0.25
96,56,60,1.8671875,0.154296875
96,57,60,1.859375,0.15625
96,58,80,4.15625,0.015625
96,59,40,1.7890625,0.1669921875
96,60,40,1.828125,0.1611328125
96,61,80,1.7890625,0.1669921875
96,62,50,1.1171875,0.328125
96,63,60,1.6015625,0.201171875
96,64,70,2.1875,0.1123046875
96,65,40,2.328125,0.09765625
96,66,80,2.3125,0.09912109375
96,67,70,1.8125,0.1630859375
96,68,60,1.5625,0.2099609375
96,69,60,2.515625,0.0810546875
96,70,50,1.6640625,0.189453125
96,71,40,1.1484375,0.31640625
96,72,20,1.4296875,0.2392578125
96,73,10,2.03125,0.130859375
96,74,40,2.3125,0.09912109375
96,75,50,1.046875,0.3515625
96,76,40,0.98828125,0.373046875
96,77,30,1.59375,0.203125
96,78,30,1.8984375,0.1494140625
96,79,80,2.4375,0.08740234375
96,80,70,2.8125,0.06005859375
96,81,60,1.2421875,0.2890625
96,82,50,0.75,0.47265625
96,83,30,4.09375,0.0167236328125
96,84,80,1.390625,0.2490234375
96,85,80,3.671875,0.025390625
96,86,80,2.203125,0.1103515625
96,87,40,2.3125,0.09912109375
96,88,50,1.703125,0.181640625
96,89,80,1.6171875,0.1982421875
96,90,80,1.5078125,0.2216796875
96,91,70,1.3515625,0.259765625
96,92,70,2.65625,0.0703125
96,93,70,1.8671875,0.154296875
96,94,30,2.765625,0.06298828125
96,95,40,1.984375,0.1376953125
96,96,10,0.71875,0.48828125
96,97,60,1.421875,0.2412109375
96,98,50,1.125,0.32421875
96,99,40,1.234375,0.291015625
96,100,30,1.4140625,0.2431640625
96,101,40,1.125,0.32421875
96,102,50,1.046875,0.3515625
96,103,60,1.5078125,0.2216796875
96,104,40,2.078125,0.125
96,105,30,3.078125,0.046142578125
96,106,40,1.40625,0.2451171875
96,107,80,1.203125,0.30078125
96,108,60,1.6796875,0.1865234375
96,109,70,2.71875,0.06591796875
96,110,40,1.5078125,0.2216796875
96,111,60,1.6875,0.1845703125
96,112,40,1.359375,0.255859375
96,113,60,1.5,0.22265625
96,114,70,1.140625,0.3203125
96,115,50,2.5625,0.0771484375
96,116,70,1.2421875,0.2890625
96,117,30,2.375,0.0927734375
96,118,20,1.65625,0.1904296875
96,119,10,0.251953125,0.77734375
96,120,40,2.546875,0.078125
96,121,50,0.9921875,0.37109375
96,122,40,0.7265625,0.484375
96,123,30,0.984375,0.373046875
96,124,20,2.671875,0.0693359375
96,125,60,1.734375,0.1767578125
96,126,60,1.6953125,0.18359375
96,127,60,2.171875,0.11376953125
96,128,40,1.2890625,0.275390625
96,129,40,1.15625,0.314453125
96,130,80,0.69140625,0.5
96,131,70,2.8125,0.06005859375
96,132,40,2.734375,0.06494140625
96,133,30,3.140625,0.043212890625
96,134,50,1.34375,0.26171875
96,135,80,2.578125,0.07568359375
96,136,60,1.484375,0.2265625
96,137,60,1.7109375,0.1806640625
96,138,50,1.9765625,0.138671875
