trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash,seed,initial_correct_bandit
1,Y,1,Y,O,1,1,517ed0410031000fe9c14c3ef6db9717594ef4d4737f60743684600822fe7a5b,417983441,1
2,Y,1,Y,O,1,2,5e58928633359a26c1ac3094ef4279e46b7a1fc791d864c20d50deb5aa865945,417983441,1
3,Y,1,Y,O,1,3,c6809129d4e6be0cd2935284756d054065faaa869272e26bde56d8aa517494d7,417983441,1
4,Y,1,Y,O,1,4,a15a8e35ffe694d74ebc20d03ee697d5fe1a799a5b8f64bd30a9142691e1c7e9,417983441,1
5,Y,1,Y,O,1,5,4fde23f389eafc72c9307999e9900f9aa6ba3f077d50fce96acb3f4516fefdae,417983441,1
6,Y,1,Y,O,0,5,7c4e81f0ee0134c2ca2e5a40720ec04487205fd6510d96c9c38da93074125ab9,417983441,1
7,Y,1,Y,O,1,6,c9a6cd0a771391302bd1fc13e827b098118e0ae58422b2e1860052694a5ca073,417983441,1
8,Y,1,Y,O,1,7,29d4772cfe0f60988335f049ea50b66bc814e4f8e411db8166959e3cdba06df8,417983441,1
9,Y,1,Y,O,1,8,bf202d784fc9d74c153bfc37d6f717f2e46ddaca8bc6ad83f36b2723873ab20c,417983441,1
10,Y,1,Y,O,1,9,eef9b07a9bb2708df8a25899b87f45f47abdd008c40c34eef4d3c1249ba33686,417983441,1
11,Y,1,Y,O,1,10,5c523fb0e52908c053855fb0a395d43d6cd8cd031eca2d22f840f331f00d7707,417983441,1
12,Y,1,Y,O,0,10,4b555af8f260071f9241ebe0345ecedcb9bf9523b984f5db964224292cdf3901,417983441,1
13,Y,1,Y,O,1,11,46676fa3b0615a62bbb7fbe2692e1b7b36769aee70b642604164736191123e98,417983441,1
14,Y,1,Y,O,1,12,9b46e5a443a3c005fccf6fc542c59ac4a16e6b38d29d12785048c1bb60117d22,417983441,1
15,Y,1,Y,O,0,12,dec154c21bd016bc2d92411ab3e7cc28ed6384a64c0294e387d7a70345b30303,417983441,1
16,Y,1,Y,O,1,13,4703e1790dcf4faa1c3cc616ffec5dcbcc90d02fe48e90dc12f1d6e8edc2d389,417983441,1
17,Y,1,Y,O,1,14,d708ab2da05e8b6ae5df568553fce917db21fc570aa2509bdbfddf786b5ea63b,417983441,1
18,Y,1,Y,O,1,15,b9963c65133d655f839655f02aaa0e2dab11090454bc9907e26f4262af52cb62,417983441,1
19,Y,1,Y,O,1,16,df1d5abc8431db52be46154caa48f073b1e54ac3e5d4198bfa9fed4e99b4de87,417983441,1
20,Y,1,Y,O,0,16,176f34664be6263e30d7106264587b893c7eba0d6cf5884a5aed86e97e51fbaa,417983441,1
21,Y,1,Y,O,1,17,57d2c2d58b7b1df4ec5d55dd4fe84ad2f0429790f2ee4bf25abbcb09f2bc9b25,417983441,1
22,Y,1,Y,O,0,17,a9e7f83b663d2729d18bdb8d08985fb5c03d0cce3f92fb392c31d813772e6340,417983441,1
23,Y,1,Y,O,1,18,6026b3dd59734ffe6cd846030083bf16ec4cd93dc4aefecd28af5ea81134680b,417983441,1
24,Y,1,Y,O,1,19,ee45adbc6b43967f0d1a3463759b74c1bdd03631f8940c3395cb2352378c4d05,417983441,1
25,Y,1,Y,O,0,19,4a1866c01b1563bbfc23aabb84d081f7b4f0045bde078af209084a545b2db247,417983441,1
26,Y,1,Y,O,1,20,66ca84fc8a56a3c1bf164a2b6ed3903bfaa6a3f78257fc324b2fb4f4646f28ba,417983441,1
27,Y,1,Y,O,0,20,0909f72afe52b929e028a651eab28fad11a630c053a8be43b9ab3bc1699d78aa,417983441,1
28,Y,1,Y,O,1,21,a02b155e985df37708bc6d85461e37c7ce85b7b86208b10f1327ea6db7b36f98,417983441,1
29,Y,1,Y,O,1,22,1de8bd1a205cae019764ca69aea183a5dfac623613b29187acd6888384277c75,417983441,1
30,Y,1,Y,O,1,23,dce8a255709147e22928fa1f7c7584034bb3c71c6ab9e905ba9c9a6a05ca3dd2,417983441,1
31,Y,1,Y,O,1,24,bbff45bbfa2ee9a1ba493fa426f338bebc915d6f39c33264402291bdd984ba74,417983441,1
32,Y,1,Y,O,1,25,cc98a772df164efc1025d09502374515555a65699d5b522087e7f7c1d5404db7,417983441,1
