game,trial,type,choice,mapped_choice,reward,horizon,choice_numeric,prompt_hash
1,1,forced,2.0,P,66.0,1,,
1,2,forced,2.0,P,80.0,1,,
1,3,forced,1.0,Y,29.0,1,,
1,4,forced,2.0,P,75.0,1,,
1,5,free,,Y,33.0,1,1.0,2671831a7e5d1ce68a700f6f8d7c76f86d360c7017a65494ccea1b17cc660b63
2,1,forced,2.0,P,69.0,6,,
2,2,forced,2.0,P,50.0,6,,
2,3,forced,1.0,Y,51.0,6,,
2,4,forced,2.0,P,64.0,6,,
2,5,free,,Y,42.0,6,1.0,ee749dc09dab8551b35c7c9533db3aa1f729b996b3a60dfba237bfaed2ce2472
2,6,free,,Y,57.0,6,1.0,a1b223c4e263d94895a4c4814d3049109055ff30a871878cd0cba28975f68c95
2,7,free,,Y,52.0,6,1.0,550302ca46a91a890eb089332417b8cc25440e58b2629a0825401e188d2d5798
2,8,free,,Y,67.0,6,1.0,7bfd630b73cc49863ba827077f111cd667623252c281c1326d287e99b1c23af5
2,9,free,,Y,67.0,6,1.0,912ce8cd03892e1425465b0a8360677d5bb02b65ea074f16be9db9f5d92bed87
2,10,free,,Y,55.0,6,1.0,7e65f0824b5ea76ee5569c59cb418cddbd38a4c619b3b7391a483ad0a546fd20
3,1,forced,2.0,P,31.0,6,,
3,2,forced,1.0,Y,43.0,6,,
3,3,forced,2.0,P,26.0,6,,
3,4,forced,1.0,Y,36.0,6,,
3,5,free,,Y,26.0,6,1.0,d75e1577273ed35bf42a185923b1acabdccdbd13bc894a1c0b63597f414d1320
3,6,free,,P,28.0,6,2.0,6343b6cce37e5c7094d71529fc3a686ca545b2a2922c0cb857e6197b8ac07571
3,7,free,,Y,44.0,6,1.0,51ea8f81641b7a6e96334e2c1a237931b550b183cfa8bb7d848d0d54de76f636
3,8,free,,P,35.0,6,2.0,960b73b18dc08b5c95b3ea0d965d5dd82f899a8d91524e1a0680084878d56f0b
3,9,free,,P,28.0,6,2.0,404908ec29861e4b810405b2594b9578f011c000204047d68cbb57b88578f521
3,10,free,,P,33.0,6,2.0,b4fdea940dfdca69985166e832e60adaed287a4d65301d718d7437ed6256b004
4,1,forced,1.0,Y,65.0,6,,
4,2,forced,2.0,P,77.0,6,,
4,3,forced,2.0,P,52.0,6,,
4,4,forced,1.0,Y,73.0,6,,
4,5,free,,P,79.0,6,2.0,d22306cbdace1f64a0a67425c3eeaa9e51d52876d052d7ea4d3bae9db93e35a3
4,6,free,,P,46.0,6,2.0,56911e6d1abb8d75daa3434b233437e35c9c37ec53c2e61e7b5ced8a394ff0bf
4,7,free,,Y,70.0,6,1.0,4d277d17094ff9b7af04256cc94cd88b5c87f7fc283fe0163c816902105d8ce2
4,8,free,,P,46.0,6,2.0,d106fefd267ecee212cd575757c7f8d76c07ef848b1fcf2d3d42717483a70bef
4,9,free,,P,62.0,6,2.0,fc1b639f95fb9ecb84e6fd76b0aad5ceb6eee40c481de429d6534c64c86e6509
4,10,free,,Y,68.0,6,1.0,64d4c76cf59ad2f21f6b3db8b7e3eb3e26931972131b04f6a304efb870db16eb
5,1,forced,2.0,P,70.0,6,,
5,2,forced,1.0,Y,19.0,6,,
5,3,forced,2.0,P,43.0,6,,
5,4,forced,1.0,Y,41.0,6,,
5,5,free,,P,53.0,6,2.0,d3ecca290ff4d56086c00f845a4e363c08c106fd1fbe574df81a1c705ce3a8a0
5,6,free,,P,65.0,6,2.0,ad57b1a17ea63fc3ee24d53463ff66c4b2f7eea15aba35b55fdc4b2fc3251c48
5,7,free,,Y,33.0,6,1.0,ab9bbdc5cccd62d679427fbab7a15da9efcd38cdb8ba461d5d0a119b7d203fbe
5,8,free,,P,68.0,6,2.0,97799cccfefe4950de4adcde9a7ee6666e4d0e2555c60e725e4d5e68749ae490
5,9,free,,P,62.0,6,2.0,8c750ada3b933b43444c7c91805a145d0b44b374d8a86b69c0d76bd2e333bc79
5,10,free,,Y,46.0,6,1.0,138fb541cbc62bd0be2d7bc8aa5acb9e206e4e83b00d760e8dcc69dc07a812ad
6,1,forced,1.0,Y,63.0,6,,
6,2,forced,2.0,P,44.0,6,,
6,3,forced,1.0,Y,49.0,6,,
6,4,forced,1.0,Y,47.0,6,,
6,5,free,,Y,65.0,6,1.0,95fbb78c52e7c752ca777ea19f7f0348192433ad29ec3e0d25630bbfd0ddc900
6,6,free,,Y,44.0,6,1.0,20b41499bd8d38859abb6227897ddfe42b360380f0d807ee7f065889d9087223
6,7,free,,Y,55.0,6,1.0,9950e9716973277c3ecd0e597038eb7c22b6a0a240be9b55fdbf6d3c7003cb5d
6,8,free,,P,51.0,6,2.0,1496d79cbb8ec830bdf61c675d00f84207ecd10684d78c5fbe6b7298e6cfb4ea
6,9,free,,Y,70.0,6,1.0,04f8d4760748045990d27d7f6b79da3b7521902a8066bec18d7365fb2c8e1990
6,10,free,,P,38.0,6,2.0,b67bef3c0fe6edbd5725b6a624a528b6418a6ddd1c0b78fa632e047698735fae
7,1,forced,1.0,Y,61.0,1,,
7,2,forced,2.0,P,44.0,1,,
7,3,forced,2.0,P,41.0,1,,
7,4,forced,2.0,P,47.0,1,,
7,5,free,,Y,49.0,1,1.0,8c096e567ebcd2f78022c26446bf9eea9471cc2252afbc5816cf35ea36fc425d
8,1,forced,1.0,Y,51.0,1,,
8,2,forced,2.0,P,76.0,1,,
8,3,forced,1.0,Y,54.0,1,,
8,4,forced,2.0,P,84.0,1,,
8,5,free,,P,74.0,1,2.0,d9b9b8a75f65bad0cf8086c987c7f8cf91608411a6ff333501933b23c05c3b5c
9,1,forced,1.0,Y,54.0,6,,
9,2,forced,2.0,P,14.0,6,,
9,3,forced,2.0,P,15.0,6,,
9,4,forced,1.0,Y,46.0,6,,
9,5,free,,P,20.0,6,2.0,bcaa8aa58dd98fb610e636d036aa2dd05258550ba7bee81a3acc4d3dd768f366
9,6,free,,Y,44.0,6,1.0,50d88e4a94b5cca301bcb811b6f76fd2015837dc0b556b6891cb16b274570a2d
9,7,free,,Y,42.0,6,1.0,89cd2250ecb0d3d7a416b60ad923a2245c2da00c33571a56d82e22fe6b382de9
9,8,free,,P,17.0,6,2.0,b8175eddb4e0973cad5b21e1a1e07ca0326b37090f45d14c52602e5046a23917
9,9,free,,Y,34.0,6,1.0,fe914d57d8446e07d4a4acf4b3effa3b1e08dc219c3a1bcccd954dec1342f25d
9,10,free,,Y,25.0,6,1.0,dcfd5d9d0e0118ed87847dc81a61b0c2d30cd8ee03570e849cc79d3e36176bb8
10,1,forced,1.0,Y,9.0,6,,
10,2,forced,1.0,Y,17.0,6,,
10,3,forced,2.0,P,40.0,6,,
10,4,forced,2.0,P,42.0,6,,
