game,trial,type,choice,mapped_choice,reward,horizon,choice_numeric,prompt_hash
1,1,forced,2.0,M,66.0,1,,
1,2,forced,2.0,M,80.0,1,,
1,3,forced,1.0,P,29.0,1,,
1,4,forced,2.0,M,75.0,1,,
1,5,free,,M,81.0,1,2.0,6ec88168098b186e8a9c960d568ef33f18c0ad03989407d183b5decc0e0378b2
2,1,forced,2.0,M,69.0,6,,
2,2,forced,2.0,M,50.0,6,,
2,3,forced,1.0,P,51.0,6,,
2,4,forced,2.0,M,64.0,6,,
2,5,free,,M,65.0,6,2.0,349fa8ed2aed88d81e1fd17174bab489a7892a3686d2e651cac1bb68a94de197
2,6,free,,M,54.0,6,2.0,d936ec2041941186e4aa78ba1916c2eb6a6c407ad21afb6fd09e763bf197a1f9
2,7,free,,P,53.0,6,1.0,3d0e0810c1764080e7b060a3b60987e29a3adf2c09c287bbfc152e4c03cba20f
2,8,free,,M,64.0,6,2.0,bcc265e2351c26502c4a56ce125ee248fe7a72340d3f4095814d9edee18a3150
2,9,free,,M,57.0,6,2.0,d64efb421d06f0d8c136e339cd28cd092e2475e3d6e99541f82877fd9fa3703a
2,10,free,,P,55.0,6,1.0,c0e3ec5de6b5ab42ca05dabcefc0ece4a2453d16991d8c4faaf82cea08d7d2d1
3,1,forced,2.0,M,31.0,6,,
3,2,forced,1.0,P,43.0,6,,
3,3,forced,2.0,M,26.0,6,,
3,4,forced,1.0,P,36.0,6,,
3,5,free,,P,26.0,6,1.0,0871ba7b08a51c6a6d3c4b8d2731bb2683637afb9dd942d504a1e7173cbfa0ad
3,6,free,,P,41.0,6,1.0,9485ac7b474e12ed5d519dcc3fb77b171795a3804c146f29072951469cf961e4
3,7,free,,P,44.0,6,1.0,637fcf971858472bb1448d83282e572376fd1fb57f19bcab883abc77f002a155
3,8,free,,P,44.0,6,1.0,0c1572945eda6028ef41dd9b6bc05833fced64e1ccf76aec62b1548f8e9db748
3,9,free,,M,44.0,6,2.0,da39e01c6b3b49c6f85912f063cafb259b59a166b4cdcf236317d527f87fb038
3,10,free,,P,53.0,6,1.0,8a2f5e828dcaee2faeaacd2451283a0d4580075dad2ceb7edc9d57591439c782
4,1,forced,1.0,P,65.0,6,,
4,2,forced,2.0,M,77.0,6,,
4,3,forced,2.0,M,52.0,6,,
4,4,forced,1.0,P,73.0,6,,
4,5,free,,M,68.0,6,2.0,87e12ef221fb1cf1c3fdb7017a2db91f24a84a063203b3d9547a7358ad6ad94b
