game,trial,type,choice,mapped_choice,reward,horizon,choice_numeric,prompt_hash
1,1,forced,2.0,V,66.0,1,,
1,2,forced,2.0,V,80.0,1,,
1,3,forced,1.0,R,29.0,1,,
1,4,forced,2.0,V,75.0,1,,
1,5,free,,V,81.0,1,2.0,251d34a25c1031c4552868b49312282f4fa5fbf5ecdff4209c8a98530fd8a839
2,1,forced,2.0,V,69.0,6,,
2,2,forced,2.0,V,50.0,6,,
2,3,forced,1.0,R,51.0,6,,
2,4,forced,2.0,V,64.0,6,,
2,5,free,,V,47.0,6,2.0,ad7678497edd7e55029cd9dc86514612b81d9ba88043fe3c0453def8d3864bc4
2,6,free,,V,54.0,6,2.0,777c84866c6bd46c3ac70c6031d5a4e8967722407903eedbe6c5801b31694be6
2,7,free,,V,64.0,6,2.0,89c05b3aff6ad74beba27b4fb02a9ffba1564dd23a660cb211dbbc245f36db2f
2,8,free,,R,54.0,6,1.0,e66558b7e43070d473a06978105b77a780f4dcc694a7b067ada0aa75129fc0e7
2,9,free,,V,57.0,6,2.0,ca6ed2dd25953b2f43ea2918a0f328b32016072a4bf824831cfa512fa8fdaf3d
2,10,free,,R,55.0,6,1.0,6fb0aac6922d68b77fbd8d846aa41ca2bafc26882c3bf0e49bbc9b36776011c7
3,1,forced,2.0,V,31.0,6,,
3,2,forced,1.0,R,43.0,6,,
3,3,forced,2.0,V,26.0,6,,
3,4,forced,1.0,R,36.0,6,,
3,5,free,,R,26.0,6,1.0,7bb4d950089fcdcc5f9f9b128392b603611da6d62ff5be6d4931e9cb0dade211
3,6,free,,R,41.0,6,1.0,0d97230f5abbdf9c45ad606694fc91e2e1d3bf8486c9da71039cb9d5cfa911fe
3,7,free,,R,44.0,6,1.0,a433237e318f43ff45ed7b1a813b8f0205f7f3c5d4f22921008cae56aa9b5a21
3,8,free,,R,44.0,6,1.0,55b56a7c22d4d159d162788af9876949bec96178010c4ed8f886c20a22cf90bb
3,9,free,,R,43.0,6,1.0,aba82f9ca91055d983c27d2adadd78c93116d38b1cde14c35ea1d649a5167ff5
3,10,free,,R,53.0,6,1.0,2b5b8162719a51f2b489bf0d169a4892d8d33f7f7442aefff8786c7e8b502d3f
4,1,forced,1.0,R,65.0,6,,
4,2,forced,2.0,V,77.0,6,,
4,3,forced,2.0,V,52.0,6,,
4,4,forced,1.0,R,73.0,6,,
4,5,free,,V,55.0,6,2.0,3e6357c396bf2fddc68368e14fa5f26a19f1453a7e0c8d222a5c97bae0d82958
4,6,free,,V,76.0,6,2.0,4b98ce50932e2835d54f353b0e5a945d8fdac18d4ea85f5c41c83aa3426cd6e5
4,7,free,,R,70.0,6,1.0,8b79b90a00eaa6538912a77306364631329091ba39f66f16dfd7731259a1d206
4,8,free,,V,42.0,6,2.0,4ef49fbe55d479717cf6b80f6d7854975acda485541cd6d066db6bbea1fe2c52
4,9,free,,V,62.0,6,2.0,8d0109f603c43631d18d3c5dd0335aed39c4f200c6b34ff24d2bd7f9922817fc
4,10,free,,R,68.0,6,1.0,319afe8d947e121168331c7c7ec9a8debd9ac2e945f49bdd05948b2a6fd58324
5,1,forced,2.0,V,70.0,6,,
5,2,forced,1.0,R,19.0,6,,
5,3,forced,2.0,V,43.0,6,,
5,4,forced,1.0,R,41.0,6,,
5,5,free,,V,53.0,6,2.0,1a012f1db6bebb77b73665af35c7b19fbcc9de27ddb81d125be44f57f1a70042
5,6,free,,V,56.0,6,2.0,8d6ae5ed4e831e30df728a8b1a5188cdb71ecdc2ef5226d131fabaabdc7d4df8
5,7,free,,V,61.0,6,2.0,765e06605235d9a016e1a41d1f33c9c39d77d479da831061fa9ca996b189ebf7
5,8,free,,V,68.0,6,2.0,b171bb0b29eea76b4f11b28cc97fcf81b5d3a3b79cd8aa358bb6e9921e485dde
5,9,free,,V,62.0,6,2.0,eb627f4b3601b635d5b5ce528b10d5201b440c73a696d50c5c669b53f06921f7
5,10,free,,V,52.0,6,2.0,a95688ff8f4c7f5e7e4e563cea4940a370b4f95f2472b140911688357aa52b92
6,1,forced,1.0,R,63.0,6,,
6,2,forced,2.0,V,44.0,6,,
6,3,forced,1.0,R,49.0,6,,
6,4,forced,1.0,R,47.0,6,,
