game,trial,type,choice,mapped_choice,reward,horizon,choice_numeric,prompt_hash
1,1,forced,2.0,M,66.0,1,,
1,2,forced,2.0,M,80.0,1,,
1,3,forced,1.0,S,29.0,1,,
1,4,forced,2.0,M,75.0,1,,
1,5,free,,M,81.0,1,2.0,a8b6f9d44ce1c306ecd44eb91dc216b2bd5608357fb75e65819ca4019b9179c8
2,1,forced,2.0,M,69.0,6,,
2,2,forced,2.0,M,50.0,6,,
2,3,forced,1.0,S,51.0,6,,
2,4,forced,2.0,M,64.0,6,,
2,5,free,,M,52.0,6,2.0,beec5705b6b8332897e08f468b1f03838c0cb985c2b87430e8a4a39a81a0903a
2,6,free,,M,54.0,6,2.0,d847f76ff13df1157d680d566dcf7b217315ad0f93a0e629d86c6624d933bd31
2,7,free,,S,44.0,6,1.0,4fbb2d1f7adf097bf0c374428232145176a750e37a65db64c66b099a17bfb1eb
2,8,free,,M,64.0,6,2.0,32501748a1effc15cfed6dfc0334ad0ca98f8c0c8b5182f38488e96333dfdb4d
2,9,free,,M,57.0,6,2.0,c059fcc928b86c82f9e52f31d404c7c48e75afc32497a862ebafe884999fbb63
2,10,free,,S,55.0,6,1.0,90582cb8f2ef97339b9139541473eee654e99fea78efc3b6ddbc8905ba109fed
3,1,forced,2.0,M,31.0,6,,
3,2,forced,1.0,S,43.0,6,,
3,3,forced,2.0,M,26.0,6,,
3,4,forced,1.0,S,36.0,6,,
3,5,free,,S,26.0,6,1.0,36399e2ea57f5422917f59747998938612fb995e933aa0f9082ebab6b05955cc
3,6,free,,S,41.0,6,1.0,67f2e364fa8ff6172dc33ed2450c431b38781b70ef28a42b13139ca202df44fe
3,7,free,,S,44.0,6,1.0,3a6521290c2c3b6570a9a21f0999ce2fbe239398e3eed088d4a16f98c045cfae
3,8,free,,S,44.0,6,1.0,8ea8772401e080e539f896f94d7b5b73681c767f7a3f653a1dfa33a677e38dc4
3,9,free,,S,43.0,6,1.0,736cd0cd690337e99bc3188db85c438864484235747fca513a67b5628128f8b6
3,10,free,,S,53.0,6,1.0,ff71671a670eabdffc546a5f051a0134fd127a3648875e0609715b2f2cbf96f7
4,1,forced,1.0,S,65.0,6,,
4,2,forced,2.0,M,77.0,6,,
4,3,forced,2.0,M,52.0,6,,
4,4,forced,1.0,S,73.0,6,,
4,5,free,,M,57.0,6,2.0,287c42a8ffb13816bc5b52c129adae271d0ecb9826d2bb2db1bc8e4d262169cb
4,6,free,,M,62.0,6,2.0,4cd176f761735c1676f3da1e91882c59d79f26549a726d79035c47dcf62160f4
