participant_id,trial_index,ground_truth,nll,prob_step_1
72,1,20,2.65625,0.0703125
72,2,40,1.5078125,0.2216796875
72,3,30,3.125,0.0439453125
72,4,50,4.09375,0.0167236328125
72,5,20,1.734375,0.1767578125
72,6,40,1.90625,0.1484375
72,7,70,2.21875,0.10888671875
72,8,20,5.375,0.004638671875
72,9,20,6.40625,0.00164794921875
72,10,70,3.515625,0.02978515625
72,11,50,2.09375,0.123046875
72,12,40,1.484375,0.2265625
72,13,30,1.375,0.251953125
72,14,60,1.578125,0.2060546875
72,15,20,4.5625,0.01043701171875
72,16,30,1.9609375,0.140625
72,17,50,0.73046875,0.482421875
72,18,80,5.6875,0.003387451171875
72,19,40,1.9296875,0.1455078125
72,20,20,3.359375,0.03466796875
72,21,40,0.7578125,0.46875
72,22,70,3.4375,0.0322265625
72,23,90,1.2734375,0.279296875
72,24,20,3.625,0.026611328125
72,25,80,4.5625,0.01043701171875
72,26,70,4.15625,0.015625
72,27,80,4.125,0.01611328125
72,28,70,0.8671875,0.419921875
72,29,60,0.388671875,0.6796875
72,30,60,4.1875,0.01519775390625
72,31,60,2.625,0.072265625
72,32,30,0.400390625,0.671875
72,33,40,4.125,0.01611328125
72,34,50,0.16796875,0.84375
72,35,50,0.244140625,0.78515625
72,36,40,3.140625,0.043212890625
72,37,50,0.68359375,0.50390625
72,38,10,4.4375,0.0118408203125
72,39,40,0.39453125,0.67578125
72,40,60,3.25,0.038818359375
72,41,80,3.109375,0.044677734375
72,42,50,2.359375,0.09423828125
72,43,30,0.9609375,0.3828125
72,44,60,2.28125,0.10205078125
72,45,60,1.9765625,0.138671875
72,46,90,0.255859375,0.7734375
72,47,70,0.734375,0.48046875
72,48,60,2.6875,0.06787109375
72,49,30,0.5859375,0.5546875
72,50,90,5.46875,0.00421142578125
72,51,70,0.56640625,0.56640625
72,52,60,0.423828125,0.65625
72,53,50,0.30859375,0.734375
72,54,40,0.228515625,0.796875
72,55,30,0.1044921875,0.90234375
72,56,50,0.1123046875,0.89453125
72,57,50,0.03369140625,0.96875
72,58,50,0.08935546875,0.9140625
72,59,50,0.1494140625,0.859375
72,60,50,0.1513671875,0.859375
72,61,30,0.083984375,0.91796875
72,62,40,0.0286865234375,0.97265625
72,63,50,0.0712890625,0.9296875
72,64,50,4.28125,0.01385498046875
72,65,20,7.375,0.0006256103515625
72,66,10,5.5,0.00408935546875
72,67,30,4.03125,0.0177001953125
72,68,80,3.078125,0.046142578125
72,69,90,0.12060546875,0.88671875
72,70,70,0.337890625,0.71484375
72,71,50,0.37109375,0.69140625
72,72,70,3.9375,0.01953125
72,73,10,0.5,0.60546875
72,74,70,0.1904296875,0.828125
72,75,40,3.328125,0.035888671875
72,76,50,0.3828125,0.68359375
72,77,40,0.345703125,0.70703125
72,78,70,3.734375,0.02392578125
72,79,50,0.21484375,0.80859375
72,80,50,0.095703125,0.91015625
72,81,50,0.1201171875,0.88671875
72,82,50,0.1689453125,0.84375
72,83,50,0.162109375,0.8515625
72,84,30,0.2578125,0.7734375
72,85,30,4.34375,0.01300048828125
72,86,40,2.578125,0.07568359375
72,87,60,0.6953125,0.498046875
72,88,70,0.7890625,0.455078125
72,89,40,2.984375,0.050537109375
72,90,50,0.55859375,0.5703125
72,91,70,0.6796875,0.5078125
72,92,90,0.0859375,0.91796875
72,93,70,0.15234375,0.859375
72,94,50,0.302734375,0.73828125
72,95,30,0.380859375,0.68359375
72,96,10,0.09228515625,0.91015625
72,97,70,0.0888671875,0.9140625
72,98,60,0.224609375,0.80078125
72,99,50,0.0546875,0.9453125
72,100,40,0.0859375,0.91796875
72,101,30,0.091796875,0.9140625
72,102,50,0.01300048828125,0.98828125
72,103,50,0.0172119140625,0.984375
72,104,50,0.016357421875,0.984375
72,105,50,0.027587890625,0.97265625
72,106,50,0.0223388671875,0.9765625
72,107,30,0.0341796875,0.96484375
72,108,50,3.328125,0.035888671875
72,109,50,0.19921875,0.8203125
72,110,60,0.2275390625,0.796875
72,111,70,0.2177734375,0.8046875
72,112,30,0.2255859375,0.796875
72,113,50,0.06640625,0.9375
72,114,70,0.1240234375,0.8828125
72,115,90,0.0093994140625,0.9921875
72,116,70,0.05322265625,0.94921875
72,117,50,0.08056640625,0.921875
72,118,30,0.10888671875,0.8984375
72,119,10,0.019287109375,0.98046875
72,120,70,0.03076171875,0.96875
72,121,50,3.234375,0.039306640625
72,122,50,0.09521484375,0.91015625
72,123,40,0.2158203125,0.8046875
72,124,30,0.216796875,0.8046875
72,125,50,0.018798828125,0.98046875
72,126,50,0.0228271484375,0.9765625
72,127,50,0.0147705078125,0.984375
72,128,50,0.032958984375,0.96875
72,129,50,0.0196533203125,0.98046875
72,130,30,0.038818359375,0.9609375
72,131,40,0.2412109375,0.78515625
72,132,50,0.08203125,0.921875
72,133,60,0.10107421875,0.90234375
72,134,70,0.06298828125,0.9375
72,135,50,4.5625,0.01043701171875
72,136,50,0.095703125,0.91015625
72,137,70,0.142578125,0.8671875
72,138,90,0.0106201171875,0.98828125
