participant_id,trial_index,ground_truth,nll,prob_step_1
106,1,30,1.390625,0.2490234375
106,2,20,2.609375,0.07373046875
106,3,50,0.875,0.416015625
106,4,20,2.8125,0.06005859375
106,5,70,5.6875,0.003387451171875
106,6,30,6.5,0.00150299072265625
106,7,50,2.15625,0.11572265625
106,8,50,2.6875,0.06787109375
106,9,30,6.15625,0.0021209716796875
106,10,20,5.34375,0.004791259765625
106,11,80,2.5625,0.0771484375
106,12,20,5.09375,0.006134033203125
106,13,40,1.28125,0.27734375
106,14,60,3.625,0.026611328125
106,15,50,1.296875,0.2734375
106,16,50,4.125,0.01611328125
106,17,40,3.953125,0.0191650390625
106,18,60,1.9609375,0.140625
106,19,70,1.8046875,0.1640625
106,20,50,1.390625,0.2490234375
106,21,50,4.5,0.0111083984375
106,22,70,4.03125,0.0177001953125
106,23,30,1.9296875,0.1455078125
106,24,50,0.1591796875,0.8515625
106,25,60,1.796875,0.166015625
106,26,30,0.671875,0.51171875
106,27,40,1.078125,0.33984375
106,28,30,0.5859375,0.5546875
106,29,70,4.78125,0.00836181640625
106,30,70,1.921875,0.146484375
106,31,50,1.1796875,0.306640625
106,32,30,1.140625,0.3203125
106,33,30,1.984375,0.1376953125
106,34,50,0.0189208984375,0.98046875
106,35,50,0.0869140625,0.91796875
106,36,80,0.2470703125,0.78125
106,37,70,4.125,0.01611328125
106,38,40,2.828125,0.05908203125
106,39,50,0.037353515625,0.96484375
106,40,30,4.34375,0.01300048828125
106,41,60,2.390625,0.091796875
106,42,30,3.8125,0.0220947265625
106,43,20,0.400390625,0.671875
106,44,70,0.69921875,0.49609375
106,45,60,0.98046875,0.375
106,46,70,1.5390625,0.21484375
106,47,40,0.171875,0.84375
106,48,70,2.859375,0.057373046875
106,49,50,0.00787353515625,0.9921875
106,50,60,0.259765625,0.76953125
106,51,20,0.353515625,0.703125
106,52,50,0.034423828125,0.96484375
106,53,40,0.068359375,0.93359375
106,54,60,0.443359375,0.640625
106,55,30,0.1689453125,0.84375
106,56,40,4.03125,0.0177001953125
106,57,50,0.0042724609375,0.99609375
106,58,30,0.375,0.6875
106,59,40,0.302734375,0.73828125
106,60,60,0.412109375,0.6640625
106,61,50,0.007537841796875,0.9921875
106,62,70,5.9375,0.0026397705078125
106,63,30,2.46875,0.08447265625
106,64,40,4.1875,0.01519775390625
106,65,80,0.173828125,0.83984375
106,66,20,0.1669921875,0.84765625
106,67,70,0.365234375,0.6953125
106,68,70,1.0,0.3671875
106,69,50,0.057373046875,0.9453125
106,70,20,7.53125,0.000537872314453125
106,71,20,0.2255859375,0.796875
106,72,50,0.011474609375,0.98828125
106,73,30,0.302734375,0.73828125
106,74,60,0.2373046875,0.7890625
106,75,30,0.1572265625,0.85546875
106,76,80,0.150390625,0.859375
106,77,70,0.466796875,0.62890625
106,78,50,0.0118408203125,0.98828125
106,79,50,0.0133056640625,0.98828125
106,80,60,0.16796875,0.84375
106,81,40,2.859375,0.057373046875
106,82,40,0.130859375,0.87890625
106,83,20,0.126953125,0.87890625
106,84,80,0.2001953125,0.8203125
106,85,80,4.5625,0.01043701171875
106,86,40,0.291015625,0.74609375
106,87,30,2.375,0.0927734375
106,88,70,0.470703125,0.625
106,89,50,0.045166015625,0.95703125
106,90,70,0.2177734375,0.8046875
106,91,50,0.020751953125,0.98046875
106,92,60,0.2080078125,0.8125
106,93,40,0.173828125,0.83984375
106,94,30,2.59375,0.07470703125
106,95,70,0.2890625,0.75
