game,trial_index,horizon,ground_truth,model_predicted_char,nll,top2
1,5,6,H,H,2.859375,"[('It', 0.373046875), ('I', 0.2265625)]"
1,6,6,H,H,1.6796875,"[('I', 0.50390625), ('H', 0.1865234375)]"
1,7,6,H,H,0.310546875,"[('H', 0.734375), ('I', 0.14453125)]"
1,8,6,H,H,0.2080078125,"[('H', 0.8125), ('I', 0.09765625)]"
1,9,6,H,H,0.263671875,"[('H', 0.76953125), ('I', 0.091796875)]"
1,10,6,H,H,0.1923828125,"[('H', 0.82421875), ('I', 0.052978515625)]"
2,5,6,I,I,0.43359375,"[('I', 0.6484375), ('H', 0.306640625)]"
2,6,6,I,I,0.0284423828125,"[('I', 0.97265625), ('H', 0.0228271484375)]"
2,7,6,I,I,0.0079345703125,"[('I', 0.9921875), ('H', 0.005950927734375)]"
2,8,6,I,I,0.005767822265625,"[('I', 0.99609375), ('H', 0.0028076171875)]"
2,9,6,I,I,0.01361083984375,"[('I', 0.98828125), ('H', 0.00982666015625)]"
2,10,6,I,I,0.005889892578125,"[('I', 0.9921875), ('H', 0.0031890869140625)]"
3,5,1,H,H,0.0306396484375,"[('H', 0.96875), ('I', 0.029296875)]"
4,5,6,I,I,0.00506591796875,"[('I', 0.99609375), ('H', 0.00408935546875)]"
4,6,6,I,I,0.0004253387451171875,"[('I', 1.0), ('H', 0.0002307891845703125)]"
4,7,6,I,I,0.00035858154296875,"[('I', 1.0), ('H', 0.0001583099365234375)]"
4,8,6,I,I,0.000316619873046875,"[('I', 1.0), ('H', 0.00014019012451171875)]"
4,9,6,I,I,0.000537872314453125,"[('I', 1.0), ('H', 0.000179290771484375)]"
4,10,6,I,I,0.0009307861328125,"[('I', 1.0), ('H', 0.0003795623779296875)]"
5,5,1,H,H,0.828125,"[('I', 0.5625), ('H', 0.4375)]"
6,5,1,I,I,0.6953125,"[('I', 0.498046875), ('H', 0.498046875)]"
7,5,6,H,H,0.0306396484375,"[('H', 0.96875), ('I', 0.029296875)]"
7,6,6,H,H,0.006988525390625,"[('H', 0.9921875), ('I', 0.006744384765625)]"
7,7,6,H,H,0.0115966796875,"[('H', 0.98828125), ('I', 0.0111083984375)]"
7,8,6,H,H,0.0019378662109375,"[('H', 1.0), ('I', 0.00170135498046875)]"
7,9,6,H,H,0.0010833740234375,"[('H', 1.0), ('I', 0.000911712646484375)]"
7,10,6,H,H,0.0025177001953125,"[('H', 0.99609375), ('I', 0.0021820068359375)]"
8,5,1,I,I,0.314453125,"[('I', 0.73046875), ('H', 0.26953125)]"
9,5,1,H,H,0.126953125,"[('H', 0.87890625), ('I', 0.11962890625)]"
10,5,6,H,H,3.046875,"[('I', 0.953125), ('H', 0.047607421875)]"
10,6,6,I,I,0.6953125,"[('I', 0.498046875), ('H', 0.498046875)]"
10,7,6,H,H,2.125,"[('I', 0.87890625), ('H', 0.11962890625)]"
10,8,6,H,H,0.16015625,"[('H', 0.8515625), ('I', 0.1474609375)]"
10,9,6,I,I,1.6015625,"[('H', 0.796875), ('I', 0.201171875)]"
10,10,6,I,I,0.2255859375,"[('I', 0.796875), ('H', 0.201171875)]"
11,5,1,I,I,0.0206298828125,"[('I', 0.98046875), ('H', 0.0203857421875)]"
