participant_id,trial_index,ground_truth,step,prefix,gt_prob,distribution
72,1,20,1,start,0.1669921875,"[('30', 0.29296875), ('20', 0.1669921875), ('50', 0.1474609375), ('10', 0.10205078125), ('90', 0.08447265625), ('40', 0.0703125), ('60', 0.06591796875), ('70', 0.0546875), ('80', 0.01611328125)]"
72,2,40,1,start,0.275390625,"[('30', 0.66015625), ('40', 0.275390625), ('50', 0.0419921875), ('60', 0.00836181640625), ('10', 0.00653076171875), ('70', 0.00396728515625), ('20', 0.002716064453125), ('90', 0.00164794921875), ('80', 0.000885009765625)]"
72,3,30,1,start,0.005096435546875,"[('60', 0.66796875), ('50', 0.314453125), ('70', 0.00836181640625), ('30', 0.005096435546875), ('40', 0.0023956298828125), ('80', 0.00128936767578125), ('10', 0.000537872314453125), ('90', 0.0004730224609375), ('20', 0.00014019012451171875)]"
72,4,50,1,start,0.53125,"[('50', 0.53125), ('60', 0.25), ('10', 0.0712890625), ('70', 0.049072265625), ('80', 0.049072265625), ('90', 0.03369140625), ('20', 0.00982666015625), ('40', 0.00408935546875), ('30', 0.00102996826171875)]"
72,5,20,1,start,0.06298828125,"[('10', 0.408203125), ('60', 0.28125), ('40', 0.0712890625), ('70', 0.0712890625), ('20', 0.06298828125), ('30', 0.0380859375), ('80', 0.03369140625), ('90', 0.0177001953125), ('50', 0.01385498046875)]"
72,6,40,1,start,0.431640625,"[('40', 0.431640625), ('30', 0.26171875), ('60', 0.1396484375), ('10', 0.08447265625), ('50', 0.0400390625), ('70', 0.0213623046875), ('80', 0.0101318359375), ('20', 0.006134033203125), ('90', 0.00372314453125)]"
72,7,70,1,start,0.0177001953125,"[('60', 0.765625), ('30', 0.091796875), ('50', 0.06298828125), ('10', 0.0380859375), ('70', 0.0177001953125), ('80', 0.0107421875), ('20', 0.005096435546875), ('40', 0.004486083984375), ('90', 0.004486083984375)]"
72,8,20,1,start,0.015625,"[('60', 0.52734375), ('50', 0.11767578125), ('30', 0.10400390625), ('80', 0.10400390625), ('10', 0.0712890625), ('90', 0.0380859375), ('40', 0.0203857421875), ('20', 0.015625), ('70', 0.0023956298828125)]"
72,9,20,1,start,0.000804901123046875,"[('60', 0.365234375), ('80', 0.1728515625), ('10', 0.11962890625), ('50', 0.10546875), ('30', 0.0927734375), ('90', 0.0927734375), ('40', 0.0439453125), ('70', 0.00762939453125), ('20', 0.000804901123046875)]"
72,10,70,1,start,0.029296875,"[('30', 0.21484375), ('60', 0.21484375), ('10', 0.189453125), ('40', 0.130859375), ('50', 0.10205078125), ('80', 0.06201171875), ('90', 0.04248046875), ('70', 0.029296875), ('20', 0.01385498046875)]"
