participant_id,trial_index,ground_truth,nll,prob_step_1,prob_step_2,prob_step_3
175,1,high,3.296875,0.037109375,,
175,2,normal,0.2021484375,0.81640625,,
175,3,very high,0.2374277114868164,0.7890625,1.0,
175,4,somewhat high,6.9638671875,0.00102996826171875,1.0,0.9140625
175,5,normal,5.21875,0.005401611328125,,
175,6,somewhat low,0.4578857421875,0.6484375,1.0,0.97265625
175,7,high,0.359375,0.69921875,,
175,8,normal,1.65625,0.1904296875,,
175,9,normal,5.5,0.00408935546875,,
175,10,low,1.8125,0.1630859375,,
175,11,somewhat low,3.3203125,0.53125,1.0,0.06787109375
175,12,very high,3.2980422973632812,0.037109375,1.0,
175,13,very low,1.2343851327896118,0.291015625,1.0,
175,14,high,5.71875,0.0032806396484375,,
175,15,very low,4.765625,0.0712890625,0.11962890625,
175,16,low,6.5625,0.00141143798828125,,
175,17,low,10.875,1.895427703857422e-05,,
175,18,low,5.59375,0.00372314453125,,
175,19,normal,2.796875,0.06103515625,,
175,20,normal,3.546875,0.02880859375,,
175,21,extremely low,3.265665054321289,0.0380859375,1.0,1.0
175,22,extremely high,0.73095703125,0.482421875,1.0,1.0
175,23,normal,3.515625,0.02978515625,,
175,24,low,4.25,0.0142822265625,,
175,25,normal,1.6328125,0.1953125,,
175,26,normal,1.4453125,0.2353515625,,
175,27,very low,1.117238998413086,0.328125,1.0,
175,28,somewhat high,1.76171875,0.4921875,1.0,0.34765625
175,29,normal,3.171875,0.0419921875,,
175,30,normal,2.828125,0.05908203125,,
175,31,normal,0.0390625,0.9609375,,
175,32,low,3.84375,0.0213623046875,,
175,33,high,0.953125,0.384765625,,
175,34,extremely low,1.5000243186950684,0.22265625,1.0,1.0
175,35,normal,3.765625,0.023193359375,,
175,36,low,3.28125,0.03759765625,,
175,37,extremely high,2.84423828125,0.05810546875,1.0,1.0
175,38,high,10.6875,2.276897430419922e-05,,
175,39,low,2.25,0.10546875,,
175,40,normal,0.82421875,0.439453125,,
175,41,normal,3.96875,0.0189208984375,,
175,42,low,6.3125,0.0018157958984375,,
175,43,somewhat high,2.37890625,0.130859375,1.0,0.70703125
175,44,low,3.5625,0.0283203125,,
175,45,normal,1.90625,0.1484375,,
175,46,very high,1.16259765625,0.322265625,0.96875,
175,47,extremely high,0.42844390869140625,0.65234375,1.0,1.0
175,48,low,2.140625,0.11767578125,,
175,49,normal,0.1533203125,0.859375,,
175,50,somewhat high,3.50732421875,0.0322265625,1.0,0.93359375
175,51,normal,0.337890625,0.71484375,,
175,52,normal,1.0859375,0.337890625,,
175,53,high,8.25,0.0002613067626953125,,
175,54,normal,0.9921875,0.37109375,,
