participant_id,trial_index,ground_truth,step,prefix,gt_prob,distribution
159,1,normal,1,start,9.632110595703125e-05,"[('som', 0.8046875), ('low', 0.10888671875), ('very', 0.0703125), ('high', 0.01385498046875), ('ext', 0.00299072265625), ('normal', 9.632110595703125e-05)]"
159,2,high,1,start,0.0002307891845703125,"[('som', 0.87109375), ('low', 0.091796875), ('very', 0.0262451171875), ('ext', 0.00982666015625), ('normal', 0.0002613067626953125), ('high', 0.0002307891845703125)]"
159,3,high,1,start,0.0172119140625,"[('very', 0.63671875), ('ext', 0.2333984375), ('som', 0.1103515625), ('high', 0.0172119140625), ('low', 0.00096893310546875), ('normal', 0.0002460479736328125)]"
159,4,normal,1,start,0.01385498046875,"[('som', 0.765625), ('low', 0.1513671875), ('very', 0.055419921875), ('normal', 0.01385498046875), ('ext', 0.009521484375), ('high', 0.005767822265625)]"
159,5,normal,1,start,0.038818359375,"[('som', 0.87890625), ('normal', 0.038818359375), ('high', 0.0301513671875), ('very', 0.026611328125), ('low', 0.0235595703125), ('ext', 0.00102996826171875)]"
159,6,very low,1,start,0.515625,"[('very', 0.515625), ('som', 0.314453125), ('high', 0.1484375), ('ext', 0.015625), ('normal', 0.0023956298828125), ('low', 0.0023956298828125)]"
159,6,very low,2,['very'],0.00408935546875,"[('Ġhigh', 0.99609375), ('Ġlow', 0.00408935546875)]"
159,7,high,1,start,0.09033203125,"[('ext', 0.45703125), ('very', 0.314453125), ('som', 0.130859375), ('high', 0.09033203125), ('low', 0.005767822265625), ('normal', 0.00128936767578125)]"
159,8,low,1,start,0.2412109375,"[('som', 0.578125), ('low', 0.2412109375), ('normal', 0.146484375), ('very', 0.02880859375), ('ext', 0.006317138671875), ('high', 0.0020599365234375)]"
159,9,normal,1,start,0.0185546875,"[('som', 0.61328125), ('low', 0.2265625), ('very', 0.12109375), ('normal', 0.0185546875), ('ext', 0.0185546875), ('high', 0.00020313262939453125)]"
159,10,normal,1,start,0.212890625,"[('som', 0.58203125), ('normal', 0.212890625), ('low', 0.12890625), ('high', 0.0419921875), ('very', 0.03271484375), ('ext', 0.0007781982421875)]"
159,11,normal,1,start,0.00124359130859375,"[('very', 0.640625), ('som', 0.18359375), ('high', 0.126953125), ('ext', 0.046875), ('normal', 0.00124359130859375), ('low', 0.0002460479736328125)]"
159,12,normal,1,start,0.5546875,"[('normal', 0.5546875), ('som', 0.380859375), ('high', 0.0274658203125), ('very', 0.0242919921875), ('low', 0.00787353515625), ('ext', 0.0032806396484375)]"
159,13,extremely low,1,start,0.07373046875,"[('som', 0.42578125), ('very', 0.259765625), ('high', 0.1572265625), ('ext', 0.07373046875), ('normal', 0.044677734375), ('low', 0.039306640625)]"
159,13,extremely low,2,['ext'],1.0,"[('remely', 1.0)]"
159,13,extremely low,3,"['ext', 'remely']",0.11962890625,"[('Ġhigh', 0.87890625), ('Ġlow', 0.11962890625)]"
159,14,very high,1,start,0.28125,"[('som', 0.41015625), ('very', 0.28125), ('high', 0.11767578125), ('low', 0.091796875), ('normal', 0.06298828125), ('ext', 0.03369140625)]"
159,14,very high,2,['very'],0.6796875,"[('Ġhigh', 0.6796875), ('Ġlow', 0.3203125)]"
159,15,low,1,start,0.21484375,"[('som', 0.3984375), ('very', 0.21484375), ('low', 0.21484375), ('ext', 0.078125), ('high', 0.06103515625), ('normal', 0.03271484375)]"
159,16,low,1,start,0.091796875,"[('som', 0.52734375), ('normal', 0.2216796875), ('very', 0.10400390625), ('low', 0.091796875), ('high', 0.0380859375), ('ext', 0.0142822265625)]"
159,17,low,1,start,0.0537109375,"[('som', 0.44921875), ('very', 0.396484375), ('ext', 0.078125), ('low', 0.0537109375), ('high', 0.01519775390625), ('normal', 0.006317138671875)]"
159,18,somewhat low,1,start,0.5703125,"[('som', 0.5703125), ('very', 0.1630859375), ('normal', 0.126953125), ('low', 0.09912109375), ('ext', 0.036376953125), ('high', 0.00141143798828125)]"
159,18,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
159,18,somewhat low,3,"['som', 'ewhat']",0.81640625,"[('Ġlow', 0.81640625), ('Ġhigh', 0.181640625)]"
159,19,normal,1,start,0.10693359375,"[('som', 0.37109375), ('high', 0.25390625), ('very', 0.224609375), ('normal', 0.10693359375), ('low', 0.03466796875), ('ext', 0.00762939453125)]"
159,20,extremely low,1,start,0.154296875,"[('very', 0.41796875), ('high', 0.224609375), ('ext', 0.154296875), ('som', 0.154296875), ('normal', 0.0439453125), ('low', 0.0052490234375)]"
159,20,extremely low,2,['ext'],1.0,"[('remely', 1.0)]"
