trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash
1,U,2,C,U,1,1,3014f7efdde42dd6f66207161ae2273c49f61429209f78c193a6dc6e887b28df
2,U,2,C,U,0,1,72c74703cbde5254327e99cd025aef76c27e058ed49d7d67c8a48dc2e4675f27
3,U,2,C,U,0,1,c0276fb2e686223de4470f7d5cb2c5bd3d2a2aea90ed01fac416360257d142d8
4,U,2,C,U,1,2,b4ef11e16eac9e21f77d3706698b8d56431887632fc32f4cef9f90ec13cf5867
5,U,2,C,U,1,3,8cbf3870a14850194606dc1b8b3e9e3cfb5df040133343f0a2c417ad87669287
6,U,2,C,U,0,3,91932e79604d2baff23989ebc5c7893701006918a3ca09608a1583aa7bab65db
7,U,2,C,U,1,4,3e876c6f714390d0c8b49a7e94bb39b6e3615ecf99fbd137ae2bc494e60e7e05
8,U,2,C,U,0,4,322c02f63d0396cedbfd34fcf7c9af7d49b4dea67eac19d138ffdff88c1e2d04
9,U,2,C,U,0,4,51ae3a2a0b91d7c30820e69c2aebffc0c135073536a96c994a1b13a3d9287f5a
10,U,2,C,U,1,5,ab583947170cdded4b3e7f581cb2ccae782c634b554b12eeb13544605730fa61
11,U,2,C,U,1,6,db0af3c53949a7eb6b34b74223bdcc4570b0fbb693e1aad0a3b4af8f38859595
12,U,2,C,U,1,7,84d5fef1fdc5eaa5eaae4b1e2351bb72f8a980c211c4c7722eda8a9458d52954
13,U,2,C,U,0,7,7cf5ceb4b503beb32cfa82e0bf6478030e66d6a58af86f765f0f4c36703db5d9
14,U,2,C,U,0,7,0b473c6f68eb829abd7bc82c4629c9252f8d44cf244db951b1010dfc31993911
15,U,2,C,U,1,8,1eb6f1cbd54e23e94a3267537e42a24fb62e80d068861f0231c84022807b9a86
16,U,2,C,U,0,8,79d3109c437cb2a630d5c38dd6f56b508ec3f3218e1f969aab7017b5c0784978
17,U,2,C,U,0,8,7f0fbc29e667a378ab229b1eddf02e1cfe1da4206311757d6aeebab16bad2bb4
18,U,2,C,U,0,8,681c3537d6c8636144887436455a179db21a3eafed01d7d645897ae9f1b83d21
19,U,2,C,U,0,8,3f920ab0b07cc3c894dd399c5b4b2e86ac151fab2eb625aa2073544e233cf54c
20,U,2,C,U,0,8,add47f34678182d2decd72405960a95511399fc8ba18a06906117091c2d94e8b
