participant_id,trial_index,ground_truth,step,prefix,gt_prob,distribution
260,1,30,1,start,0.15234375,"[('50', 0.322265625), ('40', 0.1953125), ('30', 0.15234375), ('60', 0.15234375), ('70', 0.0712890625), ('20', 0.06298828125), ('80', 0.0203857421875), ('10', 0.01611328125), ('90', 0.00762939453125)]"
260,2,70,1,start,0.1611328125,"[('50', 0.265625), ('60', 0.265625), ('70', 0.1611328125), ('40', 0.125), ('30', 0.07568359375), ('80', 0.05908203125), ('20', 0.0279541015625), ('90', 0.013427734375), ('10', 0.00494384765625)]"
260,3,60,1,start,0.1396484375,"[('70', 0.23046875), ('80', 0.23046875), ('90', 0.1796875), ('60', 0.1396484375), ('50', 0.10888671875), ('40', 0.05126953125), ('30', 0.0311279296875), ('20', 0.0189208984375), ('10', 0.0069580078125)]"
260,4,40,1,start,0.1728515625,"[('40', 0.1728515625), ('50', 0.1728515625), ('60', 0.1728515625), ('70', 0.1728515625), ('30', 0.1328125), ('80', 0.0810546875), ('20', 0.06298828125), ('90', 0.018310546875), ('10', 0.0142822265625)]"
260,5,40,1,start,0.04052734375,"[('50', 0.3828125), ('60', 0.232421875), ('70', 0.232421875), ('80', 0.06689453125), ('40', 0.04052734375), ('90', 0.024658203125), ('30', 0.01470947265625), ('20', 0.005401611328125), ('10', 0.00154876708984375)]"
260,6,60,1,start,0.259765625,"[('50', 0.33203125), ('60', 0.259765625), ('40', 0.1572265625), ('70', 0.123046875), ('30', 0.07470703125), ('80', 0.035400390625), ('20', 0.01300048828125), ('90', 0.006134033203125), ('10', 0.00136566162109375)]"
260,7,30,1,start,0.162109375,"[('40', 0.2080078125), ('50', 0.2080078125), ('30', 0.162109375), ('60', 0.162109375), ('70', 0.125), ('20', 0.07568359375), ('80', 0.046142578125), ('10', 0.00811767578125), ('90', 0.006317138671875)]"
260,8,50,1,start,0.322265625,"[('50', 0.322265625), ('60', 0.322265625), ('40', 0.15234375), ('70', 0.11962890625), ('30', 0.056396484375), ('80', 0.01611328125), ('20', 0.00982666015625), ('90', 0.00170135498046875), ('10', 0.000804901123046875)]"
260,9,40,1,start,0.2158203125,"[('30', 0.45703125), ('20', 0.2158203125), ('40', 0.2158203125), ('50', 0.06201171875), ('60', 0.0228271484375), ('10', 0.01385498046875), ('70', 0.00836181640625), ('80', 0.00145721435546875), ('90', 0.0002613067626953125)]"
260,10,10,1,start,0.047607421875,"[('50', 0.271484375), ('30', 0.2109375), ('40', 0.1640625), ('20', 0.12890625), ('60', 0.1005859375), ('70', 0.06103515625), ('10', 0.047607421875), ('80', 0.013427734375), ('90', 0.00299072265625)]"
