participant_id,trial_index,ground_truth,step,prefix,gt_prob,distribution
11,1,somewhat high,1,start,0.22265625,"[('very', 0.251953125), ('som', 0.22265625), ('low', 0.22265625), ('normal', 0.1357421875), ('ext', 0.10546875), ('high', 0.056396484375)]"
11,1,somewhat high,2,['som'],1.0,"[('ewhat', 1.0)]"
11,1,somewhat high,3,"['som', 'ewhat']",0.2451171875,"[('Ġlow', 0.75390625), ('Ġhigh', 0.2451171875)]"
11,2,somewhat high,1,start,0.2734375,"[('som', 0.2734375), ('normal', 0.212890625), ('high', 0.1875), ('very', 0.166015625), ('low', 0.1005859375), ('ext', 0.06103515625)]"
11,2,somewhat high,2,['som'],1.0,"[('ewhat', 1.0)]"
11,2,somewhat high,3,"['som', 'ewhat']",0.59375,"[('Ġhigh', 0.59375), ('Ġlow', 0.40625)]"
11,3,very low,1,start,0.10546875,"[('som', 0.419921875), ('normal', 0.224609375), ('high', 0.13671875), ('very', 0.10546875), ('low', 0.08203125), ('ext', 0.0301513671875)]"
11,3,very low,2,['very'],0.3203125,"[('Ġhigh', 0.6796875), ('Ġlow', 0.3203125)]"
11,4,somewhat low,1,start,0.232421875,"[('very', 0.337890625), ('som', 0.232421875), ('low', 0.1806640625), ('ext', 0.09765625), ('normal', 0.07568359375), ('high', 0.07568359375)]"
11,4,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
11,4,somewhat low,3,"['som', 'ewhat']",0.70703125,"[('Ġlow', 0.70703125), ('Ġhigh', 0.29296875)]"
11,5,very low,1,start,0.181640625,"[('som', 0.33984375), ('very', 0.181640625), ('normal', 0.1611328125), ('high', 0.1611328125), ('low', 0.0859375), ('ext', 0.06689453125)]"
11,5,very low,2,['very'],0.3203125,"[('Ġhigh', 0.6796875), ('Ġlow', 0.3203125)]"
11,6,high,1,start,0.1474609375,"[('normal', 0.3125), ('som', 0.2431640625), ('very', 0.1669921875), ('high', 0.1474609375), ('low', 0.0693359375), ('ext', 0.06103515625)]"
11,7,normal,1,start,0.255859375,"[('som', 0.330078125), ('normal', 0.255859375), ('very', 0.15625), ('high', 0.12109375), ('low', 0.09423828125), ('ext', 0.039306640625)]"
11,8,high,1,start,0.0712890625,"[('som', 0.4140625), ('normal', 0.1728515625), ('very', 0.15234375), ('low', 0.15234375), ('high', 0.0712890625), ('ext', 0.0380859375)]"
11,9,normal,1,start,0.09033203125,"[('som', 0.3125), ('very', 0.2431640625), ('low', 0.1474609375), ('high', 0.11572265625), ('normal', 0.09033203125), ('ext', 0.09033203125)]"
11,10,somewhat low,1,start,0.263671875,"[('som', 0.263671875), ('normal', 0.232421875), ('very', 0.1806640625), ('high', 0.1806640625), ('low', 0.09765625), ('ext', 0.046142578125)]"
11,10,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
11,10,somewhat low,3,"['som', 'ewhat']",0.439453125,"[('Ġhigh', 0.5625), ('Ġlow', 0.439453125)]"
11,11,normal,1,start,0.458984375,"[('normal', 0.458984375), ('som', 0.279296875), ('high', 0.11572265625), ('very', 0.0703125), ('low', 0.06201171875), ('ext', 0.01220703125)]"
11,12,normal,1,start,0.66796875,"[('normal', 0.66796875), ('som', 0.11572265625), ('high', 0.10205078125), ('very', 0.06201171875), ('ext', 0.029296875), ('low', 0.0201416015625)]"
11,13,somewhat high,1,start,0.251953125,"[('normal', 0.53515625), ('som', 0.251953125), ('high', 0.10546875), ('very', 0.056396484375), ('low', 0.0439453125), ('ext', 0.00762939453125)]"
11,13,somewhat high,2,['som'],1.0,"[('ewhat', 1.0)]"
11,13,somewhat high,3,"['som', 'ewhat']",0.5,"[('Ġhigh', 0.5), ('Ġlow', 0.5)]"
11,14,normal,1,start,0.267578125,"[('som', 0.34375), ('normal', 0.267578125), ('high', 0.2080078125), ('very', 0.1123046875), ('low', 0.06005859375), ('ext', 0.01043701171875)]"
