game,trial_index,horizon,ground_truth,model_predicted_char,nll,top2
1,5,6,H,H,1.4375,"[('I', 0.392578125), ('H', 0.2373046875)]"
1,6,6,H,H,1.6953125,"[('I', 0.390625), ('H', 0.18359375)]"
1,7,6,H,H,0.5546875,"[('H', 0.57421875), ('I', 0.1455078125)]"
1,8,6,H,H,0.302734375,"[('H', 0.73828125), ('I', 0.0888671875)]"
1,9,6,H,H,0.416015625,"[('H', 0.66015625), ('I', 0.11376953125)]"
1,10,6,H,H,0.26953125,"[('H', 0.765625), ('I', 0.0712890625)]"
2,5,6,I,I,0.66015625,"[('I', 0.515625), ('H', 0.455078125)]"
2,6,6,I,I,0.10009765625,"[('I', 0.90625), ('H', 0.07470703125)]"
2,7,6,I,I,0.0235595703125,"[('I', 0.9765625), ('H', 0.015625)]"
2,8,6,I,I,0.0234375,"[('I', 0.9765625), ('H', 0.0107421875)]"
2,9,6,I,I,0.03271484375,"[('I', 0.96875), ('H', 0.0228271484375)]"
2,10,6,I,I,0.01434326171875,"[('I', 0.984375), ('H', 0.00762939453125)]"
3,5,1,H,H,0.018798828125,"[('H', 0.98046875), ('I', 0.0177001953125)]"
4,5,6,I,I,0.003448486328125,"[('I', 0.99609375), ('H', 0.002471923828125)]"
4,6,6,I,I,0.000823974609375,"[('I', 1.0), ('H', 0.000431060791015625)]"
4,7,6,I,I,0.00075531005859375,"[('I', 1.0), ('H', 0.000335693359375)]"
4,8,6,I,I,0.000804901123046875,"[('I', 1.0), ('H', 0.0003795623779296875)]"
4,9,6,I,I,0.0009307861328125,"[('I', 1.0), ('H', 0.0003795623779296875)]"
4,10,6,I,I,0.001983642578125,"[('I', 0.99609375), ('H', 0.000911712646484375)]"
5,5,1,H,H,0.828125,"[('I', 0.5625), ('H', 0.4375)]"
6,5,1,I,I,0.828125,"[('H', 0.5625), ('I', 0.4375)]"
7,5,6,H,H,0.07177734375,"[('H', 0.9296875), ('I', 0.06689453125)]"
7,6,6,H,H,0.0184326171875,"[('H', 0.98046875), ('I', 0.0177001953125)]"
7,7,6,H,H,0.0267333984375,"[('H', 0.97265625), ('I', 0.02587890625)]"
7,8,6,H,H,0.004364013671875,"[('H', 0.99609375), ('I', 0.00408935546875)]"
7,9,6,H,H,0.0027313232421875,"[('H', 0.99609375), ('I', 0.002471923828125)]"
7,10,6,H,H,0.007110595703125,"[('H', 0.9921875), ('I', 0.006744384765625)]"
8,5,1,I,I,0.314453125,"[('I', 0.73046875), ('H', 0.26953125)]"
9,5,1,H,H,0.06201171875,"[('H', 0.94140625), ('I', 0.06005859375)]"
10,5,6,H,H,1.6015625,"[('I', 0.796875), ('H', 0.201171875)]"
10,6,6,I,I,1.5,"[('H', 0.77734375), ('I', 0.22265625)]"
10,7,6,H,H,1.6015625,"[('I', 0.796875), ('H', 0.201171875)]"
10,8,6,H,H,0.201171875,"[('H', 0.81640625), ('I', 0.181640625)]"
10,9,6,I,I,1.6015625,"[('H', 0.796875), ('I', 0.201171875)]"
10,10,6,I,I,0.349609375,"[('I', 0.703125), ('H', 0.29296875)]"
11,5,1,I,I,0.01611328125,"[('I', 0.984375), ('H', 0.015625)]"
12,5,6,H,H,0.6328125,"[('H', 0.53125), ('I', 0.46875)]"
12,6,6,H,H,0.126953125,"[('H', 0.87890625), ('I', 0.11962890625)]"
12,7,6,H,H,0.02978515625,"[('H', 0.96875), ('I', 0.029296875)]"
12,8,6,H,H,0.0380859375,"[('H', 0.9609375), ('I', 0.03759765625)]"
12,9,6,I,I,2.125,"[('H', 0.87890625), ('I', 0.11962890625)]"
12,10,6,H,H,1.0546875,"[('I', 0.65234375), ('H', 0.34765625)]"
13,5,1,I,I,0.0002841949462890625,"[('I', 1.0), ('H', 0.0002613067626953125)]"
14,5,6,H,H,0.005950927734375,"[('H', 0.9921875), ('I', 0.005950927734375)]"
14,6,6,H,H,0.000812530517578125,"[('H', 1.0), ('I', 0.000804901123046875)]"
14,7,6,I,I,4.625,"[('H', 0.9921875), ('I', 0.00982666015625)]"
14,8,6,H,H,1.40625,"[('I', 0.75390625), ('H', 0.2451171875)]"
14,9,6,I,I,1.40625,"[('H', 0.75390625), ('I', 0.2451171875)]"
14,10,6,I,I,0.34765625,"[('I', 0.70703125), ('H', 0.29296875)]"
15,5,1,I,I,0.5234375,"[('I', 0.59375), ('H', 0.40625)]"
