game,trial_index,horizon,ground_truth,model_predicted_char,nll,top2
1,5,1,I,I,0.451171875,"[('I', 0.63671875), ('H', 0.1103515625)]"
2,5,6,H,H,2.375,"[('I', 0.87890625), ('H', 0.0927734375)]"
2,6,6,I,I,0.150390625,"[('I', 0.859375), ('H', 0.033203125)]"
2,7,6,I,I,0.6953125,"[('I', 0.498046875), ('H', 0.2080078125)]"
2,8,6,I,I,0.578125,"[('I', 0.5625), ('H', 0.1611328125)]"
2,9,6,I,I,0.375,"[('I', 0.6875), ('H', 0.10546875)]"
2,10,6,H,H,1.6953125,"[('I', 0.72265625), ('H', 0.18359375)]"
3,5,6,H,H,0.43359375,"[('H', 0.6484375), ('I', 0.34765625)]"
3,6,6,H,H,0.69921875,"[('I', 0.49609375), ('H', 0.49609375)]"
3,7,6,H,H,0.2578125,"[('H', 0.7734375), ('I', 0.2216796875)]"
3,8,6,H,H,0.11865234375,"[('H', 0.88671875), ('I', 0.10546875)]"
3,9,6,H,H,0.08349609375,"[('H', 0.91796875), ('I', 0.07568359375)]"
3,10,6,H,H,0.0595703125,"[('H', 0.94140625), ('I', 0.052978515625)]"
4,5,6,H,H,0.9765625,"[('I', 0.62109375), ('H', 0.376953125)]"
4,6,6,H,H,0.8984375,"[('I', 0.59375), ('H', 0.40625)]"
4,7,6,H,H,0.28125,"[('H', 0.75390625), ('I', 0.2451171875)]"
4,8,6,H,H,0.2021484375,"[('H', 0.81640625), ('I', 0.181640625)]"
4,9,6,I,I,2.234375,"[('H', 0.89453125), ('I', 0.10693359375)]"
4,10,6,H,H,0.9765625,"[('I', 0.62109375), ('H', 0.376953125)]"
5,5,6,I,I,0.1435546875,"[('I', 0.8671875), ('H', 0.1328125)]"
5,6,6,H,H,2.578125,"[('I', 0.921875), ('H', 0.07568359375)]"
5,7,6,I,I,0.1435546875,"[('I', 0.8671875), ('H', 0.1328125)]"
5,8,6,I,I,0.0235595703125,"[('I', 0.9765625), ('H', 0.0228271484375)]"
5,9,6,I,I,0.033935546875,"[('I', 0.96484375), ('H', 0.033203125)]"
5,10,6,H,H,3.28125,"[('I', 0.9609375), ('H', 0.03759765625)]"
6,5,6,I,I,0.8984375,"[('H', 0.59375), ('I', 0.40625)]"
6,6,6,I,I,0.578125,"[('I', 0.5625), ('H', 0.4375)]"
6,7,6,H,H,1.5,"[('I', 0.77734375), ('H', 0.22265625)]"
6,8,6,I,I,0.97265625,"[('H', 0.62109375), ('I', 0.37890625)]"
6,9,6,I,I,0.5234375,"[('I', 0.59375), ('H', 0.40625)]"
6,10,6,H,H,0.6328125,"[('H', 0.53125), ('I', 0.46875)]"
7,5,1,I,I,1.0546875,"[('H', 0.65234375), ('I', 0.34765625)]"
8,5,1,H,H,3.53125,"[('I', 0.96875), ('H', 0.029296875)]"
9,5,6,I,I,1.5,"[('H', 0.77734375), ('I', 0.22265625)]"
9,6,6,H,H,0.2021484375,"[('H', 0.81640625), ('I', 0.181640625)]"
