participant_id,trial_index,ground_truth,nll,top2
152,1,W,0.11282224208116531,"[('W', 0.893309473991394), ('G', 0.10669059306383133)]"
152,2,W,0.22541262209415436,"[('W', 0.7981867790222168), ('G', 0.2018132209777832)]"
152,3,W,4.141034126281738,"[('G', 0.9840936064720154), ('W', 0.01590639352798462)]"
152,4,W,5.37962007522583,"[('G', 0.9953904151916504), ('W', 0.004609572701156139)]"
152,5,W,4.387509346008301,"[('G', 0.9875683188438416), ('W', 0.012431653216481209)]"
152,6,W,0.6325989961624146,"[('W', 0.531209409236908), ('G', 0.4687906503677368)]"
152,7,W,0.42870065569877625,"[('W', 0.6513548493385315), ('G', 0.3486451208591461)]"
152,8,W,2.3502066135406494,"[('G', 0.9046505093574524), ('W', 0.09534946084022522)]"
152,9,W,2.3502066135406494,"[('G', 0.9046505093574524), ('W', 0.09534946084022522)]"
152,10,W,2.2378222942352295,"[('G', 0.893309473991394), ('W', 0.10669059306383133)]"
152,11,W,2.1269280910491943,"[('G', 0.8807970285415649), ('W', 0.11920291185379028)]"
152,12,W,1.6004126071929932,"[('G', 0.7981867790222168), ('W', 0.2018132209777832)]"
152,13,W,1.5019290447235107,"[('G', 0.7772998809814453), ('W', 0.22270016372203827)]"
152,14,W,0.575939416885376,"[('W', 0.562176525592804), ('G', 0.43782350420951843)]"
152,15,W,1.2234445810317993,"[('G', 0.7057850360870361), ('W', 0.29421499371528625)]"
152,16,W,0.825939416885376,"[('G', 0.562176525592804), ('W', 0.43782350420951843)]"
152,17,W,0.825939416885376,"[('G', 0.562176525592804), ('W', 0.43782350420951843)]"
152,18,W,0.7575989961624146,"[('G', 0.531209409236908), ('W', 0.4687906503677368)]"
152,19,W,0.6931471824645996,"[('W', 0.5), ('G', 0.5)]"
152,20,W,0.7575989961624146,"[('G', 0.531209409236908), ('W', 0.4687906503677368)]"
152,21,W,0.3484445810317993,"[('W', 0.7057850360870361), ('G', 0.29421499371528625)]"
152,22,W,0.6325989961624146,"[('W', 0.531209409236908), ('G', 0.4687906503677368)]"
152,23,W,0.5231232643127441,"[('W', 0.5926665663719177), ('G', 0.4073334038257599)]"
152,24,W,0.2014133334159851,"[('W', 0.8175744414329529), ('G', 0.18242549896240234)]"
152,25,W,0.42870065569877625,"[('W', 0.6513548493385315), ('G', 0.3486451208591461)]"
152,26,W,0.4740769863128662,"[('W', 0.622459352016449), ('G', 0.3775406777858734)]"
152,27,W,0.42870065569877625,"[('W', 0.6513548493385315), ('G', 0.3486451208591461)]"
152,28,W,0.14267508685588837,"[('W', 0.8670357465744019), ('G', 0.13296423852443695)]"
152,29,W,0.38687101006507874,"[('W', 0.6791786551475525), ('G', 0.3208213150501251)]"
