participant_id,trial_index,ground_truth,nll,top2
119,1,B,0.06993623077869415,"[('B', 0.9324532747268677), ('S', 0.06754668802022934)]"
119,2,B,4.511047840118408,"[('S', 0.9890130758285522), ('B', 0.010986941866576672)]"
119,3,B,5.2552337646484375,"[('S', 0.9947799444198608), ('B', 0.005220125894993544)]"
119,4,B,0.22541262209415436,"[('B', 0.7981867790222168), ('S', 0.2018132209777832)]"
119,5,B,3.167999029159546,"[('S', 0.957912266254425), ('B', 0.04208773374557495)]"
119,6,B,4.141034126281738,"[('S', 0.9840936064720154), ('B', 0.01590639352798462)]"
119,7,B,2.811967611312866,"[('S', 0.9399133324623108), ('B', 0.06008664891123772)]"
119,8,B,2.0176751613616943,"[('S', 0.8670357465744019), ('B', 0.13296423852443695)]"
119,9,B,1.7014133930206299,"[('S', 0.8175744414329529), ('B', 0.18242549896240234)]"
119,10,B,0.42870065569877625,"[('B', 0.6513548493385315), ('S', 0.3486451208591461)]"
119,11,B,1.3132617473602295,"[('S', 0.7310584783554077), ('B', 0.26894140243530273)]"
119,12,B,0.9740769863128662,"[('S', 0.622459352016449), ('B', 0.3775406777858734)]"
119,13,B,0.825939416885376,"[('S', 0.562176525592804), ('B', 0.43782350420951843)]"
119,14,B,0.825939416885376,"[('S', 0.562176525592804), ('B', 0.43782350420951843)]"
119,15,B,0.6931471824645996,"[('S', 0.5), ('B', 0.5)]"
119,16,B,0.28115010261535645,"[('B', 0.7549149990081787), ('S', 0.24508503079414368)]"
119,17,B,0.6325989961624146,"[('B', 0.531209409236908), ('S', 0.4687906503677368)]"
119,18,B,0.575939416885376,"[('B', 0.562176525592804), ('S', 0.43782350420951843)]"
119,19,B,0.4740769863128662,"[('B', 0.622459352016449), ('S', 0.3775406777858734)]"
119,20,B,0.4740769863128662,"[('B', 0.622459352016449), ('S', 0.3775406777858734)]"
119,21,B,0.1797446459531784,"[('B', 0.8354835510253906), ('S', 0.16451647877693176)]"
119,22,B,0.3484445810317993,"[('B', 0.7057850360870361), ('S', 0.29421499371528625)]"
